week_ending_date,Category,Beginning Inventory USD,Purchases USD,Ending Inventory USD,COGS Prcnt as Decimal
01/03/2017,Bread 4311,325.3192,535.23,373.5186,0.03643477798998892
01/03/2017,Food 4312,2651.5921000000008,1604.8719999999998,2701.2625000000003,0.11634469174149545
01/03/2017,Sides 4313,504.70860000000005,405.67,550.7275,0.02690551267693509
01/03/2017,Paper 4314,406.7262,77.76,351.3435,0.00996041052756787
01/03/2017,Produce 4315,271.57210000000003,392.55029999999994,311.1242,0.026407808971070205
01/03/2017,Beverage 4316,468.58500000000004,170.63,472.5582,0.012467601642529209
01/03/2017,Catering 4320,301.60429999999997,0.0,289.0121,0.0009420229681780531
01/03/2017,Sub Total COGS,4930.107500000001,3186.7123,5049.546600000001,0.2294628265177648
01/03/2017,Discounted COGS,0.0,0.0,0.0,0.22946282651776476
01/10/2017,Bread 4311,373.5186,469.11,376.4575,0.03690275497489792
01/10/2017,Food 4312,2701.2625000000003,1642.5747999999996,2871.641300000001,0.11654109030573706
01/10/2017,Sides 4313,550.7275,328.71,488.81350000000003,0.030922341087455923
01/10/2017,Paper 4314,351.3435,158.87,405.5046,0.008288902680563188
01/10/2017,Produce 4315,311.1242,368.98019999999997,269.6535,0.03249186616657774
01/10/2017,Beverage 4316,472.5582,271.8,530.22,0.01695147881403563
01/10/2017,Catering 4320,289.0121,0.0,271.0546,0.0014215407657440127
01/10/2017,Sub Total COGS,5049.546600000001,3240.0449999999996,5213.345000000002,0.24351997479501147
01/10/2017,Discounted COGS,0.0,0.0,0.0,0.2435199747950114
01/17/2017,Bread 4311,376.4575,469.11,367.2486,0.03441385795545297
01/17/2017,Food 4312,2871.641300000001,1259.8028,2607.9738,0.10960990774889168
01/17/2017,Sides 4313,488.81350000000003,411.15,463.0203000000001,0.031436979010030924
01/17/2017,Paper 4314,405.5046,144.32,409.21389999999997,0.010116590953894587
01/17/2017,Produce 4315,269.6535,434.18029999999993,365.04799999999994,0.024374797647603925
01/17/2017,Beverage 4316,530.22,175.93,525.7989,0.012975814122146748
01/17/2017,Catering 4320,271.0546,0.0,263.97990000000004,0.0005090071098537846
01/17/2017,Sub Total COGS,5213.345000000002,2894.4931,5002.2834,0.2234369545478746
01/17/2017,Discounted COGS,0.0,0.0,0.0,0.22343695454787477
01/24/2017,Bread 4311,367.2486,520.98,427.3999,0.03676549970600601
01/24/2017,Food 4312,2607.9738,1587.5653,2556.5408999999995,0.130761360653632
01/24/2017,Sides 4313,463.0203000000001,438.43,521.3405,0.030325643216557487
01/24/2017,Paper 4314,409.21389999999997,89.98,355.7243,0.011446187133355188
