week_ending_date,Bread 4311,Food 4312,Sides 4313,Paper 4314,Produce 4315,Beverage 4316,Catering 4320,Sub Total COGS,Discounted Total COGS,Cash Over Under,Manager,InShop,Driver,Tax,DMR,Penalty Pay,Total,Vacation,Training Pay,Vacation Tax,Training Tax,Total Vacation/Training,Total Labor Cost,Manager Freebies,Employee Freebies,Promo,Waste,Total Freebies
01/03/2017,0.03643477798998892,0.11634469174149545,0.02690551267693509,0.00996041052756787,0.026407808971070205,0.012467601642529209,0.0009420229681780531,0.22946282651776476,0.22946282651776476,-9.82,1496.464,1115.8297,1261.4102,443.5391,361.97,0.0,4679.213000000001,100.0,0.0,11.45,0.0,111.45,4790.6630000000005,117.77,167.93,138.45,0.0,424.15
01/10/2017,0.03690275497489792,0.11654109030573706,0.030922341087455923,0.008288902680563188,0.03249186616657774,0.01695147881403563,0.0014215407657440127,0.2435199747950114,0.2435199747950114,13.69,1386.6237,1091.8598,1267.626,428.9295,464.01,0.0,4639.049000000001,360.0,0.0,41.22,0.0,401.22,5040.269000000001,87.36,126.07,69.43,6.25,289.11
01/17/2017,0.03441385795545297,0.10960990774889168,0.031436979010030924,0.010116590953894587,0.024374797647603925,0.012975814122146748,0.0005090071098537846,0.22343695454787477,0.22343695454787477,1.06,1498.9591,938.8403,1385.1928,437.7326,440.11,0.0,4700.8348,0.0,0.0,0.0,0.0,0.0,4700.8348,115.79,146.85,135.65,15.75,414.03999999999996
01/24/2017,0.03676549970600601,0.130761360653632,0.030325643216557487,0.011446187133355188,0.03024545506040638,0.01496495607642089,0.00031176925341483853,0.25482087109979285,0.25482087109979285,2.57,1503.1667,1203.6835,1283.1293,456.8527,413.17,0.0,4860.0022,0.0,0.0,0.0,0.0,0.0,4860.0022,119.69,109.52,212.27,0.0,441.48
01/31/2017,0.033918331740653875,0.11923632467494857,0.02979302406393885,0.014623881504647733,0.02201235774476588,0.017631736310196048,0.0009438652882749859,0.23815952132742588,0.23815952132742588,-1.85,1506.0076,1135.0725,1335.8848,455.3625,453.59,0.0,4885.9174,0.0,0.0,0.0,0.0,0.0,4885.9174,77.9,167.4,215.84,0.0,461.14
02/07/2017,0.0324076505318276,0.1039685050689321,0.036841360043660606,0.010199964888310476,0.02978459741776423,0.014314565117554183,0.005381298954409505,0.23289794202245873,0.23353402335436213,-10.41,1415.1871,1166.6401,1318.4236,446.5787,457.21,0.0,4804.0395,0.0,0.0,0.0,0.0,0.0,4804.0395,126.46,175.63,235.49,0.0,537.5799999999999
02/14/2017,0.03310603374810531,0.11072058211668821,0.03100447637993844,0.010506663063443925,0.026024804710232666,0.01548187975849489,0.0011447612575068997,0.2279892010344103,0.2279892010344103,-6.49,1493.2254,1087.7857,1283.4875,442.4851,433.96,0.0,4740.9437,0.0,0.0,0.0,0.0,0.0,4740.9437,92.58,175.82,196.07,0.0,464.46999999999997
02/21/2017,0.03310541091834273,0.12007570606598975,0.029408330226131207,0.010774577968840248,0.03111063101791943,0.015405756731662024,0.0002007618128513908,0.2400811747417368,0.2400811747417368,-4.34,1495.9344,1112.8338,1248.5426,441.6621,445.84,0.0,4744.812900000001,0.0,0.0,0.0,0.0,0.0,4744.812900000001,96.58,201.72,99.95,0.0,398.25
02/28/2017,0.03219823144676027,0.11592023022586548,0.029728361384843454,0.012911792099066885,0.03278151216534403,0.018119787215487914,0.000543960931368268,0.24220387546873637,0.24220387546873637,-3.78,1494.3528,1308.655,1099.8624,446.8786,407.48,0.0,4757.228799999999,0.0,0.0,0.0,0.0,0.0,4757.228799999999,132.71,180.93,202.5,6.2,522.34
03/07/2017,0.032485882944485255,0.11339453138328803,0.029580599035707422,0.008681775076081767,0.032445136464333474,0.01453047552153113,0.0009278660471536399,0.23204626647258084,0.23204626647258084,-8.99,1471.9936,1064.2645,1276.7658,436.5912,387.7,0.0,4637.3151,0.0,200.0,0.0,22.9,222.9,4860.215099999999,101.11,184.2,189.05,0.0,474.36
