week_ending_date,Manager_usd,InShop_usd,Driver_usd,Tip Credit_usd,TAX_usd,DMR_usd,PenaltyPay_usd,Manager_prcnt_as_dec,InShop_prcnt_as_dec,Driver_prcnt_as_dec,Tip Credit_prcnt_as_dec,TAX_prcnt_as_dec,DMR_prcnt_as_dec,PenaltyPay_prcnt_as_dec
01/03/2017,1496.464,1115.8297,1261.4102,0.0,443.53909654999995,361.97,0,0.11195052961766833,0.0834752629385832,0.09436614576436783,0.0,0.033181176937710916,0.027078989675466573,0
01/10/2017,1386.6237,1091.8598000000002,1267.626,0.0,428.92953774999995,464.01,0,0.10976706759274946,0.08643314582637374,0.10034704355934967,0.0,0.03395466092403514,0.03673167928235445,0
01/17/2017,1498.9591,938.8403000000001,1385.1928,0.0,437.73260689999995,440.11,0,0.10784638773093355,0.06754722994858631,0.09966118474539931,0.0,0.03149377487765324,0.03166482241193983,0
01/24/2017,1503.1667,1203.6835,1283.1293,0.0,456.85265274999995,413.16999999999996,0,0.11992455085138584,0.09603140031290215,0.1023696872653932,0.0,0.03644828560019849,0.032963228014076605,0
01/31/2017,1506.0076,1135.0725,1335.8848,0.0,455.36248105,453.5900000000001,0,0.10902669909941215,0.08217303014507861,0.09671074045116265,0.0,0.032965748780152314,0.03283743086323228,0
02/07/2017,1415.1871,1166.6401,1318.4234999999999,0.0001,446.57871659999995,457.21,0,0.09001740954605421,0.0742077988659942,0.08386245758927718,6.360813319034225e-09,0.028406038485464902,0.029082274575956378,0
02/14/2017,1493.2254,1087.7857,1283.4874,0.0001,442.4850896999999,433.96000000000015,0,0.0998841037674637,0.07276362947989173,0.08585441196341302,6.689151133342877e-09,0.029598496392540787,0.029028240258254758,0
02/21/2017,1495.9344,1112.8338,1248.5426,0.0,441.66208659999995,445.84000000000003,0,0.10936871888228457,0.08135998947206809,0.09128174646692841,0.0,0.032290197077036675,0.032595646992593895,0
02/28/2017,1494.3528000000001,1308.655,1099.8623000000002,0.0001,446.87863789999994,407.47999999999996,0,0.10425414144937648,0.09129885759134909,0.07673234847824192,6.976541379611058e-09,0.03117667308973576,0.028428010813639135,0
03/07/2017,1471.9936,1064.2645,1276.7658,0.0,436.59123654999996,387.70000000000005,0,0.09476782747029963,0.06851798439800601,0.08219894505952952,0.0,0.028108004668237124,0.024960357647095185,0
