week_ending_date,Manager Freebies,Employee Freebies,Promo,Waste,Total Freebies
01/03/2017,117.77,167.93,138.45,0.0,424.15
01/10/2017,87.36,126.07,69.43,6.25,289.11
01/17/2017,115.79,146.85,135.65,15.75,414.03999999999996
01/24/2017,119.69,109.52,212.27,0.0,441.48
01/31/2017,77.9,167.4,215.84,0.0,461.14
02/07/2017,126.46,175.63,235.49,0.0,537.5799999999999
02/14/2017,92.58,175.82,196.07,0.0,464.46999999999997
02/21/2017,96.58,201.72,99.95,0.0,398.25
02/28/2017,132.71,180.93,202.5,6.2,522.34
03/07/2017,101.11,184.2,189.05,0.0,474.36
03/14/2017,96.43,185.43,266.74,21.0,569.6
03/21/2017,91.4,178.47,493.75,6.25,769.87
03/28/2017,112.28,193.15,291.23,0.0,596.6600000000001
04/04/2017,98.11,167.85,305.45,0.0,571.41
04/11/2017,98.48,184.16,182.25,14.5,479.39
04/18/2017,130.76,193.31,256.9,0.0,580.97
04/25/2017,98.25,173.97,242.0,14.0,528.22
05/02/2017,111.03,144.42,133.75,5.5,394.7
05/09/2017,110.15,196.55,246.97,17.45,571.1200000000001
05/16/2017,98.05,146.68,770.5,0.0,1015.23
05/23/2017,123.91,143.59,550.72,29.9,848.12
05/30/2017,130.25,122.8,268.8,11.0,532.85
06/06/2017,76.18,160.29,181.95,5.5,423.91999999999996
06/13/2017,108.58,136.26,142.1,0.0,386.93999999999994
06/20/2017,130.74,80.54,161.87,5.5,378.65000000000003
06/27/2017,80.71,109.93,44.08,0.0,234.71999999999997
07/04/2017,93.19,83.37,7.5,0.0,184.06
07/11/2017,139.8,129.49,0.0,6.5,275.79
07/18/2017,153.01,120.24,16.65,37.8,327.7
07/25/2017,67.19,121.36,25.25,0.0,213.8
08/01/2017,149.19,221.95,34.5,0.0,405.64
08/08/2017,122.11,178.38,53.15,12.75,366.39
08/15/2017,112.39,112.17,81.04,0.0,305.6
08/22/2017,129.46,155.59,80.2,6.45,371.7
08/29/2017,132.92,174.78,39.0,12.5,359.2
09/05/2017,147.19,163.61,54.37,15.5,380.67
09/12/2017,32.22,193.47,24.23,40.5,290.41999999999996
09/19/2017,100.6,174.62,172.0,19.9,467.12
09/26/2017,137.46,129.6,27.29,11.0,305.35
10/03/2017,92.04,96.59,32.5,17.8,238.93
10/10/2017,100.77,153.63,32.96,39.0,326.35999999999996
10/17/2017,92.51,112.36,62.28,17.5,284.65
10/24/2017,96.73,125.33,16.35,5.5,243.91
10/31/2017,142.13,105.74,52.7,0.0,300.57
11/07/2017,113.06,143.85,181.59,0.0,438.5
11/14/2017,82.79,122.74,53.3,0.0,258.83
11/21/2017,95.8,87.91,13.92,38.25,235.87999999999997
11/28/2017,47.4,75.32,6.5,0.0,129.22
12/05/2017,72.12,75.57,22.26,5.5,175.45
12/12/2017,59.03,39.6,8.19,0.0,106.82
12/19/2017,131.24,65.89,26.95,0.0,224.07999999999998
12/26/2017,66.95,61.49,54.62,0.0,183.06
