week_ending_date,Manager,InShop,Driver,Tax,DMR,Penalty Pay,Total,Vacation,Training Pay,Vacation Tax,Training Tax,Total Vacation/Training,Total Labor Cost
01/03/2017,1496.464,1115.8297,1261.4102,443.5391,361.97,0.0,4679.213000000001,100.0,0.0,11.45,0.0,111.45,4790.6630000000005
01/10/2017,1386.6237,1091.8598,1267.626,428.9295,464.01,0.0,4639.049000000001,360.0,0.0,41.22,0.0,401.22,5040.269000000001
01/17/2017,1498.9591,938.8403,1385.1928,437.7326,440.11,0.0,4700.8348,0.0,0.0,0.0,0.0,0.0,4700.8348
01/24/2017,1503.1667,1203.6835,1283.1293,456.8527,413.17,0.0,4860.0022,0.0,0.0,0.0,0.0,0.0,4860.0022
01/31/2017,1506.0076,1135.0725,1335.8848,455.3625,453.59,0.0,4885.9174,0.0,0.0,0.0,0.0,0.0,4885.9174
02/07/2017,1415.1871,1166.6401,1318.4236,446.5787,457.21,0.0,4804.0395,0.0,0.0,0.0,0.0,0.0,4804.0395
02/14/2017,1493.2254,1087.7857,1283.4875,442.4851,433.96,0.0,4740.9437,0.0,0.0,0.0,0.0,0.0,4740.9437
02/21/2017,1495.9344,1112.8338,1248.5426,441.6621,445.84,0.0,4744.812900000001,0.0,0.0,0.0,0.0,0.0,4744.812900000001
02/28/2017,1494.3528,1308.655,1099.8624,446.8786,407.48,0.0,4757.228799999999,0.0,0.0,0.0,0.0,0.0,4757.228799999999
03/07/2017,1471.9936,1064.2645,1276.7658,436.5912,387.7,0.0,4637.3151,0.0,200.0,0.0,22.9,222.9,4860.215099999999
03/14/2017,1501.4717,1226.2724,1238.5598,454.1418,460.36,0.0,4880.8057,0.0,0.0,0.0,0.0,0.0,4880.8057
03/21/2017,1494.6839,1153.0839,1388.4704,462.1493,457.49,0.0,4955.8775,0.0,0.0,0.0,0.0,0.0,4955.8775
03/28/2017,1498.0251,1104.7039,1288.3707,445.5309,457.16,0.0,4793.7906,0.0,0.0,0.0,0.0,0.0,4793.7906
04/04/2017,1460.0754,1079.4221,1301.092,439.7475,438.3,0.0,4718.637000000001,130.0,0.0,14.885,0.0,144.885,4863.522000000001
04/11/2017,1491.7654,1087.4662,1297.9292,443.9349,499.68,0.0,4820.7757,0.0,0.0,0.0,0.0,0.0,4820.7757
04/18/2017,1495.9813,1153.0287,1239.1332,445.1924,499.52,0.0,4832.855600000001,0.0,0.0,0.0,0.0,0.0,4832.855600000001
04/25/2017,1498.9748,1104.7719,1343.2391,451.9299,569.86,0.0,4968.775699999999,0.0,0.0,0.0,0.0,0.0,4968.775699999999
05/02/2017,1502.5262,1425.7194,1509.3109,508.1002,574.06,0.0,5519.716700000001,0.0,0.0,0.0,0.0,0.0,5519.716700000001
05/09/2017,1506.0,1054.3505,1295.6591,441.5131,468.29,0.0,4765.8127,0.0,0.0,0.0,0.0,0.0,4765.8127
05/16/2017,1402.6901,1121.0966,1273.7569,434.8187,466.22,0.0,4698.5823,0.0,0.0,0.0,0.0,0.0,4698.5823
05/23/2017,1494.225,1115.2887,1387.0974,457.612,528.89,0.0,4983.1131000000005,0.0,0.0,0.0,0.0,0.0,4983.1131000000005
05/30/2017,1580.1185,1034.8555,1308.0154,449.1823,456.7,0.0,4828.871700000001,100.0,0.0,11.45,0.0,111.45,4940.3217
06/06/2017,1407.4449,1059.8215,1312.9187,432.8312,541.22,0.0,4754.2363,260.0,0.0,29.77,0.0,289.77,5044.006299999999
