week_ending_date,Day,Date,No. Of Sales,(A) Total Dollar Sales,(B) Net Less Over rings,(C) Less Net Promo,(D) Net Less Employee Freebies,(E) Royalty Sales
01/03/2017,Wednesday,2016-12-28,182,2360.63,0,8.5,19.13,2333.0
01/03/2017,Thursday,2016-12-29,168,2012.76,0,115.5,69.09,1828.17
01/03/2017,Friday,2016-12-30,182,2243.99,0,0.0,40.21,2203.78
01/03/2017,Saturday,2016-12-31,131,1781.42,0,0.0,44.21,1737.21
01/03/2017,Sunday,2017-01-01,99,1181.45,0,5.25,27.77,1148.43
01/03/2017,Monday,2017-01-02,145,1882.4,0,9.2,37.91,1835.29
01/03/2017,Tuesday,2017-01-03,136,1904.54,0,0.0,47.38,1857.16
01/10/2017,Wednesday,2017-01-04,139,1528.11,0,0.0,0.0,1528.11
01/10/2017,Thursday,2017-01-05,171,2059.72,0,0.0,31.93,2027.79
01/10/2017,Friday,2017-01-06,155,2029.25,0,11.68,37.36,1980.21
01/10/2017,Saturday,2017-01-07,131,1757.19,0,0.0,19.18,1738.01
01/10/2017,Sunday,2017-01-08,119,1566.41,0,0.0,31.96,1534.45
01/10/2017,Monday,2017-01-09,158,1847.49,0,0.0,26.8,1820.69
01/10/2017,Tuesday,2017-01-10,166,1844.25,0,57.75,72.45,1714.05
01/17/2017,Wednesday,2017-01-11,193,2177.9,0,0.0,55.25,2122.65
01/17/2017,Thursday,2017-01-12,178,2181.55,0,115.5,32.93,2033.12
01/17/2017,Friday,2017-01-13,188,2227.24,0,0.0,37.52,2189.72
01/17/2017,Saturday,2017-01-14,143,1873.21,0,6.2,27.38,1839.63
01/17/2017,Sunday,2017-01-15,112,1349.2,0,0.0,58.45,1290.75
01/17/2017,Monday,2017-01-16,182,2478.08,0,13.95,25.34,2438.79
01/17/2017,Tuesday,2017-01-17,140,1611.84,0,0.0,41.52,1570.32
01/24/2017,Wednesday,2017-01-18,176,1847.68,0,0.0,39.63,1808.05
01/24/2017,Thursday,2017-01-19,155,1996.74,0,133.68,39.82,1823.24
01/24/2017,Friday,2017-01-20,178,2060.27,0,10.34,50.35,1999.58
01/24/2017,Saturday,2017-01-21,146,1768.39,0,0.0,20.34,1748.05
01/24/2017,Sunday,2017-01-22,106,1355.66,0,0.0,18.13,1337.53
01/24/2017,Monday,2017-01-23,152,1611.9,0,0.0,11.59,1600.31
01/24/2017,Tuesday,2017-01-24,169,1893.63,0,68.25,49.35,1776.03
01/31/2017,Wednesday,2017-01-25,140,1632.96,0,18.3,11.59,1603.07
01/31/2017,Thursday,2017-01-26,168,2172.69,0,120.75,31.72,2020.22
01/31/2017,Friday,2017-01-27,177,2177.08,0,12.84,34.18,2130.06
01/31/2017,Saturday,2017-01-28,172,2032.4,0,0.0,45.3,1987.1
01/31/2017,Sunday,2017-01-29,124,1606.75,0,6.2,19.13,1581.42
01/31/2017,Monday,2017-01-30,167,1909.99,0,0.0,30.98,1879.01
01/31/2017,Tuesday,2017-01-31,189,2281.33,0,57.75,72.4,2151.18
02/07/2017,Wednesday,2017-02-01,196,2243.17,0,0.0,8.59,2234.58
02/07/2017,Thursday,2017-02-02,182,2171.37,0,145.09,74.41,1951.87
02/07/2017,Friday,2017-02-03,194,3132.5,0,0.0,42.37,3090.13
02/07/2017,Saturday,2017-02-04,128,2545.95,0,0.0,55.15,2490.8
02/07/2017,Sunday,2017-02-05,104,1515.99,0,1.45,20.37,1494.17
02/07/2017,Monday,2017-02-06,159,2021.34,0,24.95,50.11,1946.28
02/07/2017,Tuesday,2017-02-07,183,2090.94,0,64.0,51.09,1975.85
02/14/2017,Wednesday,2017-02-08,178,2264.17,0,5.25,40.81,2218.11
02/14/2017,Thursday,2017-02-09,220,2539.52,0,115.5,40.31,2383.71
02/14/2017,Friday,2017-02-10,222,2816.86,0,0.0,38.84,2778.02
02/14/2017,Saturday,2017-02-11,148,1945.8,0,0.0,36.6,1909.2
02/14/2017,Sunday,2017-02-12,127,1826.38,0,17.57,21.18,1787.63
02/14/2017,Monday,2017-02-13,170,1824.81,0,0.0,28.77,1796.04
02/14/2017,Tuesday,2017-02-14,151,1732.04,0,57.75,61.89,1612.4
02/21/2017,Wednesday,2017-02-15,177,1895.96,0,6.2,15.53,1874.23
02/21/2017,Thursday,2017-02-16,173,1941.4,0,0.0,59.39,1882.01
02/21/2017,Friday,2017-02-17,186,2228.26,0,0.0,43.34,2184.92
02/21/2017,Saturday,2017-02-18,159,2079.83,0,0.0,43.56,2036.27
02/21/2017,Sunday,2017-02-19,135,1605.53,0,0.0,21.18,1584.35
02/21/2017,Monday,2017-02-20,152,1737.39,0,0.0,45.27,1692.12
02/21/2017,Tuesday,2017-02-21,188,2189.53,0,93.75,70.03,2025.75
02/28/2017,Wednesday,2017-02-22,184,1984.28,0,0.0,41.31,1942.97
02/28/2017,Thursday,2017-02-23,197,2399.44,0,115.5,49.85,2234.09
02/28/2017,Friday,2017-02-24,190,2195.27,0,0.0,65.7,2129.57
02/28/2017,Saturday,2017-02-25,142,1939.21,0,0.0,52.82,1886.39
02/28/2017,Sunday,2017-02-26,118,1605.69,0,10.5,11.59,1583.6
02/28/2017,Monday,2017-02-27,200,2145.87,0,12.5,37.97,2095.4
02/28/2017,Tuesday,2017-02-28,181,2063.99,0,64.0,60.6,1939.39
03/07/2017,Wednesday,2017-03-01,181,2176.86,0,0.0,38.77,2138.09
03/07/2017,Thursday,2017-03-02,196,2307.11,0,115.5,51.35,2140.26
03/07/2017,Friday,2017-03-03,227,2800.2,0,15.8,51.36,2733.04
03/07/2017,Saturday,2017-03-04,153,2121.94,0,0.0,57.49,2064.45
03/07/2017,Sunday,2017-03-05,141,1955.02,0,0.0,10.78,1944.24
03/07/2017,Monday,2017-03-06,185,1931.65,0,0.0,36.01,1895.64
03/07/2017,Tuesday,2017-03-07,172,2239.85,0,57.75,39.55,2142.55
03/14/2017,Wednesday,2017-03-08,208,2408.0,0,0.0,26.49,2381.51
03/14/2017,Thursday,2017-03-09,203,2581.12,0,151.5,60.44,2369.18
03/14/2017,Friday,2017-03-10,205,2353.85,0,0.0,48.78,2305.07
03/14/2017,Saturday,2017-03-11,158,2529.18,0,0.0,39.52,2489.66
03/14/2017,Sunday,2017-03-12,130,1769.63,0,16.44,59.31,1693.88
03/14/2017,Monday,2017-03-13,171,2077.43,0,0.0,0.0,2077.43
03/14/2017,Tuesday,2017-03-14,179,2067.43,0,98.8,68.32,1900.31
03/21/2017,Wednesday,2017-03-15,178,2137.19,0,5.47,25.43,2106.29
03/21/2017,Thursday,2017-03-16,201,2574.28,0,115.5,35.97,2422.81
03/21/2017,Friday,2017-03-17,188,2144.6,0,0.0,50.23,2094.37
03/21/2017,Saturday,2017-03-18,177,2730.87,0,295.28,48.11,2387.48
03/21/2017,Sunday,2017-03-19,158,2006.74,0,0.0,31.17,1975.57
03/21/2017,Monday,2017-03-20,233,2662.7,0,19.75,38.66,2604.29
03/21/2017,Tuesday,2017-03-21,202,2217.82,0,57.75,46.55,2113.52
03/28/2017,Wednesday,2017-03-22,172,1898.18,0,20.0,27.77,1850.41
03/28/2017,Thursday,2017-03-23,186,2324.07,0,121.75,57.3,2145.02
03/28/2017,Friday,2017-03-24,228,2773.5,0,0.0,58.47,2715.03
03/28/2017,Saturday,2017-03-25,184,2717.16,0,0.0,67.48,2649.68
03/28/2017,Sunday,2017-03-26,143,1830.92,0,15.28,16.18,1799.46
03/28/2017,Monday,2017-03-27,178,2098.75,0,0.0,37.66,2061.09
03/28/2017,Tuesday,2017-03-28,197,2318.97,0,134.2,40.57,2144.2
04/04/2017,Wednesday,2017-03-29,198,2484.98,0,11.45,10.75,2462.78
04/04/2017,Thursday,2017-03-30,202,2485.45,0,231.0,52.7,2201.75
04/04/2017,Friday,2017-03-31,223,2679.31,0,0.0,54.81,2624.5
04/04/2017,Saturday,2017-04-01,177,2398.54,0,0.0,47.43,2351.11
04/04/2017,Sunday,2017-04-02,119,1687.5,0,0.0,28.77,1658.73
04/04/2017,Monday,2017-04-03,218,2337.12,0,5.25,29.07,2302.8
04/04/2017,Tuesday,2017-04-04,181,2086.25,0,57.75,42.43,1986.07
04/11/2017,Wednesday,2017-04-05,183,1852.99,0,0.0,19.64,1833.35
04/11/2017,Thursday,2017-04-06,215,2530.3,0,121.75,42.16,2366.39
04/11/2017,Friday,2017-04-07,198,2207.54,0,0.0,59.05,2148.49
04/11/2017,Saturday,2017-04-08,188,2939.46,0,0.0,57.7,2881.76
04/11/2017,Sunday,2017-04-09,138,2097.91,0,0.0,21.18,2076.73
04/11/2017,Monday,2017-04-10,207,2377.76,0,0.0,46.26,2331.5
04/11/2017,Tuesday,2017-04-11,181,2483.91,0,60.5,51.15,2372.26
04/18/2017,Wednesday,2017-04-12,204,2747.64,0,0.0,34.43,2713.21
04/18/2017,Thursday,2017-04-13,228,2957.6,0,121.0,51.35,2785.25
04/18/2017,Friday,2017-04-14,206,2545.45,0,14.9,51.16,2479.39
04/18/2017,Saturday,2017-04-15,184,2409.66,0,0.0,55.81,2353.85
04/18/2017,Sunday,2017-04-16,77,1077.56,0,0.0,41.31,1036.25
04/18/2017,Monday,2017-04-17,196,2431.04,0,0.0,47.74,2383.3
04/18/2017,Tuesday,2017-04-18,191,2407.22,0,121.0,42.27,2243.95
04/25/2017,Wednesday,2017-04-19,202,2521.05,0,0.0,39.93,2481.12
04/25/2017,Thursday,2017-04-20,205,2612.99,0,121.0,42.81,2449.18
04/25/2017,Friday,2017-04-21,223,2723.73,0,0.0,62.16,2661.57
04/25/2017,Saturday,2017-04-22,156,2132.23,0,0.0,46.75,2085.48
04/25/2017,Sunday,2017-04-23,161,2245.21,0,0.0,26.18,2219.03
04/25/2017,Monday,2017-04-24,206,2589.47,0,0.0,30.22,2559.25
04/25/2017,Tuesday,2017-04-25,201,2350.37,0,121.0,38.17,2191.2
05/02/2017,Wednesday,2017-04-26,191,2171.52,0,5.5,45.07,2120.95
05/02/2017,Thursday,2017-04-27,230,2892.62,0,121.0,32.33,2739.29
05/02/2017,Friday,2017-04-28,214,2421.09,0,0.0,51.37,2369.72
05/02/2017,Saturday,2017-04-29,177,2500.15,0,0.0,57.11,2443.04
05/02/2017,Sunday,2017-04-30,150,1858.87,0,0.0,21.87,1837.0
05/02/2017,Monday,2017-05-01,190,2066.38,0,0.0,11.84,2054.54
05/02/2017,Tuesday,2017-05-02,684,3902.46,0,7.25,41.36,3853.85
05/09/2017,Wednesday,2017-05-03,220,2504.22,0,0.0,25.13,2479.09
05/09/2017,Thursday,2017-05-04,211,2680.54,0,121.0,43.97,2515.57
05/09/2017,Friday,2017-05-05,188,2206.28,0,4.97,54.93,2146.38
05/09/2017,Saturday,2017-05-06,174,2352.64,0,0.0,64.21,2288.43
05/09/2017,Sunday,2017-05-07,158,2418.59,0,0.0,51.09,2367.5
05/09/2017,Monday,2017-05-08,208,2409.61,0,0.0,32.71,2376.9
05/09/2017,Tuesday,2017-05-09,196,2370.93,0,121.0,52.11,2197.82
05/16/2017,Wednesday,2017-05-10,179,2338.1,0,242.0,12.23,2083.87
05/16/2017,Thursday,2017-05-11,212,2859.22,0,121.0,19.29,2718.93
05/16/2017,Friday,2017-05-12,199,2153.69,0,0.0,62.71,2090.98
05/16/2017,Saturday,2017-05-13,153,2406.48,0,159.0,42.0,2205.48
05/16/2017,Sunday,2017-05-14,120,1493.16,0,0.0,40.57,1452.59
05/16/2017,Monday,2017-05-15,217,2393.1,0,127.5,20.63,2244.97
05/16/2017,Tuesday,2017-05-16,209,2542.71,0,121.0,47.3,2374.41
05/23/2017,Wednesday,2017-05-17,222,2915.26,0,121.0,34.72,2759.54
05/23/2017,Thursday,2017-05-18,193,2380.05,0,163.45,37.23,2179.37
05/23/2017,Friday,2017-05-19,236,3178.09,0,133.27,62.21,2982.61
05/23/2017,Saturday,2017-05-20,180,2959.17,0,0.0,50.11,2909.06
05/23/2017,Sunday,2017-05-21,154,2335.98,0,6.5,60.98,2268.5
05/23/2017,Monday,2017-05-22,201,2483.48,0,5.5,11.84,2466.14
05/23/2017,Tuesday,2017-05-23,188,2412.61,0,121.0,40.31,2251.3
05/30/2017,Wednesday,2017-05-24,209,2647.63,0,126.5,28.13,2493.0
05/30/2017,Thursday,2017-05-25,213,2762.78,0,0.0,10.05,2752.73
05/30/2017,Friday,2017-05-26,206,2670.03,0,14.35,67.95,2587.73
05/30/2017,Saturday,2017-05-27,146,2116.41,0,6.95,59.55,2049.91
05/30/2017,Sunday,2017-05-28,124,1655.31,0,0.0,44.52,1610.79
05/30/2017,Monday,2017-05-29,98,1266.56,0,0.0,11.84,1254.72
05/30/2017,Tuesday,2017-05-30,231,2832.57,0,121.0,42.01,2669.56
06/06/2017,Wednesday,2017-05-31,217,2583.54,0,24.95,31.38,2527.21
06/06/2017,Thursday,2017-06-01,239,2908.78,0,0.0,25.18,2883.6
06/06/2017,Friday,2017-06-02,235,2916.21,0,0.0,55.87,2860.34
06/06/2017,Saturday,2017-06-03,167,2667.01,0,0.0,49.2,2617.81
06/06/2017,Sunday,2017-06-04,130,1868.0,0,0.0,18.68,1849.32
06/06/2017,Monday,2017-06-05,209,2665.55,0,0.0,31.87,2633.68
06/06/2017,Tuesday,2017-06-06,229,2853.74,0,157.0,29.79,2666.95
06/13/2017,Wednesday,2017-06-07,219,2995.46,0,0.0,33.48,2961.98
06/13/2017,Thursday,2017-06-08,232,2941.49,0,121.0,33.48,2787.01
06/13/2017,Friday,2017-06-09,222,2883.02,0,0.0,49.25,2833.77
06/13/2017,Saturday,2017-06-10,153,1935.25,0,0.0,39.36,1895.89
06/13/2017,Sunday,2017-06-11,155,2298.5,0,0.0,41.36,2257.14
06/13/2017,Monday,2017-06-12,183,2245.76,0,21.1,8.84,2215.82
06/13/2017,Tuesday,2017-06-13,200,2239.89,0,0.0,39.07,2200.82
06/20/2017,Wednesday,2017-06-14,195,2310.24,0,0.0,38.14,2272.1
06/20/2017,Thursday,2017-06-15,228,2804.69,0,9.64,41.32,2753.73
06/20/2017,Friday,2017-06-16,225,2935.57,0,25.95,30.64,2878.98
06/20/2017,Saturday,2017-06-17,166,2476.35,0,106.0,42.52,2327.83
06/20/2017,Sunday,2017-06-18,97,1259.67,0,0.0,21.68,1237.99
06/20/2017,Monday,2017-06-19,152,1913.72,0,20.28,11.0,1882.44
06/20/2017,Tuesday,2017-06-20,211,2651.8,0,0.0,31.48,2620.32
06/27/2017,Wednesday,2017-06-21,197,2509.26,0,19.18,25.05,2465.03
06/27/2017,Thursday,2017-06-22,195,2644.02,0,0.0,21.06,2622.96
06/27/2017,Friday,2017-06-23,210,2576.87,0,0.0,39.97,2536.9
06/27/2017,Saturday,2017-06-24,163,2286.42,0,0.0,51.36,2235.06
06/27/2017,Sunday,2017-06-25,125,1773.65,0,0.0,9.84,1763.81
06/27/2017,Monday,2017-06-26,198,2345.81,0,24.9,11.84,2309.07
06/27/2017,Tuesday,2017-06-27,184,2248.77,0,0.0,31.52,2217.25
07/04/2017,Wednesday,2017-06-28,193,2208.02,0,0.0,33.68,2174.34
07/04/2017,Thursday,2017-06-29,203,2414.78,0,7.5,11.0,2396.28
