week_ending_date,payment_type,prcnt_of_royalty_sales,fee_or_payment,amount
01/03/2017,Royalty,6,Payment,776.5824
01/03/2017,Advertising,1.5,Payment,194.1456
01/03/2017,Media,3,Payment,388.2912
01/10/2017,Royalty,6,Payment,740.5986
01/10/2017,Advertising,1.5,Payment,185.14965
01/10/2017,Media,3,Payment,370.2993
01/17/2017,Royalty,6,Payment,809.0988
01/17/2017,Advertising,1.5,Payment,202.2747
01/17/2017,Media,3,Payment,404.5494
01/24/2017,Royalty,6,Payment,725.5674
01/24/2017,Advertising,1.5,Payment,181.39185
01/24/2017,Media,3,Payment,362.7837
01/31/2017,Royalty,6,Payment,801.1236
01/31/2017,Advertising,1.5,Payment,200.2809
01/31/2017,Media,3,Payment,400.5618
02/07/2017,Royalty,6,Payment,911.0208
02/07/2017,Advertising,1.5,Payment,227.7552
02/07/2017,Media,3,Payment,455.5104
02/14/2017,Royalty,6,Payment,869.1066
02/14/2017,Advertising,1.5,Payment,217.27665
02/14/2017,Media,3,Payment,434.5533
02/21/2017,Royalty,6,Payment,796.779
02/21/2017,Advertising,1.5,Payment,199.19475
02/21/2017,Media,3,Payment,398.3895
02/28/2017,Royalty,6,Payment,828.6846
02/28/2017,Advertising,1.5,Payment,207.17115
02/28/2017,Media,3,Payment,414.3423
03/07/2017,Royalty,6,Payment,903.4962
03/07/2017,Advertising,1.5,Payment,225.87405
03/07/2017,Media,3,Payment,451.7481
03/14/2017,Royalty,6,Payment,913.0224
03/14/2017,Advertising,1.5,Payment,228.2556
03/14/2017,Media,3,Payment,456.5112
03/21/2017,Royalty,6,Payment,942.2598
03/21/2017,Advertising,1.5,Payment,235.56495
03/21/2017,Media,3,Payment,471.1299
03/28/2017,Royalty,6,Payment,921.8934
03/28/2017,Advertising,1.5,Payment,230.47335
03/28/2017,Media,3,Payment,460.9467
04/04/2017,Royalty,6,Payment,935.2644
04/04/2017,Advertising,1.5,Payment,233.8161
04/04/2017,Media,3,Payment,467.6322
04/11/2017,Royalty,6,Payment,960.6288
04/11/2017,Advertising,1.5,Payment,240.1572
04/11/2017,Media,3,Payment,480.3144
04/18/2017,Royalty,6,Payment,959.712
04/18/2017,Advertising,1.5,Payment,239.928
04/18/2017,Media,3,Payment,479.856
04/25/2017,Royalty,6,Payment,998.8098
04/25/2017,Advertising,1.5,Payment,249.70245
04/25/2017,Media,3,Payment,499.4049
05/02/2017,Royalty,6,Payment,1045.1034
05/02/2017,Advertising,1.5,Payment,261.27585
05/02/2017,Media,3,Payment,522.5517
05/09/2017,Royalty,6,Payment,982.3014
05/09/2017,Advertising,1.5,Payment,245.57535
05/09/2017,Media,3,Payment,491.1507
05/16/2017,Royalty,6,Payment,910.2738
05/16/2017,Advertising,1.5,Payment,227.56845
05/16/2017,Media,3,Payment,455.1369
05/23/2017,Royalty,6,Payment,1068.9912
05/23/2017,Advertising,1.5,Payment,267.2478
05/23/2017,Media,3,Payment,534.4956
05/30/2017,Royalty,6,Payment,925.1064
05/30/2017,Advertising,1.5,Payment,231.2766
05/30/2017,Media,3,Payment,462.5532
06/06/2017,Royalty,6,Payment,1082.3346
06/06/2017,Advertising,1.5,Payment,270.58365
06/06/2017,Media,3,Payment,541.1673
06/13/2017,Royalty,6,Payment,1029.1458
06/13/2017,Advertising,1.5,Payment,257.28645
06/13/2017,Media,3,Payment,514.5729
06/20/2017,Royalty,6,Payment,958.4034
06/20/2017,Advertising,1.5,Payment,239.60085
06/20/2017,Media,3,Payment,479.2017
06/27/2017,Royalty,6,Payment,969.0048
06/27/2017,Advertising,1.5,Payment,242.2512
06/27/2017,Media,3,Payment,484.5024
07/04/2017,Royalty,6,Payment,837.2448
07/04/2017,Advertising,1.5,Payment,209.3112
07/04/2017,Media,3,Payment,418.6224
07/11/2017,Royalty,6,Payment,980.892
07/11/2017,Advertising,1.5,Payment,245.223
07/11/2017,Media,3,Payment,490.446
07/18/2017,Royalty,6,Payment,1034.628
07/18/2017,Advertising,1.5,Payment,258.657
07/18/2017,Media,3,Payment,517.314
07/25/2017,Royalty,6,Payment,1006.6542
07/25/2017,Advertising,1.5,Payment,251.66355
07/25/2017,Media,3,Payment,503.3271
08/01/2017,Royalty,6,Payment,956.631
08/01/2017,Advertising,1.5,Payment,239.15775
08/01/2017,Media,3,Payment,478.3155
08/08/2017,Royalty,6,Payment,896.718
08/08/2017,Advertising,1.5,Payment,224.1795
08/08/2017,Media,3,Payment,448.359
08/15/2017,Royalty,6,Payment,977.796
08/15/2017,Advertising,1.5,Payment,244.449
08/15/2017,Media,3,Payment,488.898
08/22/2017,Royalty,6,Payment,940.2186
08/22/2017,Advertising,1.5,Payment,235.05465
08/22/2017,Media,3,Payment,470.1093
08/29/2017,Royalty,6,Payment,874.1142
08/29/2017,Advertising,1.5,Payment,218.52855
08/29/2017,Media,3,Payment,437.0571
09/05/2017,Royalty,6,Payment,858.057
09/05/2017,Advertising,1.5,Payment,214.51425
09/05/2017,Media,3,Payment,429.0285
09/12/2017,Royalty,6,Payment,839.6346
09/12/2017,Advertising,1.5,Payment,209.90865
09/12/2017,Media,3,Payment,419.8173
09/19/2017,Royalty,6,Payment,818.2998
09/19/2017,Advertising,1.5,Payment,204.57495
09/19/2017,Media,3,Payment,409.1499
09/26/2017,Royalty,6,Payment,911.7096
09/26/2017,Advertising,1.5,Payment,227.9274
09/26/2017,Media,3,Payment,455.8548
10/03/2017,Royalty,6,Payment,771.6708
10/03/2017,Advertising,1.5,Payment,192.9177
10/03/2017,Media,3,Payment,385.8354
10/10/2017,Royalty,6,Payment,811.575
10/10/2017,Advertising,1.5,Payment,202.89375
10/10/2017,Media,3,Payment,405.7875
10/17/2017,Royalty,6,Payment,839.226
10/17/2017,Advertising,1.5,Payment,209.8065
10/17/2017,Media,3,Payment,419.613
10/24/2017,Royalty,6,Payment,873.276
10/24/2017,Advertising,1.5,Payment,218.319
10/24/2017,Media,3,Payment,436.638
10/31/2017,Royalty,6,Payment,771.8136
10/31/2017,Advertising,1.5,Payment,192.9534
10/31/2017,Media,3,Payment,385.9068
11/07/2017,Royalty,6,Payment,885.5472
11/07/2017,Advertising,1.5,Payment,221.3868
11/07/2017,Media,3,Payment,442.7736
11/14/2017,Royalty,6,Payment,832.3818
11/14/2017,Advertising,1.5,Payment,208.09545
11/14/2017,Media,3,Payment,416.1909
11/21/2017,Royalty,6,Payment,821.8068
11/21/2017,Advertising,1.5,Payment,205.4517
11/21/2017,Media,3,Payment,410.9034
11/28/2017,Royalty,6,Payment,591.7962
11/28/2017,Advertising,1.5,Payment,147.94905
11/28/2017,Media,3,Payment,295.8981
12/05/2017,Royalty,6,Payment,835.1262
12/05/2017,Advertising,1.5,Payment,208.78155
12/05/2017,Media,3,Payment,417.5631
12/12/2017,Royalty,6,Payment,760.3074
12/12/2017,Advertising,1.5,Payment,190.07685
12/12/2017,Media,3,Payment,380.1537
12/19/2017,Royalty,6,Payment,872.2686
12/19/2017,Advertising,1.5,Payment,218.06715
