week_ending_date,payment_type,prcnt_of_royalty_sales,fee_or_payment,amount
01/21/2014,Royalty,6,Payment,68.991
01/21/2014,Advertising,1.5,Payment,17.24775
01/21/2014,Media,3,Payment,34.4955
01/28/2014,Royalty,6,Payment,600.1968
01/28/2014,Advertising,1.5,Payment,150.0492
01/28/2014,Media,3,Payment,300.0984
02/04/2014,Royalty,6,Payment,692.8992
02/04/2014,Advertising,1.5,Payment,173.2248
02/04/2014,Media,3,Payment,346.4496
02/11/2014,Royalty,6,Payment,742.2774
02/11/2014,Advertising,1.5,Payment,185.56935
02/11/2014,Media,3,Payment,371.1387
02/18/2014,Royalty,6,Payment,908.4942
02/18/2014,Advertising,1.5,Payment,227.12355
02/18/2014,Media,3,Payment,454.2471
02/25/2014,Royalty,6,Payment,945.9984
02/25/2014,Advertising,1.5,Payment,236.4996
02/25/2014,Media,3,Payment,472.9992
03/04/2014,Royalty,6,Payment,858.8052
03/04/2014,Advertising,1.5,Payment,214.7013
03/04/2014,Media,3,Payment,429.4026
03/11/2014,Royalty,6,Payment,958.5216
03/11/2014,Advertising,1.5,Payment,239.6304
03/11/2014,Media,3,Payment,479.2608
03/18/2014,Royalty,6,Payment,875.3574
03/18/2014,Advertising,1.5,Payment,218.83935
03/18/2014,Media,3,Payment,437.6787
03/25/2014,Royalty,6,Payment,1000.647
03/25/2014,Advertising,1.5,Payment,250.16175
03/25/2014,Media,3,Payment,500.3235
04/01/2014,Royalty,6,Payment,978.1194
04/01/2014,Advertising,1.5,Payment,244.52985
04/01/2014,Media,3,Payment,489.0597
04/08/2014,Royalty,6,Payment,877.167
04/08/2014,Advertising,1.5,Payment,219.29175
04/08/2014,Media,3,Payment,438.5835
04/15/2014,Royalty,6,Payment,958.3194
04/15/2014,Advertising,1.5,Payment,239.57985
04/15/2014,Media,3,Payment,479.1597
04/22/2014,Royalty,6,Payment,724.9536
04/22/2014,Advertising,1.5,Payment,181.2384
04/22/2014,Media,3,Payment,362.4768
04/29/2014,Royalty,6,Payment,869.5506
04/29/2014,Advertising,1.5,Payment,217.38765
04/29/2014,Media,3,Payment,434.7753
05/06/2014,Royalty,6,Payment,895.4472
05/06/2014,Advertising,1.5,Payment,223.8618
05/06/2014,Media,3,Payment,447.7236
05/13/2014,Royalty,6,Payment,866.8092
05/13/2014,Advertising,1.5,Payment,216.7023
05/13/2014,Media,3,Payment,433.4046
05/20/2014,Royalty,6,Payment,931.9782
05/20/2014,Advertising,1.5,Payment,232.99455
05/20/2014,Media,3,Payment,465.9891
05/27/2014,Royalty,6,Payment,811.7334
05/27/2014,Advertising,1.5,Payment,202.93335
05/27/2014,Media,3,Payment,405.8667
06/03/2014,Royalty,6,Payment,919.0764
06/03/2014,Advertising,1.5,Payment,229.7691
06/03/2014,Media,3,Payment,459.5382
06/10/2014,Royalty,6,Payment,885.7152
06/10/2014,Advertising,1.5,Payment,221.4288
06/10/2014,Media,3,Payment,442.8576
06/17/2014,Royalty,6,Payment,903.2364
06/17/2014,Advertising,1.5,Payment,225.8091
06/17/2014,Media,3,Payment,451.6182
06/24/2014,Royalty,6,Payment,813.7476
06/24/2014,Advertising,1.5,Payment,203.4369
06/24/2014,Media,3,Payment,406.8738
07/01/2014,Royalty,6,Payment,828.5436
07/01/2014,Advertising,1.5,Payment,207.1359
07/01/2014,Media,3,Payment,414.2718
07/08/2014,Royalty,6,Payment,728.7138
07/08/2014,Advertising,1.5,Payment,182.17845
07/08/2014,Media,3,Payment,364.3569
07/15/2014,Royalty,6,Payment,844.8912
07/15/2014,Advertising,1.5,Payment,211.2228
07/15/2014,Media,3,Payment,422.4456
07/22/2014,Royalty,6,Payment,850.5312
07/22/2014,Advertising,1.5,Payment,212.6328
07/22/2014,Media,3,Payment,425.2656
07/29/2014,Royalty,6,Payment,853.065
07/29/2014,Advertising,1.5,Payment,213.26625
07/29/2014,Media,3,Payment,426.5325
08/05/2014,Royalty,6,Payment,913.4148
08/05/2014,Advertising,1.5,Payment,228.3537
08/05/2014,Media,3,Payment,456.7074
08/12/2014,Royalty,6,Payment,903.6546
08/12/2014,Advertising,1.5,Payment,225.91365
08/12/2014,Media,3,Payment,451.8273
08/19/2014,Royalty,6,Payment,927.6594
08/19/2014,Advertising,1.5,Payment,231.91485
08/19/2014,Media,3,Payment,463.8297
08/26/2014,Royalty,6,Payment,882.5538
08/26/2014,Advertising,1.5,Payment,220.63845
08/26/2014,Media,3,Payment,441.2769
09/02/2014,Royalty,6,Payment,825.8376
09/02/2014,Advertising,1.5,Payment,206.4594
09/02/2014,Media,3,Payment,412.9188
09/09/2014,Royalty,6,Payment,905.7834
09/09/2014,Advertising,1.5,Payment,226.44585
09/09/2014,Media,3,Payment,452.8917
09/16/2014,Royalty,6,Payment,895.8384
09/16/2014,Advertising,1.5,Payment,223.9596
09/16/2014,Media,3,Payment,447.9192
09/23/2014,Royalty,6,Payment,953.172
09/23/2014,Advertising,1.5,Payment,238.293
09/23/2014,Media,3,Payment,476.586
09/30/2014,Royalty,6,Payment,930.2178
09/30/2014,Advertising,1.5,Payment,232.55445
09/30/2014,Media,3,Payment,465.1089
10/07/2014,Royalty,6,Payment,890.9466
10/07/2014,Advertising,1.5,Payment,222.73665
10/07/2014,Media,3,Payment,445.4733
10/14/2014,Royalty,6,Payment,749.073
10/14/2014,Advertising,1.5,Payment,187.26825
10/14/2014,Media,3,Payment,374.5365
10/21/2014,Royalty,6,Payment,804.57
10/21/2014,Advertising,1.5,Payment,201.1425
10/21/2014,Media,3,Payment,402.285
10/28/2014,Royalty,6,Payment,828.9162
10/28/2014,Advertising,1.5,Payment,207.22905
10/28/2014,Media,3,Payment,414.4581
11/04/2014,Royalty,6,Payment,779.106
11/04/2014,Advertising,1.5,Payment,194.7765
11/04/2014,Media,3,Payment,389.553
11/11/2014,Royalty,6,Payment,781.6398
11/11/2014,Advertising,1.5,Payment,195.40995
11/11/2014,Media,3,Payment,390.8199
11/18/2014,Royalty,6,Payment,753.7128
11/18/2014,Advertising,1.5,Payment,188.4282
11/18/2014,Media,3,Payment,376.8564
11/25/2014,Royalty,6,Payment,797.6256
11/25/2014,Advertising,1.5,Payment,199.4064
11/25/2014,Media,3,Payment,398.8128
12/02/2014,Royalty,6,Payment,622.5192
12/02/2014,Advertising,1.5,Payment,155.6298
12/02/2014,Media,3,Payment,311.2596
12/09/2014,Royalty,6,Payment,782.841
12/09/2014,Advertising,1.5,Payment,195.71025
12/09/2014,Media,3,Payment,391.4205
12/16/2014,Royalty,6,Payment,852.078
12/16/2014,Advertising,1.5,Payment,213.0195
12/16/2014,Media,3,Payment,426.039
12/23/2014,Royalty,6,Payment,906.0486
12/23/2014,Advertising,1.5,Payment,226.51215
12/23/2014,Media,3,Payment,453.0243
12/30/2014,Royalty,6,Payment,582.0564
12/30/2014,Advertising,1.5,Payment,145.5141
12/30/2014,Media,3,Payment,291.0282
