week_ending_date,Invoice #,Invoice Date,Due Date,Vendor Name,Description,Bread 4311,Food 4312,Sides 4313,Paper 4314,Beverage 4316,Catering 4320,Operating Supplies 5220,Fuel Surcharge,Discounts,Delivery Charges,Tax,Invoice Totals,Aprons-Floor Mats 5285
03/18/2014,0718056 (1227257),03/15/2014,0,Daybreak Fruit & Vegetables,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0,0,0.0,2.0,0.0
03/25/2014,032414 (1235266),03/24/2014,0,Local SuperMarket,0,0.0,5.97,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,5.97,0.0
03/25/2014,032414 (1235289),03/25/2014,0,Local SuperMarket,0,0.0,9.39,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,9.39,0.0
03/25/2014,0718776 (1236772),03/22/2014,0,Daybreak Fruit & Vegetables,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0,0,0.0,2.0,0.0
03/25/2014,0719102 (1236782),03/25/2014,0,Daybreak Fruit & Vegetables,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0,0,0.0,2.0,0.0
03/25/2014,0718718 (1236796),03/21/2014,0,Daybreak Fruit & Vegetables,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0,0,0.0,2.0,0.0
03/25/2014,603140747 (1236829),03/21/2014,0,Sysco Food Services,0,0.0,248.253,0.0,0.0,0.0,0.0,0.0,8.0,0,0,0.0,256.253,0.0
03/25/2014,603165452 (1236897),03/25/2014,0,Sysco Food Services,0,0.0,0.0,112.25,0.0,0.0,0.0,0.0,8.0,0,0,0.0,120.25,0.0
03/25/2014,603132183 (1236959),03/20/2014,0,Sysco Food Services,0,570.83,1841.5441,394.47,220.58,393.26,0.0,139.57,8.0,0,0,17.89,3586.1441,0.0
04/01/2014,0719414 (1245725),03/28/2014,0,Daybreak Fruit & Vegetables,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0,0,0.0,2.0,0.0
04/01/2014,0719852 (1245738),04/01/2014,0,Daybreak Fruit & Vegetables,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0,0,0.0,2.0,0.0
04/01/2014,033014 (1245819),03/30/2014,0,Local SuperMarket,0,0.0,22.05,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,22.05,0.0
04/01/2014,033014 (1245838),03/31/2014,0,Local SuperMarket,0,0.0,9.39,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,9.39,0.0
04/01/2014,603197695 (1248411),03/28/2014,0,Sysco Food Services,0,0.0,0.0,134.7,0.0,0.0,0.0,0.0,0.0,0,0,0.0,134.7,0.0
04/01/2014,603183790 (1248445),03/27/2014,0,Sysco Food Services,0,606.37,2087.0837,448.68,265.38,106.94,0.0,31.98,8.0,0,0,2.64,3557.0737,0.0
04/08/2014,0720017 (1252186),04/03/2014,0,Daybreak Fruit & Vegetables,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0,0,0.0,2.0,0.0
04/08/2014,603236877 (1252190),04/03/2014,0,Sysco Food Services,0,547.55,2085.1585,574.03,171.55,335.37,44.85,111.62,8.0,0,0,9.23,3887.3585,0.0
04/08/2014,040714 (1256373),04/08/2014,0,Local SuperMarket,0,0.0,9.39,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,9.39,0.0
04/08/2014,0720402 (1256384),04/07/2014,0,Daybreak Fruit & Vegetables,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0,0,0.0,2.0,0.0
04/08/2014,0720503 (1256391),04/07/2014,0,Daybreak Fruit & Vegetables,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0,0,0.0,2.0,0.0
04/15/2014,0720756 (1261297),04/10/2014,0,Daybreak Fruit & Vegetables,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0,0,0.0,2.0,0.0
04/15/2014,603292224 (1261306),04/10/2014,0,Sysco Food Services,0,618.41,2062.8622,573.1,154.48,247.16,80.86,31.98,8.0,0,0,15.6,3792.4522,0.0
04/15/2014,0720964 (1262887),04/12/2014,0,Daybreak Fruit & Vegetables,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0,0,0.0,2.0,0.0
04/15/2014,041415 (1267034),04/15/2014,0,Local SuperMarket,0,0.0,18.78,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,18.78,0.0
04/15/2014,0721301 (1267049),04/15/2014,0,Daybreak Fruit & Vegetables,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0,0,0.0,2.0,0.0
04/22/2014,603356004 (1271397),04/17/2014,0,Sysco Food Services,0,576.26,2148.9304,575.95,151.5,255.78,24.14,31.98,8.0,0,0,4.94,3777.4804,0.0
04/22/2014,0721848 (1275295),04/21/2014,0,Daybreak Fruit & Vegetables,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0,0,0.0,2.0,0.0
04/22/2014,603386859 (1275300),04/21/2014,0,Sysco Food Services,0,0.0,0.0,0.0,42.92,0.0,0.0,27.91,8.0,0,0,2.56,81.39,0.0
04/29/2014,042514 (1282135),04/26/2014,0,Local SuperMarket,0,0.0,9.39,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,9.39,0.0
04/29/2014,603426226 (1282144),04/24/2014,0,Sysco Food Services,0,478.52,1559.7107,401.29,178.18,230.86,0.0,59.89,8.0,0,0,4.95,2921.4007,0.0
04/29/2014,0722387 (1282145),04/26/2014,0,Daybreak Fruit & Vegetables,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0,0,0.0,10.0,0.0
04/29/2014,0722682 (1284937),04/29/2014,0,Daybreak Fruit & Vegetables,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0,0,0.0,2.0,0.0
05/06/2014,603495871 (1292282),05/01/2014,0,Sysco Food Services,0,576.26,1836.4155,579.56,143.34,262.56,0.0,31.98,7.0,0,0,2.64,3439.7555,0.0
05/06/2014,0723107 (1292877),05/03/2014,0,Daybreak Fruit & Vegetables,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0,0,0.0,2.0,0.0
