week_ending_date,Shift - 1 Wed AM,Shift - 2 Wed PM,Shift - 3 Thu AM,Shift - 4 Thu PM,Shift - 5 Fri AM,Shift - 6 Fri PM,Shift - 7 Sat AM,Shift - 8 Sat PM,Shift - 9 Sun AM,Shift - 10 Sun PM,Shift - 11 Mon AM,Shift - 12 Mon PM,Shift - 13 Tue AM,Shift - 14 Tue PM,Royalty Sales
01/21/2014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,596.69,553.16,1149.85
01/28/2014,621.73,485.5,636.91,440.81,748.71,780.9,1176.68,657.21,942.17,744.5,812.07,530.68,848.06,577.35,10003.279999999999
02/04/2014,1172.17,628.15,790.37,568.82,946.45,857.83,1538.95,739.36,785.93,404.04,787.38,682.01,785.36,861.5,11548.32
02/11/2014,1143.07,910.38,879.66,380.07,1304.35,666.07,1129.39,893.38,954.84,653.81,957.1,686.3,957.82,855.05,12371.289999999997
02/18/2014,1211.72,777.56,1421.21,848.28,1337.07,651.13,1651.13,762.98,1457.43,891.64,1504.74,1036.86,869.9,719.92,15141.57
02/25/2014,1615.07,908.37,1514.91,809.15,1225.87,731.8,1698.18,860.32,1362.73,957.53,1090.53,1087.93,1119.15,785.1,15766.640000000001
03/04/2014,1450.17,873.73,1336.07,983.42,1182.61,849.19,1776.58,722.49,905.42,510.06,1226.67,617.03,1054.43,825.55,14313.42
03/11/2014,1326.74,772.71,1344.13,791.59,1476.21,1059.35,1795.68,946.57,1012.51,1134.65,1255.47,855.67,1282.46,921.62,15975.359999999999
03/18/2014,1269.27,1040.26,1363.54,588.69,1237.86,889.34,1294.36,754.0,1142.94,871.62,1151.89,729.03,1190.7,1065.79,14589.29
03/25/2014,897.68,832.33,1084.55,1204.86,1645.23,1041.35,1409.45,884.77,1260.89,825.48,2326.01,1016.44,1198.65,1049.76,16677.449999999997
04/01/2014,1427.22,941.28,1337.32,1001.98,1418.7,1044.95,1604.26,1078.51,1254.42,856.38,1282.43,840.44,1215.43,998.67,16301.99
04/08/2014,930.31,867.75,1008.71,1172.63,1571.67,994.78,1415.92,811.08,949.64,763.07,1284.6,861.34,1090.33,897.62,14619.45
04/15/2014,1068.56,916.29,1299.86,1153.04,1186.51,1047.84,1600.99,991.63,1297.85,632.22,1092.72,760.45,2147.32,776.71,15971.989999999998
04/22/2014,1010.44,729.91,1210.57,809.65,1301.45,875.3,1234.84,732.87,0.0,0.0,1258.61,842.88,1246.11,829.93,12082.560000000001
04/29/2014,1441.44,794.22,1062.26,1099.26,1599.12,739.7,1409.3,824.76,1214.8,700.58,878.92,778.68,1055.59,893.88,14492.509999999998
05/06/2014,954.1,740.18,1258.69,958.04,1254.18,915.35,1734.39,730.04,1172.37,506.06,1168.02,793.87,1601.62,1137.21,14924.119999999999
05/13/2014,1222.99,684.51,1674.66,701.26,1772.86,1065.29,1589.84,671.22,768.86,638.93,1203.88,694.55,1028.66,729.31,14446.819999999998
05/20/2014,1134.61,943.41,1325.44,808.19,1568.06,1004.48,1504.11,749.25,1275.42,734.43,1225.84,825.32,1382.13,1052.28,15532.97
05/27/2014,1237.3,769.28,1235.55,956.04,1722.97,693.28,1345.28,651.44,1137.43,592.98,822.71,536.79,1109.14,718.7,13528.89
06/03/2014,1432.87,797.8,1304.27,616.66,1229.95,1000.99,1504.21,1078.24,1380.05,609.08,1302.93,702.66,1451.44,906.79,15317.939999999999
06/10/2014,1567.57,901.41,1651.14,710.81,1598.5,811.76,1297.94,789.45,964.47,580.97,1216.12,574.89,1321.76,775.13,14761.919999999998
06/17/2014,1472.79,878.35,1722.76,619.64,1629.61,833.19,1430.33,725.22,974.36,727.32,1336.72,700.47,1205.66,797.52,15053.939999999999
06/24/2014,1269.34,752.31,1762.29,859.13,1321.16,665.06,885.87,684.66,998.99,726.31,1268.8,639.65,1120.66,608.23,13562.459999999997
07/01/2014,1307.77,838.35,1157.07,612.69,1316.61,964.79,919.0,645.7,1090.85,805.51,1421.28,786.71,1068.55,874.18,13809.060000000001
07/08/2014,994.13,873.17,1173.16,797.79,974.55,528.03,875.17,549.42,1052.64,572.18,1071.66,563.89,1433.24,686.2,12145.23
07/15/2014,1351.18,642.78,1295.46,697.36,1445.92,847.04,1193.51,724.96,952.01,778.43,1606.08,683.43,1132.7,730.66,14081.520000000002
