item,week_ending,category,units_of_measure,beginning_units,unit_purchases_1,unit_purchases_2,unit_purchases_3,unit_purchases_4,total_purchased,on_hand_counts,ending_units,unit_cost,ending_value_usd,usage_units
Mini Loaf,01/21/2014,Bread 4311,ea,0.0,882.0,0.0,0,0,882.0,0,690.0,0.42310000000000003,291.939,192.0
Wheat,01/21/2014,Bread 4311,ea,0.0,48.0,0.0,0,0,48.0,0,40.0,1.4224999999999999,56.89999999999999,8.0
Avo Fresco,01/21/2014,Food 4312,Case,0.0,0.0,0.0,0,0,0.0,0,0.0,1.0,0.0,0.0
Capicola,01/21/2014,Food 4312,lb,0.0,38.85,0.0,0,0,38.85,0,37.75,3.0780000000000003,116.1945,1.1000000000000014
Salami,01/21/2014,Food 4312,lb,0.0,36.85,0.0,0,0,36.85,0,36.25,2.5110013793103447,91.0238,0.6000000000000014
Ham,01/21/2014,Food 4312,lb,0.0,125.3,0.0,0,0,125.3,0,119.5,2.2550000000000003,269.4725,5.799999999999997
Turkey,01/21/2014,Food 4312,lb,0.0,146.65,0.0,0,0,146.65,0,139.0,3.078,427.842,7.650000000000006
Beef,01/21/2014,Food 4312,lb,0.0,85.2,0.0,0,0,85.2,0,80.5,4.022,323.771,4.700000000000003
Bacon,01/21/2014,Food 4312,ea,0.0,1200.0,0.0,0,0,1200.0,0,1150.0,0.2028,233.22,50.0
Cheese,01/21/2014,Food 4312,lb,0.0,103.9,0.0,0,0,103.9,0,98.5,2.461,242.40849999999998,5.400000000000006
Mayonnaise,01/21/2014,Food 4312,gal mayo,0.0,48.0,0.0,0,0,48.0,0,48.0,9.3475,448.68,0.0
Oil,01/21/2014,Food 4312,gal oil,0.0,12.0,0.0,0,0,12.0,0,12.0,8.6,103.19999999999999,0.0
Vinegar,01/21/2014,Food 4312,gal vinegar,0.0,8.0,0.0,0,0,8.0,0,8.0,6.6675,53.34,0.0
Avocado,01/21/2014,Food 4312,avo can,0.0,24.0,0.0,0,0,24.0,0,23.0,3.245,74.635,1.0
Peppers Cherry,01/21/2014,Food 4312,Gal Peppers,0.0,12.0,0.0,0,0,12.0,0,11.75,7.67,90.1225,0.25
Mustard Dijon,01/21/2014,Food 4312,jar dijon,0.0,12.0,0.0,0,0,12.0,0,12.0,5.6717,68.0604,0.0
Soy Sauce,01/21/2014,Food 4312,gal soy,0.0,4.0,0.0,0,0,4.0,0,3.9,9.547512820512821,37.2353,0.10000000000000009
Tuna,01/21/2014,Food 4312,can tuna,0.0,12.0,0.0,0,0,12.0,0,11.5,11.826704347826087,136.0071,0.5
