week_ending_date,Bread 4311,Food 4312,Sides 4313,Paper 4314,Produce 4315,Beverage 4316,Catering 4320,Sub Total COGS,Discounted Total COGS,Cash Over Under,Manager,InShop,Driver,Tax,DMR,Total,Vacation,Training Pay,Vacation Tax,Training Tax,Total Vacation/Training,Total Labor Cost,Manager Freebies,Employee Freebies,Promo,Waste,Total Freebies
01/21/2014,0.07819827578927818,0.0822997357110901,0.11945369033445644,-0.008701353530747847,0.011835414714052911,0.008668591838285633,4.2218675853412135e-06,0.2917585767240008,0.29766919134348385,0.13,0.0,269.0432,173.6375,50.6869,0.8,494.1676,0.0,0.0,0.0,0.0,0.0,494.1676,10.79,23.67,0.0,0.0,34.46
01/28/2014,0.043298767261507255,0.13241844867001692,0.03600824750308305,0.015579650309768807,0.018873582155756925,0.023102065287858315,0.00012611075636232447,0.2694068719443536,0.2700892894571367,3.27,1652.2471,1548.2445,1056.4975,487.4253,40.97,4785.384400000001,0.0,0.0,0.0,0.0,0.0,4785.384400000001,111.79,141.83,0.75,0.0,254.37
02/04/2014,0.035102742885875206,0.13075499408725802,0.033105412719548116,0.014117528550036526,0.015854867367505056,0.01943114935747075,0.0012816725314408037,0.2496483674991346,0.25024091143415117,5.56,1474.8333,1663.9792,1044.0946,478.9429,67.43,4729.280000000001,0.0,0.0,0.0,0.0,0.0,4729.280000000001,88.51,150.08,26.56,0.0,265.15000000000003
02/11/2014,0.03536303527467297,0.12993844237664987,0.02630746608174164,0.013847892130900923,0.015008820444171518,0.021451904308244334,0.0010450193891911477,0.24296258000557247,0.24367295134824535,9.33,1259.3186,1817.2817,1044.996,471.9228,139.78,4733.2991,0.0,0.0,0.0,0.0,0.0,4733.2991,54.84,225.8,17.5,0.0,298.14
02/18/2014,0.03377875981724386,0.14941940121375066,0.040646581813444334,0.013054761375428514,0.013156672096114843,0.014634607644049441,0.0010358038942949307,0.2657265878543266,0.2664395675194984,-2.98,1406.8057,1747.4406,1125.1888,489.9953,112.02,4881.4504,130.0,0.0,14.885,0.0,144.885,5026.3354,95.41,157.03,4.75,29.45,286.64
02/25/2014,0.033618338912118274,0.12079954838605267,0.03730047389589227,0.0136154011808186,0.014805250821257719,0.015358309858453633,0.0013261367215167661,0.2368234597761099,0.2375081005450984,3.19,1498.0336,1772.5254,1065.5657,496.4863,160.11,4992.7210000000005,0.0,0.0,0.0,0.0,0.0,4992.7210000000005,84.82,162.87,23.94,28.55,300.18
03/04/2014,0.036192406841779594,0.12820876726390762,0.033980741072528665,0.01150560266515456,0.020562029580002632,0.017655695957817144,0.0006695560957446155,0.24877479947693482,0.24952359136928848,3.05,1493.8427,1744.9673,924.3124,476.6775,196.43,4836.2299,0.0,0.0,0.0,0.0,0.0,4836.2299,129.33,134.95,102.23,10.4,376.90999999999997
03/11/2014,0.033987620279266606,0.1300645512259341,0.03657287329225955,0.012505257766884124,0.017497713415101073,0.020604068865259655,0.0019426996833393872,0.2531747845280445,0.2540324453072783,-2.92,1504.0305,1869.904,960.3503,496.2756,248.54,5079.1004,0.0,0.0,0.0,0.0,0.0,5079.1004,68.33,205.68,55.2,18.9,348.10999999999996
03/18/2014,0.03576782474877871,0.13233508118341955,0.035584243443548776,0.014157337379808736,0.01668345613920878,0.015787871446107132,1.907470393397409e-18,0.2503158143408717,0.2513225115619176,6.03,1486.5001,1734.2569,971.732,480.04,230.52,4903.049,0.0,0.0,0.0,0.0,0.0,4903.049,107.89,167.98,23.75,11.3,310.92
03/25/2014,0.03512207085789122,0.12169976082846613,0.03293293327604722,0.012390462451487541,0.01883817123310744,0.01403943995919841,0.0014058109167887534,0.23642864952298678,0.23820160381445218,1.82,1511.2826,1906.9951,1076.8982,514.6976,218.22,5228.0935,0.0,0.0,0.0,0.0,0.0,5228.0935,87.82,137.9,17.74,0.0,243.46
04/01/2014,0.03418206836144628,0.12615705445678935,0.0333658921481217,0.013338830850603061,0.018948234862624397,0.018630146985192893,0.0007598638610427107,0.24538209152582047,0.24610597821824945,-9.53,1504.5336,1930.391,950.7182,502.1561,239.03,5126.8289,0.0,0.0,0.0,0.0,0.0,5126.8289,118.04,125.71,14.19,17.25,275.19
04/08/2014,0.03746973094094898,0.1285659029329181,0.034280631237089715,0.008035496478572046,0.01794092945223055,0.014670436506199279,0.0007044741700212886,0.24166760171797994,0.24261051060536765,3.11,1543.9098,1815.1802,924.1513,490.4311,238.96,5012.6323999999995,130.0,0.0,14.885,0.0,144.885,5157.5174,76.32,129.31,22.59,0.0,228.22
04/15/2014,0.03607780091741367,0.12898879996452056,0.039178627107128716,0.013598621970006351,0.01975190901996148,0.014214663958898102,0.0021467504621254263,0.2539571734000543,0.2548195200794344,-0.86,1506.4999,1832.4385,1012.0124,498.1839,318.08,5167.2146999999995,0.0,0.0,0.0,0.0,0.0,5167.2146999999995,103.2,148.08,5.75,5.75,262.78000000000003
04/22/2014,0.03817893067688776,0.12437505269438552,0.035413456362563316,0.015674236823160888,0.017997807913561755,0.01934299829432326,0.0008924158997606879,0.25187489866464313,0.25333412780253056,3.94,1314.8334,1485.6962,835.1054,416.2802,304.01,4355.9252,100.0,0.0,11.45,0.0,111.45,4467.3751999999995,110.39,93.49,24.09,24.75,252.72
04/29/2014,0.038162036283423975,0.12615718609124343,0.0377549855656952,0.01153752420943528,0.018825090775000917,0.01577261900411602,0.0018290406917835745,0.25003848262069844,0.25136730239619437,4.28,1507.7421,1632.447,901.2545,462.7453,297.32,4801.508899999999,0.0,0.0,0.0,0.0,0.0,4801.508899999999,93.51,108.43,356.5,0.0,558.44
