week_ending_date,Manager Freebies,Employee Freebies,Promo,Waste,Total Freebies
01/21/2014,10.79,23.67,0.0,0.0,34.46
01/28/2014,111.79,141.83,0.75,0.0,254.37
02/04/2014,88.51,150.08,26.56,0.0,265.15000000000003
02/11/2014,54.84,225.8,17.5,0.0,298.14
02/18/2014,95.41,157.03,4.75,29.45,286.64
02/25/2014,84.82,162.87,23.94,28.55,300.18
03/04/2014,129.33,134.95,102.23,10.4,376.90999999999997
03/11/2014,68.33,205.68,55.2,18.9,348.10999999999996
03/18/2014,107.89,167.98,23.75,11.3,310.92
03/25/2014,87.82,137.9,17.74,0.0,243.46
04/01/2014,118.04,125.71,14.19,17.25,275.19
04/08/2014,76.32,129.31,22.59,0.0,228.22
04/15/2014,103.2,148.08,5.75,5.75,262.78000000000003
04/22/2014,110.39,93.49,24.09,24.75,252.72
04/29/2014,93.51,108.43,356.5,0.0,558.44
05/06/2014,96.7,115.17,172.5,0.0,384.37
05/13/2014,121.38,87.55,280.86,0.0,489.79
05/20/2014,85.21,68.67,29.04,0.0,182.92
05/27/2014,126.57,74.41,9.5,4.75,215.23
06/03/2014,78.87,78.86,123.62,56.29,337.64000000000004
06/10/2014,74.62,115.47,298.92,0.0,489.01
06/17/2014,43.86,56.14,11.35,7.75,119.1
06/24/2014,97.6,95.69,223.25,0.0,416.53999999999996
07/01/2014,121.48,80.11,29.5,0.0,231.09
07/08/2014,95.9,119.11,499.75,0.0,714.76
07/15/2014,95.55,50.34,1471.89,5.75,1623.5300000000002
07/22/2014,91.11,102.93,549.15,13.2,756.3900000000001
07/29/2014,122.48,89.15,545.5,0.0,757.13
08/05/2014,124.58,112.28,478.74,16.95,732.5500000000001
08/12/2014,110.69,128.56,544.09,0.0,783.34
08/19/2014,99.5,109.57,475.0,4.75,688.8199999999999
08/26/2014,107.99,110.57,563.54,0.0,782.0999999999999
09/02/2014,106.79,105.98,418.0,11.5,642.27
09/09/2014,107.29,122.36,649.25,0.0,878.9
09/16/2014,95.79,131.45,332.15,0.0,559.39
09/23/2014,97.8,110.89,357.25,5.75,571.69
09/30/2014,70.33,107.59,333.15,4.75,515.8199999999999
10/07/2014,102.39,99.79,250.17,5.75,458.1
10/14/2014,85.91,127.76,56.09,6.65,276.40999999999997
10/21/2014,116.38,106.48,139.31,0.0,362.17
10/28/2014,88.91,84.7,204.09,5.65,383.35
11/04/2014,115.88,86.19,75.99,0.0,278.06
11/11/2014,91.1,91.25,21.8,0.0,204.15
11/18/2014,102.7,88.2,101.05,0.0,291.95
11/25/2014,79.42,86.9,47.99,10.5,224.81
12/02/2014,68.83,44.05,114.0,0.0,226.88
12/09/2014,113.18,70.72,212.59,12.0,408.49
12/16/2014,94.1,91.4,114.49,5.55,305.54
12/23/2014,60.24,71.62,52.72,4.75,189.33
12/30/2014,83.21,44.45,61.49,16.85,206.0
