week_ending_date,Manager_usd,InShop_usd,Driver_usd,Tip Credit_usd,TAX_usd,DMR_usd,Manager_prcnt_as_dec,InShop_prcnt_as_dec,Driver_prcnt_as_dec,Tip Credit_prcnt_as_dec,TAX_prcnt_as_dec,DMR_prcnt_as_dec
01/28/2014,1652.2471,1548.2445,1056.4975,0,487.4252519499999,40.97,0.16107462235502285,0.1509355944100257,0.10299605660165827,0,0.04751821830048792,0.0039940922141036206
02/04/2014,1474.8333,1663.9792,1044.0946000000001,0,478.94286294999995,67.43,0.12484336101077838,0.14085439756481374,0.08838170325907631,0,0.04054209838006953,0.005707891076880883
02/11/2014,1259.3186,1817.2817,1044.9959999999999,0,471.92277635,139.78,0.09939820497054722,0.14343831569376048,0.0824816901786426,0,0.03724893514151781,0.011032856253201604
02/18/2014,1406.8057,1747.4406,1125.1888,0,489.99531894999996,112.02,0.0911839869952509,0.11326269217232589,0.07293061217082215,0,0.03175969985824668,0.007260725644776679
02/25/2014,1498.0336,1772.5254,1065.5657,0,496.48627815,160.11,0.0932377159886026,0.11032210480978813,0.06632088365961654,0,0.03090134066044183,0.009965257592977329
03/04/2014,1493.8427,1744.9673,924.3124,0,476.6775148,196.43,0.10168884565561154,0.11878339696929885,0.06291978464745177,0,0.03244838712268547,0.013371381037730263
03/11/2014,1504.0304999999998,1869.9039999999998,960.3503000000001,0,496.27560959999994,248.54,0.09213914075867446,0.11455309440946072,0.058832484759674265,0,0.03040258043173418,0.015225929290769671
03/18/2014,1486.5001,1734.2568999999999,971.7320000000001,0,480.0399905,230.52,0.09976370131696131,0.11639144012064259,0.06521599360009021,0,0.03221699496181597,0.015470922893033054
03/25/2014,1511.2826,1906.9950999999996,1076.8981999999999,0,514.69764055,218.22,0.08931449904290018,0.11270050487828372,0.06364304283871257,0,0.030417846354008144,0.012896469516119405
04/01/2014,1504.5336,1930.3909999999998,950.7182000000001,0,502.15610059999995,239.03,0.09075932094602339,0.11644869634039082,0.05735102110250357,0,0.03029200989553108,0.014419219674275117
04/08/2014,1543.9098,1815.1802,924.1513,0,490.4311288499999,238.96,0.10398330512464245,0.12225353877072968,0.06224217671863666,0,0.033030847860304,0.01609410769501208
04/15/2014,1506.4999,1832.4385000000002,1012.0124,0,498.1838666,318.08,0.09279465616082026,0.11287123254594923,0.06233610947367902,0,0.030686228791661354,0.01959251655551634
04/22/2014,1314.8334,1485.6961999999999,835.1054000000001,0,416.28020749999996,304.01,0.10659128937486623,0.12044284361603463,0.06770056293817409,0,0.03374712268387908,0.02464556945606423
04/29/2014,1507.7421,1632.4469999999997,901.2545,0,462.74529219999994,297.32,0.10017587594138574,0.10846139280244765,0.05988024011773343,0,0.030745254764649402,0.019754234782522032
05/06/2014,1501.4470000000001,1605.8297000000005,952.6822000000001,0,464.86529404999993,269.17,0.09807936641693597,0.1048979814468965,0.06223227764462727,0,0.03036650212071863,0.017583053586604558
05/13/2014,1419.1336000000001,1657.0497,939.61,0,459.80833284999994,242.26,0.09501042070456416,0.11093880740007271,0.06290650957613542,0,0.030783981964448422,0.016219209044086975
05/20/2014,1498.3334,1607.2024999999999,961.9402,0,465.7260134499999,363.51,0.09533875587065066,0.10226608228996258,0.06120812757024897,0,0.02963408457618372,0.023130093173215134
05/27/2014,1418.3333,1465.4111,1044.4043000000001,0,449.7730261499999,263.24,0.10319564293676131,0.10662094772164386,0.07598917209686762,0,0.03272475983547873,0.01915291775682983
06/03/2014,1433.4999,1507.2965,970.7454999999999,0,447.87154755,293.44,0.09156479031757367,0.09627854732945058,0.06200635811640322,0,0.028607790164912446,0.01874347676675026
06/10/2014,1503.9999,1568.2902000000001,980.4248,0,464.03585604999995,244.69,0.09861693024622105,0.10283243054685846,0.06428623041348953,0,0.030426725193152152,0.016044267464344796
06/17/2014,1434.3005,1553.6998,1112.1698999999999,0,469.4694879,278.13,0.09452954055350807,0.1023987150893954,0.07329908179244238,0,0.030941030136347098,0.01833053890321254
06/24/2014,1531.8334,1455.5792,1136.2712000000001,0,472.16179509999995,249.77,0.10958104299306103,0.1041261320552257,0.08128415480363403,0,0.033776507268044924,0.017867515559052867
07/01/2014,1595.1492,1393.5987,1097.3671,0,467.8601675,259.05,0.11361340156622259,0.09925810621681393,0.07815921482320345,0,0.03332301773841448,0.018450657578444676
07/08/2014,1074.8334,1537.78,1212.8391000000001,0,438.01431125,217.57,0.08357964508526057,0.11957863108758249,0.09431104534295906,0,0.03406023731355934,0.016918364633253993
07/15/2014,1611.6159,1672.7504000000001,1052.6559,0,496.5890419,304.13,0.10261768666766423,0.1065103517658333,0.06702658698953522,0,0.031619704610937244,0.019365108675235037
07/22/2014,1315.6525000000001,1498.2178,1271.2784,0,467.74952614999995,305.75,0.08811012790728046,0.10033664815820614,0.08513836475039027,0,0.0313254986234179,0.020476282002771247
07/29/2014,1510.0,1516.9576000000004,1087.2080999999998,0,471.07197265,278.47,0.10083553257188038,0.1013001506522924,0.07260212435759084,0,0.031457478968111935,0.018595808447212935
08/05/2014,1438.76,1588.517,1087.1654999999998,0,471.10366624999995,303.18,0.09016973413979455,0.09955528063509135,0.06813466047218215,0,0.02952493281578929,0.019000847949972834
08/12/2014,1514.6758,1538.2840000000003,1144.3265,0,480.58928134999996,302.24,0.09559782255392335,0.09708783943701976,0.07222345645896776,0,0.03033209406251479,0.01907568991905581
08/19/2014,1330.1865,1416.1193,1413.7804999999998,0,476.32988134999994,404.52,0.08236545816947692,0.08768643717789869,0.08754161813668396,0,0.029494457293924817,0.025047972700607622
08/26/2014,1516.3268,1394.4449999999997,1260.4876,0,477.60920129999994,282.22,0.09788228641440083,0.09001454361891456,0.08136729383468043,0,0.03083074218288552,0.018217932224024666
09/02/2014,1507.5001,1285.569,1212.5267000000001,0,458.64071909999996,258.27,0.10464223464431707,0.08923701759585957,0.08416682921208395,0,0.03183627632628384,0.01792766046356333
09/09/2014,1527.8537999999999,1370.1187,1286.0035000000003,0,479.065252,408.53,0.09563856430775278,0.0857648718740004,0.08049954022743876,0,0.029987890798852477,0.025572618713024926
09/16/2014,1348.3316,1237.2877999999996,1221.7408,0,435.9427428999999,310.53,0.08704512515469627,0.07987639791530421,0.07887272006574551,0,0.028143440839042914,0.020047088352959933
09/23/2014,1427.7349,1354.8308999999997,1146.7112000000002,0,449.9022164999999,315.83,0.08675078640092988,0.0823210569520151,0.06967546872655002,0,0.027336567233102172,0.01919018780657788
09/30/2014,1377.563,1309.3794000000003,1170.1963999999998,0,441.64239259999994,353.74,0.08599315207450943,0.08173685114033255,0.07304847544703469,0,0.027569135806784873,0.022081906682189463
10/07/2014,1504.2744,1224.8320999999999,1090.9319999999998,0,437.39440824999997,302.71,0.09827227822705771,0.08001667841494302,0.07126916008861182,0,0.02857440436565514,0.019775648207609357
10/14/2014,1465.0001,1318.5115,1052.2436,0,439.19397039999996,296.1,0.1148032828251166,0.1033238486759617,0.08245802823612017,0,0.034417000789909225,0.023203583429459856
10/21/2014,1471.5171,1239.6633,1074.7889,0,433.49348484999996,350.37,0.1068510282340486,0.09001546653383358,0.07804346894748422,0,0.03147719084540945,0.02544135896372771
10/28/2014,1504.6393,1262.6934999999999,1021.5728,0,433.8296912,353.05,0.10597081265644126,0.08893072002772098,0.07194873868023793,0,0.030554356071223823,0.024865092523076185
