week_ending_date,Invoice #,Invoice Date,Due Date,Vendor Name,Description,Produce 4315,Discounts,Delivery Charges,Invoice Totals
01/21/2014,012014 (1153422),01/20/2014,0,Local SuperMarket,0,120.498,0,0,120.498
01/28/2014,012214 (1156131),01/22/2014,0,Local SuperMarket,0,9.36,0,0,9.36
01/28/2014,012313 (1158101),01/23/2014,0,Local SuperMarket,0,18.72,0,0,18.72
01/28/2014,012414 (1163741),01/24/2014,0,Local SuperMarket,0,106.65,0,0,106.65
01/28/2014,012814 (1163751),01/28/2014,0,Local SuperMarket,0,101.599,0,0,101.599
02/04/2014,020114 (1167846),02/01/2014,0,Local SuperMarket,0,3.0,0,0,3.0
02/04/2014,020114 (1168184),02/01/2014,0,Local SuperMarket,0,1.77,0,0,1.77
02/04/2014,020214 (1168185),02/02/2014,0,Local SuperMarket,0,94.7,0,0,94.7
02/04/2014,020414 (1172706),02/04/2014,0,Local SuperMarket,0,80.649,0,0,80.649
02/11/2014,0714380 (1182645),02/10/2014,0,Daybreak Fruit & Vegetables,0,113.6,0,0,113.6
02/18/2014,021214 (1184357),02/12/2014,0,Local SuperMarket,0,8.28,0,0,8.28
02/18/2014,021414 (1184363),02/14/2014,0,Local SuperMarket,0,8.22,0,0,8.22
02/18/2014,0714865 (1184367),02/14/2014,0,Daybreak Fruit & Vegetables,0,114.45,0,0,114.45
02/18/2014,0715136 (1189256),02/17/2014,0,Daybreak Fruit & Vegetables,0,113.25,0,0,113.25
02/18/2014,021814 (1190447),02/18/2014,0,Local SuperMarket,0,4.14,0,0,4.14
02/18/2014,Transfer IN - 83499,02/16/2014,02/16/2014,"1393 - E Beltline Rd, Richardson, TX  ",0,17.75,0,0,17.75
02/25/2014,0716171 (1198608),02/25/2014,0,Daybreak Fruit & Vegetables,0,103.1,0,0,103.1
02/25/2014,0715678 (1198612),02/21/2014,0,Daybreak Fruit & Vegetables,0,120.1,0,0,120.1
02/25/2014,022414 (1198710),02/24/2014,0,Local SuperMarket,0,12.95,0,0,12.95
02/25/2014,022214 (1198714),02/22/2014,0,Local SuperMarket,0,5.52,0,0,5.52
02/25/2014,022514 (1198731),02/25/2014,0,Local SuperMarket,0,5.52,0,0,5.52
03/04/2014,030214 (1207870),03/02/2014,0,Local SuperMarket,0,7.08,0,0,7.08
03/04/2014,0716584 (1208053),03/01/2014,0,Daybreak Fruit & Vegetables,0,91.4,0,0,91.4
03/04/2014,0716385 (1208057),02/27/2014,0,Daybreak Fruit & Vegetables,0,80.4,0,0,80.4
03/11/2014,030514 (1217867),03/05/2014,0,Local SuperMarket,0,12.3,0,0,12.3
