week_ending_date,Day,Date,No. Of Sales,(A) Total Dollar Sales,(B) Net Less Over rings,(C) Less Net Promo,(D) Net Less Employee Freebies,(E) Royalty Sales
01/21/2014,Wednesday,2014-01-15,0,0.0,0,0.0,0.0,0.0
01/21/2014,Thursday,2014-01-16,0,0.0,0,0.0,0.0,0.0
01/21/2014,Friday,2014-01-17,0,0.0,0,0.0,0.0,0.0
01/21/2014,Saturday,2014-01-18,0,0.0,0,0.0,0.0,0.0
01/21/2014,Sunday,2014-01-19,6,0.0,0,0.0,0.0,0.0
01/21/2014,Monday,2014-01-20,5,0.0,0,0.0,0.0,0.0
01/21/2014,Tuesday,2014-01-21,138,1184.31,0,0.0,34.46,1149.85
01/28/2014,Wednesday,2014-01-22,138,1143.94,0,0.0,36.71,1107.23
01/28/2014,Thursday,2014-01-23,125,1112.88,0,0.0,35.16,1077.72
01/28/2014,Friday,2014-01-24,170,1558.58,0,0.0,28.97,1529.61
01/28/2014,Saturday,2014-01-25,167,1869.9,0,0.75,35.26,1833.89
01/28/2014,Sunday,2014-01-26,154,1713.44,0,0.0,26.77,1686.67
01/28/2014,Monday,2014-01-27,158,1396.44,0,0.0,53.69,1342.75
01/28/2014,Tuesday,2014-01-28,164,1462.47,0,0.0,37.06,1425.41
02/04/2014,Wednesday,2014-01-29,188,1842.92,0,0.0,42.6,1800.32
02/04/2014,Thursday,2014-01-30,167,1416.12,0,9.28,47.65,1359.19
02/04/2014,Friday,2014-01-31,192,1842.97,0,1.53,37.16,1804.28
02/04/2014,Saturday,2014-02-01,185,2311.64,0,15.75,17.58,2278.31
02/04/2014,Sunday,2014-02-02,120,1229.03,0,0.0,39.06,1189.97
02/04/2014,Monday,2014-02-03,161,1497.46,0,0.0,28.07,1469.39
02/04/2014,Tuesday,2014-02-04,188,1673.33,0,0.0,26.47,1646.86
02/11/2014,Wednesday,2014-02-05,189,2089.01,0,0.0,35.56,2053.45
02/11/2014,Thursday,2014-02-06,131,1298.99,0,0.0,39.26,1259.73
02/11/2014,Friday,2014-02-07,181,2015.33,0,0.0,44.91,1970.42
02/11/2014,Saturday,2014-02-08,185,2071.47,0,5.75,42.95,2022.77
02/11/2014,Sunday,2014-02-09,165,1647.07,0,11.75,26.67,1608.65
02/11/2014,Monday,2014-02-10,183,1686.35,0,0.0,42.95,1643.4
02/11/2014,Tuesday,2014-02-11,199,1861.21,0,0.0,48.34,1812.87
02/18/2014,Wednesday,2014-02-12,219,2022.55,0,0.0,33.27,1989.28
02/18/2014,Thursday,2014-02-13,229,2298.76,0,0.0,29.27,2269.49
02/18/2014,Friday,2014-02-14,220,2033.41,0,0.0,45.21,1988.2
02/18/2014,Saturday,2014-02-15,201,2484.79,0,0.0,70.68,2414.11
02/18/2014,Sunday,2014-02-16,208,2376.44,0,0.0,27.37,2349.07
02/18/2014,Monday,2014-02-17,237,2578.87,0,4.75,32.52,2541.6
02/18/2014,Tuesday,2014-02-18,186,1633.39,0,0.0,43.57,1589.82
02/25/2014,Wednesday,2014-02-19,240,2572.8,0,5.75,43.61,2523.44
02/25/2014,Thursday,2014-02-20,223,2370.62,0,12.09,34.47,2324.06
02/25/2014,Friday,2014-02-21,219,2006.07,0,0.0,48.4,1957.67
02/25/2014,Saturday,2014-02-22,233,2591.42,0,0.0,32.92,2558.5
02/25/2014,Sunday,2014-02-23,205,2345.84,0,6.1,19.48,2320.26
02/25/2014,Monday,2014-02-24,206,2223.47,0,0.0,45.01,2178.46
02/25/2014,Tuesday,2014-02-25,213,1956.6,0,0.0,52.35,1904.25
03/04/2014,Wednesday,2014-02-26,235,2371.6,0,0.0,47.7,2323.9
03/04/2014,Thursday,2014-02-27,234,2379.43,0,1.35,58.59,2319.49
03/04/2014,Friday,2014-02-28,220,2075.51,0,0.0,43.71,2031.8
03/04/2014,Saturday,2014-03-01,223,2543.68,0,0.0,44.61,2499.07
03/04/2014,Sunday,2014-03-02,152,1534.84,0,100.88,18.48,1415.48
03/04/2014,Monday,2014-03-03,180,1880.96,0,0.0,37.26,1843.7
03/04/2014,Tuesday,2014-03-04,197,1904.31,0,0.0,24.33,1879.98
03/11/2014,Wednesday,2014-03-05,213,2195.61,0,40.7,55.46,2099.45
03/11/2014,Thursday,2014-03-06,205,2189.58,0,8.75,45.11,2135.72
03/11/2014,Friday,2014-03-07,247,2568.68,0,5.75,27.37,2535.56
03/11/2014,Saturday,2014-03-08,244,2795.59,0,0.0,53.34,2742.25
03/11/2014,Sunday,2014-03-09,195,2157.85,0,0.0,10.69,2147.16
03/11/2014,Monday,2014-03-10,235,2163.63,0,0.0,52.49,2111.14
03/11/2014,Tuesday,2014-03-11,221,2252.53,0,0.0,48.45,2204.08
03/18/2014,Wednesday,2014-03-12,246,2370.99,0,18.2,43.26,2309.53
03/18/2014,Thursday,2014-03-13,210,2000.63,0,0.0,48.4,1952.23
03/18/2014,Friday,2014-03-14,211,2179.9,0,0.0,52.7,2127.2
03/18/2014,Saturday,2014-03-15,206,2085.12,0,0.0,36.76,2048.36
03/18/2014,Sunday,2014-03-16,177,2050.53,0,0.0,35.97,2014.56
03/18/2014,Monday,2014-03-17,228,1930.08,0,5.55,43.61,1880.92
03/18/2014,Tuesday,2014-03-18,251,2282.96,0,0.0,26.47,2256.49
03/25/2014,Wednesday,2014-03-19,203,1762.78,0,5.75,27.02,1730.01
03/25/2014,Thursday,2014-03-20,221,2328.47,0,0.0,39.06,2289.41
03/25/2014,Friday,2014-03-21,261,2735.78,0,0.0,49.2,2686.58
03/25/2014,Saturday,2014-03-22,217,2324.59,0,0.0,30.37,2294.22
03/25/2014,Sunday,2014-03-23,181,2115.64,0,0.0,29.27,2086.37
03/25/2014,Monday,2014-03-24,261,3374.77,0,0.0,32.32,3342.45
03/25/2014,Tuesday,2014-03-25,240,2278.88,0,11.99,18.48,2248.41
04/01/2014,Wednesday,2014-03-26,236,2394.03,0,4.05,21.48,2368.5
04/01/2014,Thursday,2014-03-27,238,2378.56,0,0.0,39.26,2339.3
04/01/2014,Friday,2014-03-28,263,2504.41,0,0.0,40.76,2463.65
04/01/2014,Saturday,2014-03-29,250,2741.71,0,0.0,58.94,2682.77
04/01/2014,Sunday,2014-03-30,191,2140.42,0,10.14,19.48,2110.8
04/01/2014,Monday,2014-03-31,237,2155.59,0,0.0,32.72,2122.87
04/01/2014,Tuesday,2014-04-01,228,2262.46,0,0.0,48.36,2214.1
04/08/2014,Wednesday,2014-04-02,217,1844.02,0,11.3,34.66,1798.06
04/08/2014,Thursday,2014-04-03,224,2196.78,0,4.75,10.69,2181.34
04/08/2014,Friday,2014-04-04,256,2604.26,0,0.0,37.81,2566.45
04/08/2014,Saturday,2014-04-05,211,2263.06,0,0.0,36.06,2227.0
04/08/2014,Sunday,2014-04-06,179,1731.79,0,0.0,19.08,1712.71
04/08/2014,Monday,2014-04-07,221,2191.54,0,6.54,39.06,2145.94
04/08/2014,Tuesday,2014-04-08,217,2016.22,0,0.0,28.27,1987.95
04/15/2014,Wednesday,2014-04-09,223,1984.85,0,0.0,0.0,1984.85
04/15/2014,Thursday,2014-04-10,257,2510.95,0,5.75,52.3,2452.9
04/15/2014,Friday,2014-04-11,238,2273.96,0,0.0,39.61,2234.35
04/15/2014,Saturday,2014-04-12,240,2652.05,0,0.0,59.43,2592.62
04/15/2014,Sunday,2014-04-13,180,1957.34,0,0.0,27.27,1930.07
04/15/2014,Monday,2014-04-14,197,1892.43,0,0.0,39.26,1853.17
04/15/2014,Tuesday,2014-04-15,218,2963.19,0,0.0,39.16,2924.03
04/22/2014,Wednesday,2014-04-16,208,1788.34,0,3.09,44.9,1740.35
04/22/2014,Thursday,2014-04-17,225,2063.94,0,0.0,43.72,2020.22
04/22/2014,Friday,2014-04-18,225,2222.27,0,16.25,29.27,2176.75
04/22/2014,Saturday,2014-04-19,182,2001.57,0,0.0,33.86,1967.71
04/22/2014,Sunday,2014-04-20,1,0.0,0,0.0,0.0,0.0
04/22/2014,Monday,2014-04-21,243,2136.6,0,0.0,35.11,2101.49
