week_ending_date,Bread 4311,Food 4312,Sides 4313,Paper 4314,Produce 4315,Beverage 4316,Catering 4320,Office Supplies 5230,Sub Total COGS,Discounted Total COGS,Cash Over Under,Operating Supplies 5220
01/01/2019,0.04391801115188829,0.1169511543159977,0.02877739009312178,0.008536445944677883,0.023973693113876843,0.018835327570577404,0.00022417413268113138,0,0.24121619632282099,0.24237838940699735,-21.17,0
01/08/2019,0.03192033366402166,0.13730359329309028,0.02968967778523398,0.010416315724306817,0.01921337957874688,0.005683233184192389,0.0010450541202798535,0,0.2352715873498717,0.23542444790588668,-55.72,0
01/15/2019,0.03780233210332103,0.12079923247232471,0.026660267791249335,0.00921869899841855,0.025069284132841315,0.025053166051660518,0.0019620200316288884,0,0.24656500158144445,0.24656500158144445,-11.5,0
01/22/2019,0.03182007877908764,0.12906480393599562,0.032563933068141024,0.010315420005901818,0.028138585168696103,0.004244517269811757,0.0025957000851013485,0,0.2387430383127353,0.23889875898410942,-20.74,0
01/29/2019,0.03613321989435995,0.11636959047742838,0.029865527550309,0.008963136272505619,0.022417880818178592,0.008437567206683445,0.0005926398588314972,0,0.22277956207829644,0.22293711620798712,-11.74,0
02/05/2019,0.03025902295450177,0.11655812113012579,0.027229021183262928,0.021866064194218222,0.01759231357711107,0.015538920147276626,0.0017813085309646478,0,0.23082477171746113,0.23097551544934833,9.8,0
02/12/2019,0.03493603878718511,0.13822610161981355,0.069538273592447,0.0024138508199078083,0.017782578408828093,0.01584787239288346,0.0022960891255173247,0,0.28104080474658233,0.28111025608793083,-8.44,0
02/19/2019,0.030638950783255334,0.10552785246490079,0.03499981036619643,0.008767556365261801,0.017473292110556513,0.012881621098115185,0.002186762205982947,0,0.21247584539426898,0.21254357175269042,-19.02,0
02/26/2019,0.03004027415453818,0.1255789947581303,0.026464769266536417,0.01046492211693955,0.01905929568075588,0.01560146633630427,0.001479315743976859,0,0.22868903805718158,0.22875326091563825,-41.34,0
03/05/2019,0.032752398750094384,0.11808754131019385,0.03288396699830985,0.015411286903289127,0.024827390183129763,0.015944391687430667,0.0007682171420606019,0,0.24067519297450823,0.24074779436961663,-44.93,0
03/12/2019,0.031757811544044626,0.11307121613945692,0.02752660091733075,0.011392888561444547,0.026146541075731954,0.014844915460539456,0.0001598759890414912,0,0.22489984968758978,0.22499645149365713,31.06,0
03/19/2019,0.03433399412753353,0.13074072047518034,0.031957848674923996,0.018930615130141465,0.0245262578812833,0.018828804514597234,0.0016549160648411413,0,0.2609731568685011,0.26108406973313636,-14.74,0
03/26/2019,0.0511177708039212,0.13024796425134808,0.02881321016665809,-0.027647144283909655,0.022740376001912782,0.015404840192346402,0.0015601662346190952,0,0.22223718336689596,0.22569008931299545,69.34,0
04/02/2019,0.01495622577753532,0.10932729242001538,0.03287512297431674,0.03132373328178232,0.024620788915826638,0.016046344269827165,0.0014565985072275119,0,0.23060610614653096,0.2307054124588374,112.0,0
04/09/2019,0.032473831791026024,0.11901919093090509,0.029752502036064304,0.02176690753261803,0.01871609064722248,0.0063835125252116815,0.0026296248722335503,0,0.23074166033528115,0.2308783089461114,1.64,0
04/16/2019,0.036669140321407986,0.13297122943744638,0.02899385048476231,0.019389554061652735,0.017336081573301725,0.014034676532633251,0.004036309717809954,0,0.25343084212901446,0.2535741039866193,-33.01,0
04/23/2019,0.030747950407384938,0.11671155327897573,0.0223056482465383,-4.492635475798912e-05,0.020411975194750416,0.01642097387877858,0.0001878501371859651,0,0.20674102478885586,0.20689005897282664,-37.14,0
04/30/2019,0.040750734479208336,0.1319931847543101,0.031119761097521802,0.01544204827889225,0.015283061401150246,0.006121515322416707,0.0016656857215930343,0,0.24237599105509247,0.24253993730695328,-5.41,0
05/07/2019,0.0003280951965852637,0.000700248658823204,0.007098197334341955,0.03302066542460378,0.00452146104418976,0.006606745258417536,-0.002210064255331094,0,0.05006534866163035,0.05006534866163035,9.09,0
05/14/2019,0.03239911490403116,0.12807336611517367,0.033639868003821884,-0.011151022586271828,0.01989720979394631,0.016671506892348763,0.008688221103886973,0,0.22821826422693697,0.22835544587120987,-17.69,0
05/21/2019,0.03725351904556931,0.1249978028049571,0.030895074299884993,0.001317995798346328,0.01660463980777756,0.010362807013035406,6.0551354615716345e-05,0,0.22149239012418645,0.22162088106236302,-17.11,0
05/28/2019,0.03593059430294374,0.11955029754820276,0.03201418075061492,0.015432643021502813,0.020203551535348724,0.020715905736729347,0.004860690311830515,0,0.24870786320717275,0.24883481710703786,-63.35,0
06/04/2019,0.033693003803389535,0.13042963000743188,0.02860731217424672,0.01812312684279809,0.01761414418878024,0.010255435495387844,7.374835453613645e-05,0,0.23879640086657047,0.23891783731402005,-90.77,0
06/11/2019,0.03461008459611988,0.11402569859178462,0.03218535789908885,0.011262791081324556,0.009726476392719889,0.011712574142955965,0.0006525191123687124,0,0.21417550181636252,0.21434522358806773,-21.52,0
06/18/2019,0.03804114539404577,0.1257504233676945,0.02886515436129285,0.009036718292934481,0.03067310141518956,0.021056631806273415,0.0007078957432736466,0,0.25413107038070426,0.2543145847693334,-14.14,0
06/25/2019,0.030963177673627013,0.13380073188038255,0.031186237743079114,0.012184906815619847,0.02307911235181109,0.018630390029199976,-2.4659776803726502e-05,0,0.2498198967169159,0.24998204674850272,-26.3,0
07/02/2019,0.03605019183219333,0.13866686334775283,0.031160709114805656,0.012695625571902487,0.020865455828857477,0.01899895005004466,0.001683878532849943,0,0.2601216742784064,0.26029201009205627,-32.47,0
