week_ending_date,Manager Freebies,Employee Freebies,Promo,Waste,Total Freebies
01/01/2019,55.57,172.2,183.0,0.0,410.77
01/08/2019,90.67,181.1,39.57,0.0,311.34
01/15/2019,111.31,205.82,26.24,0.0,343.37
01/22/2019,132.26,138.0,58.45,0.0,328.71
01/29/2019,148.8,295.99,45.35,0.0,490.14000000000004
02/05/2019,144.23,185.32,105.16,0.0,434.7099999999999
02/12/2019,163.53,242.35,242.0,0.0,647.88
02/19/2019,158.22,283.64,48.9,0.0,490.76
02/26/2019,111.2,241.56,131.61,0.0,484.37
03/05/2019,190.88,263.87,76.5,0.0,531.25
03/12/2019,128.25,269.66,197.64,0.0,595.55
03/19/2019,85.27,260.16,164.49,0.0,509.92
03/26/2019,99.93,249.58,304.14,0.0,653.65
04/02/2019,76.41,202.18,167.45,0.0,446.04
04/09/2019,52.98,249.72,60.67,0.0,363.37
04/16/2019,146.92,172.15,34.01,0.0,353.08
04/23/2019,60.55,224.12,69.71,0.0,354.38
04/30/2019,77.31,78.31,151.89,0.0,307.51
05/07/2019,60.34,103.72,157.17,0.0,321.23
05/14/2019,31.02,35.82,332.53,0.0,399.37
05/21/2019,33.73,90.42,251.64,0.0,375.78999999999996
05/28/2019,73.92,290.27,1206.15,0.0,1570.3400000000001
06/04/2019,83.9,270.63,308.16,4.47,667.1600000000001
06/11/2019,106.01,277.37,134.52,12.09,529.99
06/18/2019,59.86,77.62,142.71,0.0,280.19000000000005
06/25/2019,113.12,242.22,209.29,0.0,564.63
07/02/2019,82.8,260.43,128.9,0.0,472.13
07/09/2019,28.94,150.95,135.17,0.0,315.05999999999995
07/16/2019,88.89,116.34,97.95,6.59,309.77
07/23/2019,65.82,141.68,99.07,0.0,306.57
07/30/2019,75.5,123.91,93.61,0.0,293.02
08/06/2019,76.07,135.85,335.41,0.0,547.33
08/13/2019,72.26,151.68,575.02,0.0,798.96
08/13/2019,72.26,151.68,575.02,0.0,798.96
08/27/2019,40.56,68.76,100.74,0.0,210.06
09/03/2019,37.48,20.93,84.09,3.18,145.68
09/10/2019,33.08,87.43,167.09,0.0,287.6
09/17/2019,11.36,34.0,1102.96,0.0,1148.32
09/24/2019,54.3,107.55,58.96,0.0,220.81
10/01/2019,28.5,35.89,50.29,0.0,114.68
10/08/2019,45.14,32.29,73.84,0.0,151.27
10/15/2019,43.65,111.33,53.25,0.0,208.23
10/22/2019,9.57,71.63,232.42,0.0,313.62
10/08/2019,45.14,32.29,73.84,0.0,151.27
11/05/2019,75.94,92.88,134.7,0.0,303.52
11/12/2019,0.0,7.68,41.42,0.0,49.1
11/19/2019,30.4,19.04,277.9,0.0,327.34
11/26/2019,46.13,79.73,155.31,0.0,281.17
12/03/2019,23.31,41.55,42.12,0.0,106.97999999999999
12/10/2019,66.28,97.08,107.69,6.77,277.82
12/17/2019,54.0,142.5,66.47,22.5,285.47
12/24/2019,126.13,216.2,185.92,0.0,528.25
12/31/2019,60.8,111.31,76.19,0.0,248.3
