week_ending_date,payment_type,prcnt_of_royalty_sales,fee_or_payment,amount
01/01/2019,Royalty,6,Payment,672.312
01/01/2019,Advertising,1.5,Payment,168.078
01/01/2019,Media,3,Payment,336.156
01/08/2019,Royalty,6,Payment,766.3488
01/08/2019,Advertising,1.5,Payment,191.5872
01/08/2019,Media,3,Payment,383.1744
01/15/2019,Royalty,6,Payment,690.7728
01/15/2019,Advertising,1.5,Payment,172.6932
01/15/2019,Media,3,Payment,345.3864
01/22/2019,Royalty,6,Payment,750.888
01/22/2019,Advertising,1.5,Payment,187.722
01/22/2019,Media,3,Payment,375.444
01/29/2019,Royalty,6,Payment,732.2346
01/29/2019,Advertising,1.5,Payment,183.05865
01/29/2019,Media,3,Payment,366.1173
02/05/2019,Royalty,6,Payment,769.9704
02/05/2019,Advertising,1.5,Payment,192.4926
02/05/2019,Media,3,Payment,384.9852
02/12/2019,Royalty,6,Payment,825.0414
02/12/2019,Advertising,1.5,Payment,206.26035
02/12/2019,Media,3,Payment,412.5207
02/19/2019,Royalty,6,Payment,856.4724
02/19/2019,Advertising,1.5,Payment,214.1181
02/19/2019,Media,3,Payment,428.2362
02/26/2019,Royalty,6,Payment,905.1846
02/26/2019,Advertising,1.5,Payment,226.29615
02/26/2019,Media,3,Payment,452.5923
03/05/2019,Royalty,6,Payment,794.5554
03/05/2019,Advertising,1.5,Payment,198.63885
03/05/2019,Media,3,Payment,397.2777
03/12/2019,Royalty,6,Payment,895.9266
03/12/2019,Advertising,1.5,Payment,223.98165
03/12/2019,Media,3,Payment,447.9633
03/19/2019,Royalty,6,Payment,780.8526
03/19/2019,Advertising,1.5,Payment,195.21315
03/19/2019,Media,3,Payment,390.4263
03/26/2019,Royalty,6,Payment,881.7444
03/26/2019,Advertising,1.5,Payment,220.4361
03/26/2019,Media,3,Payment,440.8722
04/02/2019,Royalty,6,Payment,879.5244
04/02/2019,Advertising,1.5,Payment,219.8811
04/02/2019,Media,3,Payment,439.7622
04/09/2019,Royalty,6,Payment,856.3626
04/09/2019,Advertising,1.5,Payment,214.09065
04/09/2019,Media,3,Payment,428.1813
04/16/2019,Royalty,6,Payment,816.4422
04/16/2019,Advertising,1.5,Payment,204.11055
04/16/2019,Media,3,Payment,408.2211
