week_ending_date,Shift - 1 Wed AM,Shift - 2 Wed PM,Shift - 3 Thu AM,Shift - 4 Thu PM,Shift - 5 Fri AM,Shift - 6 Fri PM,Shift - 7 Sat AM,Shift - 8 Sat PM,Shift - 9 Sun AM,Shift - 10 Sun PM,Shift - 11 Mon AM,Shift - 12 Mon PM,Shift - 13 Tue AM,Shift - 14 Tue PM,Royalty Sales
01/01/2019,1011.17,389.89,1681.15,585.54,1292.86,383.34,1262.77,439.39,812.9,508.0,1338.39,614.89,390.19,494.72,11205.199999999997
01/08/2019,1288.49,463.46,1112.5,478.56,1375.26,755.49,1319.62,589.99,886.97,488.61,1603.28,797.78,1032.05,580.42,12772.48
01/15/2019,1033.03,568.93,961.86,581.07,1366.99,672.27,1276.42,669.48,758.51,583.49,1038.2,386.54,1015.87,600.22,11512.880000000001
01/22/2019,946.26,725.61,1230.85,531.76,1488.6,581.39,1248.1,641.65,1293.58,450.74,1507.6,558.8,835.45,474.41,12514.8
01/29/2019,1179.99,652.07,1193.9,544.96,1335.9,723.39,1018.63,453.35,1242.14,602.44,1456.15,0.0,1124.82,676.17,12203.91
02/05/2019,984.22,668.3,1305.56,599.81,1421.26,819.45,1470.97,556.38,1071.67,510.68,770.98,900.75,1036.51,716.3,12832.839999999998
02/12/2019,1079.86,569.29,1492.85,475.76,1285.79,584.82,1290.1,637.31,1299.48,423.87,1456.45,859.69,1218.29,1077.13,13750.690000000002
02/19/2019,991.06,648.77,1199.27,825.37,1519.25,842.63,1967.82,663.5,1152.67,454.03,1434.18,761.48,1306.39,508.12,14274.539999999999
02/26/2019,1249.87,890.24,1167.03,775.75,1437.82,552.36,1707.61,650.53,1300.17,649.6,1625.04,860.37,1357.28,862.74,15086.410000000002
03/05/2019,1070.01,823.3,1399.37,716.06,1311.61,742.96,1430.36,463.37,1114.13,624.18,804.48,717.51,1218.06,807.19,13242.589999999998
03/12/2019,1626.79,1011.02,1386.18,609.06,1702.14,1086.1,1452.75,536.83,1005.03,561.5,1640.77,692.69,1209.77,411.48,14932.11
03/19/2019,1497.97,763.46,1326.5,597.94,1031.68,508.58,1046.92,784.86,1295.46,559.52,1073.93,733.16,1111.24,682.99,13014.210000000001
03/26/2019,1464.87,799.11,1336.97,831.56,1427.53,956.71,1116.92,983.15,1355.4,697.91,1044.52,761.58,1078.42,841.09,14695.74
04/02/2019,1141.25,953.3,1253.97,1070.47,1308.07,832.46,1356.68,514.86,1456.71,464.56,1502.67,739.37,1498.17,566.2,14658.740000000002
04/09/2019,1629.19,765.22,1533.38,751.12,1601.7,652.93,1152.8,577.65,1305.4,499.98,1078.54,677.32,1309.56,737.92,14272.71
04/16/2019,1202.81,599.69,1429.26,1067.1,1218.48,336.42,1279.51,545.3,1300.78,849.02,1017.09,528.31,1441.93,791.67,13607.37
04/23/2019,1247.91,556.93,1418.28,680.63,1540.05,455.27,1209.78,782.36,577.05,524.28,1555.56,608.75,1054.77,853.74,13065.359999999999
04/30/2019,860.04,641.87,1389.96,724.58,1467.69,509.92,1256.75,387.13,991.72,585.77,1020.16,553.03,1031.94,471.05,11891.61
05/07/2019,1092.8,920.63,1202.66,749.79,1083.96,716.42,1407.65,557.57,1520.98,450.16,1087.49,594.63,1081.22,749.43,13215.389999999998
05/14/2019,1389.11,627.38,1412.58,822.44,1311.36,713.25,894.49,794.41,1173.14,718.1,1814.11,651.09,1332.29,526.09,14179.84
05/21/2019,1524.87,642.28,1490.18,887.98,1926.99,784.14,1790.5,392.62,1158.92,619.3,1069.94,676.57,1463.77,761.45,15189.51
05/28/2019,906.82,726.91,1558.15,934.92,1498.67,1221.74,1367.2,614.64,1338.52,395.42,991.52,914.13,1221.98,492.79,14183.41
06/04/2019,1352.73,482.97,1751.41,725.97,1610.96,798.95,1653.83,713.1,1189.31,884.87,1345.45,523.57,2116.99,652.25,15802.36
06/11/2019,1268.72,597.02,1324.77,747.29,1454.71,625.76,1451.39,720.03,1186.91,595.58,1701.63,542.1,1545.96,438.13,14200.000000000002
06/18/2019,1455.31,680.04,1611.77,543.32,1378.12,627.25,1371.79,640.05,796.1,436.56,1293.79,718.53,1295.45,494.64,13342.72
06/25/2019,1397.89,758.04,1552.73,794.3,1688.04,750.29,1441.54,409.45,1254.95,448.59,1496.81,457.61,1537.96,864.99,14853.19
07/02/2019,1142.56,626.22,1374.91,901.24,1666.26,1007.56,1419.24,491.61,1052.83,468.62,1506.6,576.44,1247.65,723.02,14204.760000000002
07/09/2019,1548.04,526.12,761.66,491.78,1343.11,617.39,1396.19,434.7,1147.63,582.01,1385.53,760.21,1557.78,688.52,13240.67
07/16/2019,1436.0,687.8,1430.17,684.76,1476.23,538.08,1424.64,413.33,1095.83,430.92,1426.13,635.18,1136.28,677.23,13492.58
07/23/2019,1371.05,710.39,1626.75,623.42,1449.5,611.66,953.24,550.23,978.69,329.03,1217.7,629.37,1372.52,677.22,13100.770000000002
07/30/2019,1417.97,609.48,1460.19,754.62,1189.44,734.79,1140.69,625.82,1304.48,579.76,1111.91,633.56,1214.78,390.21,13167.699999999999
08/06/2019,1336.06,491.5,1335.58,873.6,1329.7,699.58,979.74,742.76,1033.35,662.29,1654.88,552.11,1341.11,586.25,13618.510000000002
08/13/2019,1369.88,663.4,1833.68,544.45,1694.7,568.35,1428.76,451.38,1442.31,544.26,1406.53,657.08,1092.33,478.73,14175.84
08/13/2019,1369.88,663.4,1833.68,544.45,1694.7,568.35,1428.76,451.38,1442.31,544.26,1406.53,657.08,1092.33,478.73,14175.84
08/27/2019,1045.1,409.53,1237.92,707.33,1380.63,442.33,1544.52,595.85,988.48,445.77,1274.94,605.03,968.35,594.7,12240.480000000003
09/03/2019,763.18,511.62,1002.67,773.76,1456.77,851.51,1199.07,374.61,935.68,522.49,690.72,430.7,1285.09,553.2,11351.070000000002
09/10/2019,1347.7,645.83,995.64,721.73,1482.33,553.19,1001.31,447.46,1275.85,305.69,1067.07,528.5,1207.94,382.89,11963.13
09/17/2019,1394.53,565.63,1192.64,681.81,1697.51,715.69,1803.94,422.17,840.62,416.1,923.97,522.71,945.59,578.71,12701.619999999999
09/24/2019,882.62,637.45,1063.44,489.84,1642.72,722.08,1479.14,557.53,916.79,448.36,952.53,394.16,1221.21,393.89,11801.760000000002
10/01/2019,992.31,872.21,965.75,675.55,1252.29,686.81,1314.26,431.88,839.89,348.53,1178.79,459.99,1080.25,623.72,11722.23
