week_ending_date,Day,Date,No. Of Sales,(A) Total Dollar Sales,(B) Net Less Over rings,(C) Less Net Promo,(D) Net Less Employee Freebies,(E) Royalty Sales
01/01/2019,Wednesday,2018-12-26,108,1444.25,0,0.0,43.19,1401.06
01/01/2019,Thursday,2018-12-27,170,2322.06,0,0.0,55.37,2266.69
01/01/2019,Friday,2018-12-28,134,1729.57,0,0.0,53.37,1676.2
01/01/2019,Saturday,2018-12-29,114,1773.46,0,7.58,63.72,1702.16
01/01/2019,Sunday,2018-12-30,94,1467.69,0,136.82,9.97,1320.9
01/01/2019,Monday,2018-12-31,126,1954.25,0,0.97,0.0,1953.28
01/01/2019,Tuesday,2019-01-01,59,924.69,0,37.63,2.15,884.91
01/08/2019,Wednesday,2019-01-02,137,1781.67,0,0.0,29.72,1751.95
01/08/2019,Thursday,2019-01-03,132,1650.9,0,5.28,54.56,1591.06
01/08/2019,Friday,2019-01-04,161,2203.13,0,0.0,72.38,2130.75
01/08/2019,Saturday,2019-01-05,127,1950.79,0,0.0,41.18,1909.61
01/08/2019,Sunday,2019-01-06,85,1404.58,0,29.0,0.0,1375.58
01/08/2019,Monday,2019-01-07,181,2415.23,0,5.29,8.88,2401.06
01/08/2019,Tuesday,2019-01-08,144,1677.52,0,0.0,65.05,1612.47
01/15/2019,Wednesday,2019-01-09,137,1658.4,0,0.0,56.44,1601.96
01/15/2019,Thursday,2019-01-10,138,1588.63,0,4.29,41.41,1542.93
01/15/2019,Friday,2019-01-11,153,2114.73,0,8.77,66.7,2039.26
01/15/2019,Saturday,2019-01-12,138,1985.6,0,13.18,26.52,1945.9
01/15/2019,Sunday,2019-01-13,87,1361.94,0,0.0,19.94,1342.0
01/15/2019,Monday,2019-01-14,123,1471.41,0,0.0,46.67,1424.74
01/15/2019,Tuesday,2019-01-15,118,1675.54,0,0.0,59.45,1616.09
01/22/2019,Wednesday,2019-01-16,139,1725.24,0,0.0,53.37,1671.87
01/22/2019,Thursday,2019-01-17,146,1834.29,0,18.73,52.95,1762.61
01/22/2019,Friday,2019-01-18,153,2122.15,0,0.0,52.16,2069.99
01/22/2019,Saturday,2019-01-19,109,1944.49,0,6.29,48.45,1889.75
01/22/2019,Sunday,2019-01-20,118,1777.35,0,6.59,26.44,1744.32
01/22/2019,Monday,2019-01-21,133,2095.71,0,0.0,29.31,2066.4
01/22/2019,Tuesday,2019-01-22,111,1344.28,0,26.84,7.58,1309.86
01/29/2019,Wednesday,2019-01-23,150,1893.87,0,0.04,61.77,1832.06
01/29/2019,Thursday,2019-01-24,157,1808.16,0,0.0,69.3,1738.86
01/29/2019,Friday,2019-01-25,171,2165.21,0,0.0,105.92,2059.29
01/29/2019,Saturday,2019-01-26,112,1566.14,0,0.0,94.16,1471.98
01/29/2019,Sunday,2019-01-27,116,1893.32,0,0.0,48.74,1844.58
01/29/2019,Monday,2019-01-28,131,1488.61,0,23.58,8.88,1456.15
01/29/2019,Tuesday,2019-01-29,145,1878.74,0,21.73,56.02,1800.99
02/05/2019,Wednesday,2019-01-30,142,1745.47,0,14.06,78.89,1652.52
02/05/2019,Thursday,2019-01-31,162,1957.95,0,0.0,52.58,1905.37
02/05/2019,Friday,2019-02-01,163,2309.74,0,0.0,69.03,2240.71
02/05/2019,Saturday,2019-02-02,138,2085.02,0,13.09,44.58,2027.35
02/05/2019,Sunday,2019-02-03,105,1637.35,0,55.0,0.0,1582.35
02/05/2019,Monday,2019-02-04,142,1705.62,0,5.29,28.6,1671.73
02/05/2019,Tuesday,2019-02-05,153,1826.4,0,17.72,55.87,1752.81
02/12/2019,Wednesday,2019-02-06,137,1704.41,0,0.0,55.26,1649.15
02/12/2019,Thursday,2019-02-07,150,2045.23,0,0.0,76.62,1968.61
02/12/2019,Friday,2019-02-08,175,1979.02,0,20.98,87.43,1870.61
02/12/2019,Saturday,2019-02-09,127,1977.27,0,0.0,49.86,1927.41
02/12/2019,Sunday,2019-02-10,113,1764.14,0,19.96,20.83,1723.35
02/12/2019,Monday,2019-02-11,153,2556.17,0,201.06,38.97,2316.14
02/12/2019,Tuesday,2019-02-12,187,2372.33,0,0.0,76.91,2295.42
02/19/2019,Wednesday,2019-02-13,138,1703.38,0,6.59,56.96,1639.83
02/19/2019,Thursday,2019-02-14,152,2075.62,0,0.0,50.98,2024.64
02/19/2019,Friday,2019-02-15,186,2475.06,0,1.89,111.29,2361.88
02/19/2019,Saturday,2019-02-16,155,2719.47,0,13.37,74.78,2631.32
02/19/2019,Sunday,2019-02-17,95,1649.12,0,0.0,42.42,1606.7
02/19/2019,Monday,2019-02-18,159,2238.75,0,6.59,36.5,2195.66
02/19/2019,Tuesday,2019-02-19,145,1903.9,0,20.46,68.93,1814.51
02/26/2019,Wednesday,2019-02-20,181,2218.02,0,0.0,77.91,2140.11
02/26/2019,Thursday,2019-02-21,163,2052.64,0,91.31,18.55,1942.78
02/26/2019,Friday,2019-02-22,166,2083.26,0,12.58,80.5,1990.18
02/26/2019,Saturday,2019-02-23,155,2443.41,0,19.94,65.33,2358.14
02/26/2019,Sunday,2019-02-24,131,1986.86,0,0.0,37.09,1949.77
02/26/2019,Monday,2019-02-25,200,2522.6,0,0.0,37.19,2485.41
02/26/2019,Tuesday,2019-02-26,175,2263.99,0,7.78,36.19,2220.02
03/05/2019,Wednesday,2019-02-27,151,1969.24,0,0.0,75.93,1893.31
03/05/2019,Thursday,2019-02-28,196,2230.75,0,19.38,95.94,2115.43
03/05/2019,Friday,2019-03-01,170,2184.35,0,20.5,109.28,2054.57
03/05/2019,Saturday,2019-03-02,146,1923.63,0,0.0,29.9,1893.73
03/05/2019,Sunday,2019-03-03,105,1773.51,0,5.29,29.91,1738.31
03/05/2019,Monday,2019-03-04,121,1597.78,0,26.04,49.75,1521.99
03/05/2019,Tuesday,2019-03-05,155,2094.58,0,5.29,64.04,2025.25
03/12/2019,Wednesday,2019-03-06,173,2808.06,0,105.8,64.45,2637.81
03/12/2019,Thursday,2019-03-07,171,2054.39,0,0.0,59.15,1995.24
03/12/2019,Friday,2019-03-08,231,2855.37,0,0.0,67.13,2788.24
03/12/2019,Saturday,2019-03-09,144,2030.74,0,0.0,41.16,1989.58
03/12/2019,Sunday,2019-03-10,112,1626.02,0,12.23,47.26,1566.53
03/12/2019,Monday,2019-03-11,180,2410.89,0,32.88,44.55,2333.46
03/12/2019,Tuesday,2019-03-12,131,1742.19,0,46.73,74.21,1621.25
03/19/2019,Wednesday,2019-03-13,179,2310.19,0,6.29,42.47,2261.43
03/19/2019,Thursday,2019-03-14,152,2023.84,0,18.7,80.7,1924.44
03/19/2019,Friday,2019-03-15,135,1648.38,0,10.1,98.02,1540.26
03/19/2019,Saturday,2019-03-16,124,1970.45,0,129.4,9.27,1831.78
03/19/2019,Sunday,2019-03-17,104,1854.98,0,0.0,0.0,1854.98
03/19/2019,Monday,2019-03-18,154,1855.32,0,0.0,48.23,1807.09
03/19/2019,Tuesday,2019-03-19,158,1860.97,0,0.0,66.74,1794.23
03/26/2019,Wednesday,2019-03-20,187,2443.79,0,104.41,75.4,2263.98
03/26/2019,Thursday,2019-03-21,158,2217.14,0,25.18,23.43,2168.53
03/26/2019,Friday,2019-03-22,197,2497.7,0,0.0,113.46,2384.24
03/26/2019,Saturday,2019-03-23,131,2226.85,0,87.5,39.28,2100.07
03/26/2019,Sunday,2019-03-24,131,2149.42,0,67.59,28.52,2053.31
03/26/2019,Monday,2019-03-25,151,1823.15,0,8.58,8.47,1806.1
03/26/2019,Tuesday,2019-03-26,165,1991.34,0,10.88,60.95,1919.51
04/02/2019,Wednesday,2019-03-27,170,2194.32,0,39.72,60.05,2094.55
04/02/2019,Thursday,2019-03-28,177,2394.78,0,6.58,63.76,2324.44
04/02/2019,Friday,2019-03-29,170,2195.87,0,13.18,42.16,2140.53
04/02/2019,Saturday,2019-03-30,137,1978.01,0,60.78,45.69,1871.54
04/02/2019,Sunday,2019-03-31,109,1958.06,0,16.85,19.94,1921.27
04/02/2019,Monday,2019-04-01,158,2242.04,0,0.0,0.0,2242.04
04/02/2019,Tuesday,2019-04-02,167,2141.7,0,30.34,46.99,2064.37
04/09/2019,Wednesday,2019-04-03,181,2513.39,0,31.62,87.36,2394.41
04/09/2019,Thursday,2019-04-04,176,2363.06,0,6.29,72.27,2284.5
04/09/2019,Friday,2019-04-05,178,2378.98,0,12.88,111.47,2254.63
04/09/2019,Saturday,2019-04-06,120,1755.58,0,2.8,22.33,1730.45
04/09/2019,Sunday,2019-04-07,104,1810.97,0,5.59,0.0,1805.38
04/09/2019,Monday,2019-04-08,142,1765.13,0,0.0,9.27,1755.86
04/09/2019,Tuesday,2019-04-09,139,2048.97,0,1.49,0.0,2047.48
04/16/2019,Wednesday,2019-04-10,149,1892.57,0,1.89,88.18,1802.5
04/16/2019,Thursday,2019-04-11,186,2568.78,0,0.0,72.42,2496.36
04/16/2019,Friday,2019-04-12,148,1636.77,0,8.47,73.4,1554.9
04/16/2019,Saturday,2019-04-13,120,1854.42,0,0.0,29.61,1824.81
04/16/2019,Sunday,2019-04-14,130,2179.62,0,0.0,29.82,2149.8
04/16/2019,Monday,2019-04-15,143,1558.57,0,6.58,6.59,1545.4
04/16/2019,Tuesday,2019-04-16,172,2269.72,0,17.07,19.05,2233.6
04/23/2019,Wednesday,2019-04-17,138,1821.0,0,8.58,7.58,1804.84
04/23/2019,Thursday,2019-04-18,165,2184.37,0,0.0,85.46,2098.91
04/23/2019,Friday,2019-04-19,152,2058.77,0,0.0,63.45,1995.32
04/23/2019,Saturday,2019-04-20,144,2066.35,0,17.16,57.05,1992.14
04/23/2019,Sunday,2019-04-21,78,1107.91,0,6.58,0.0,1101.33
04/23/2019,Monday,2019-04-22,193,2201.7,0,37.39,0.0,2164.31
04/23/2019,Tuesday,2019-04-23,160,1979.64,0,0.0,71.13,1908.51
04/30/2019,Wednesday,2019-04-24,129,1563.07,0,0.0,61.16,1501.91
04/30/2019,Thursday,2019-04-25,172,2155.92,0,32.5,8.88,2114.54
04/30/2019,Friday,2019-04-26,159,2044.52,0,57.04,9.87,1977.61
04/30/2019,Saturday,2019-04-27,114,1680.39,0,16.87,19.64,1643.88
04/30/2019,Sunday,2019-04-28,103,1609.61,0,22.45,9.67,1577.49
04/30/2019,Monday,2019-04-29,131,1613.6,0,12.88,27.53,1573.19
04/30/2019,Tuesday,2019-04-30,123,1532.01,0,10.15,18.87,1502.99
05/07/2019,Wednesday,2019-05-01,168,2091.13,0,14.76,62.94,2013.43
05/07/2019,Thursday,2019-05-02,168,1984.12,0,13.42,18.25,1952.45
05/07/2019,Friday,2019-05-03,150,1828.31,0,6.29,21.64,1800.38
