week_ending_date,Manager_usd,InShop_usd,Driver_usd,Tip Credit_usd,TAX_usd,DMR_usd,PenaltyPay_usd,Manager_prcnt_as_dec,InShop_prcnt_as_dec,Driver_prcnt_as_dec,Tip Credit_prcnt_as_dec,TAX_prcnt_as_dec,DMR_prcnt_as_dec,PenaltyPay_prcnt_as_dec
01/01/2019,1415.2833,1046.7744,846.2791000000001,0,378.8045636,239.47,0,0.1218394417340954,0.09011510876835943,0.07285479387429548,0,0.03261066993113791,0.020615583545756405,0
01/08/2019,1377.0,983.6517,912.8993,0,374.82158949999996,318.19,0,0.10524449281631817,0.07518077289354333,0.06977314729184596,0,0.0286477182886955,0.024319350159204268,0
01/15/2019,1503.8433,1335.8868,915.2559,0,429.945897,259.44,0,0.126839709014233,0.11267363626779126,0.07719606958355298,0,0.03626322800210859,0.02188212967843964,0
01/22/2019,1530.0972,1611.9788,789.1937,0,450.13038065,323.8100000000001,0,0.11913388162581723,0.1255092104884101,0.061446886404106046,0,0.03504730254034917,0.025211955298824085,0
01/29/2019,1544.2341999999999,1697.2655,852.1295000000001,0,468.7205434,298.07,0,0.12165023770979316,0.13370559435326,0.06712826087812795,0,0.03692442864176524,0.02348107971845077,0
02/05/2019,1408.8333,1173.6739,928.2503,0,401.98173375,285.36,0,0.10618639462447853,0.0884619918523013,0.06996395717370578,0,0.0302981133479806,0.02150811566566548,0
02/12/2019,1514.7185,1365.5606,946.9480000000002,0,438.21750295,309.91,0,0.10519923159035932,0.09484001536263671,0.06576680878726153,0,0.030434793382259486,0.02152366519730779,0
02/19/2019,1489.6668,1195.8110000000001,860.0873999999999,0,405.9672154,290.4999999999999,0,0.1008897076253107,0.08098792439029347,0.0582505875261593,0,0.027494681137531916,0.01967450712142658,0
02/26/2019,1485.1666,1361.4053999999999,993.2337,0,439.6577526499999,300.53,0,0.09538164433637877,0.08743334630635073,0.06378830732949795,0,0.028236077617820037,0.019300895651984035,0
03/05/2019,1389.5138,1138.9102,729.0013000000001,0,372.97519685,303.08,0,0.10088064040238597,0.08268646942319643,0.052926511415843376,0,0.02707851963214325,0.022004030829456418,0
03/12/2019,1539.6739,1277.0327000000002,837.2215,0,418.37476745000004,304.50999999999993,0,0.09915685299652362,0.0822424434847234,0.053918072652286306,0,0.02694383876578957,0.019610810643715792,0
