week_ending_date,Invoice #,Invoice Date,Due Date,Vendor Name,Description,Produce 4315,Discounts,Delivery Charges,Invoice Totals
04/26/2016,042616 (2524455),04/26/2016,0,Hardie's,0,176.49,0,0,176.49
05/03/2016,042816 (2532007),04/28/2016,0,Hardie's,0,153.97,0,0,153.97
05/03/2016,043016 (2534228),04/30/2016,0,Hardie's,0,173.75,0,0,173.75
05/03/2016,050316 (2538560),05/03/2016,0,Hardie's,0,166.98,0,0,166.98
05/10/2016,050516 (2546953),05/05/2016,0,Hardie's,0,151.42,0,0,151.42
05/10/2016,051016 (2552590),05/10/2016,0,Hardie's,0,154.61,0,0,154.61
05/10/2016,050716 (2552600),05/07/2016,0,Hardie's,0,193.62,0,0,193.62
05/17/2016,051216 (2559304),05/12/2016,0,Hardie's,0,289.51,0,0,289.51
05/17/2016,051616 (2564896),05/16/2016,0,Hardie's,0,190.31,0,0,190.31
05/17/2016,051416 (2564897),05/14/2016,0,Hardie's,0,45.45,0,0,45.45
05/17/2016,051416 (2564899),05/14/2016,0,Hardie's,0,26.59,0,0,26.59
05/24/2016,051816 (2571610),05/18/2016,0,Hardie's,0,219.22,0,0,219.22
05/24/2016,052016 (2574160),05/20/2016,0,Hardie's,0,249.84,0,0,249.84
05/24/2016,052416 (2580376),05/24/2016,0,Hardie's,0,189.41,0,0,189.41
05/31/2016,052616 (2586872),05/26/2016,0,Hardie's,0,258.61,0,0,258.61
05/31/2016,052816 (2592080),05/28/2016,0,Hardie's,0,166.38,0,0,166.38
06/07/2016,060116 (2599232),06/01/2016,0,Hardie's,0,126.74,0,0,126.74
06/07/2016,060616 (2604986),06/06/2016,0,Hardie's,0,184.56,0,0,184.56
06/07/2016,060316 (2604997),06/03/2016,0,Hardie's,0,252.45,0,0,252.45
06/14/2016,060916 (2613269),06/09/2016,0,Hardie's,0,223.3,0,0,223.3
06/14/2016,061116 (2619389),06/11/2016,0,Hardie's,0,214.0,0,0,214.0
06/14/2016,061416 (2619396),06/14/2016,0,Hardie's,0,153.79,0,0,153.79
06/21/2016,061616 (2627172),06/16/2016,0,Hardie's,0,223.0,0,0,223.0
06/21/2016,061816 (2629356),06/18/2016,0,Hardie's,0,132.24,0,0,132.24
06/21/2016,062016 (2633330),06/20/2016,0,Hardie's,0,128.38,0,0,128.38
06/28/2016,062216 (2640804),06/23/2016,0,Hardie's,0,69.43,0,0,69.43
06/28/2016,062416 (2646509),06/24/2016,0,Hardie's,0,223.57,0,0,223.57
06/28/2016,062816 (2648206),06/28/2016,0,Hardie's,0,212.7,0,0,212.7
07/05/2016,070116 (2655467),07/01/2016,0,Hardie's,0,167.89,0,0,167.89
07/05/2016,070516 (2660382),07/05/2016,0,Hardie's,0,165.02,0,0,165.02
07/12/2016,070716 (2667183),07/07/2016,0,Hardie's,0,137.0,0,0,137.0
07/12/2016,070916 (2673527),07/09/2016,0,Hardie's,0,225.47,0,0,225.47
07/12/2016,071216 (2673539),07/12/2016,0,Hardie's,0,179.79,0,0,179.79
07/19/2016,071416 (2681834),07/14/2016,0,Hardie's,0,140.65,0,0,140.65
07/19/2016,071616 (2686095),07/16/2016,0,Hardie's,0,187.09,0,0,187.09
07/19/2016,071916 (2686099),07/19/2016,0,Hardie's,0,174.94,0,0,174.94
07/26/2016,072116 (2693975),07/21/2016,0,Hardie's,0,173.73,0,0,173.73
07/26/2016,072316 (2696386),07/23/2016,0,Hardie's,0,99.82,0,0,99.82
07/26/2016,072616 (2701280),07/26/2016,0,Hardie's,0,260.14,0,0,260.14
08/02/2016,072916 (2708626),07/29/2016,0,Hardie's,0,226.9,0,0,226.9
08/02/2016,073016 (2710180),07/30/2016,0,Hardie's,0,10.07,0,0,10.07
08/02/2016,080216 (2714695),08/02/2016,0,Hardie's,0,231.14,0,0,231.14
08/09/2016,080516 (2722190),08/05/2016,0,Hardie's,0,136.18,0,0,136.18
08/09/2016,080616 (2723740),08/06/2016,0,Hardie's,0,10.07,0,0,10.07
08/09/2016,080816 (2728065),08/09/2016,0,Hardie's,0,176.02,0,0,176.02
08/09/2016,080916 (2728617),08/09/2016,0,Hardie's,0,210.16,0,0,210.16
08/16/2016,081216 (2737201),08/12/2016,0,Hardie's,0,119.94,0,0,119.94
08/16/2016,081616 (2741732),08/16/2016,0,Hardie's,0,267.5,0,0,267.5
08/23/2016,081816 (2750644),08/18/2016,0,Hardie's,0,194.99,0,0,194.99
08/23/2016,082316 (2755398),08/23/2016,0,Hardie's,0,192.72,0,0,192.72
08/30/2016,082616 (2763594),08/26/2016,0,Hardie's,0,215.84,0,0,215.84
08/30/2016,083016 (2769303),08/30/2016,0,Hardie's,0,219.03,0,0,219.03
09/06/2016,090616 (2782481),09/06/2016,0,Hardie's,0,176.11,0,0,176.11
09/06/2016,090216 (2782496),09/02/2016,0,Hardie's,0,227.26,0,0,227.26
09/13/2016,090816 (2790690),09/08/2016,0,Hardie's,0,165.91,0,0,165.91
09/13/2016,091016 (2790692),09/10/2016,0,Hardie's,0,167.86,0,0,167.86
09/13/2016,091316 (2795409),09/13/2016,0,Hardie's,0,207.34,0,0,207.34
09/20/2016,091916 (2805828),09/19/2016,0,Hardie's,0,211.42,0,0,211.42
09/20/2016,091616 (2805832),09/16/2016,0,Hardie's,0,184.86,0,0,184.86
09/27/2016,092116 (2816297),09/21/2016,0,Hardie's,0,251.67,0,0,251.67
09/27/2016,092416 (2818312),09/24/2016,0,Hardie's,0,135.44,0,0,135.44
09/27/2016,092716 (2824229),09/27/2016,0,Hardie's,0,186.07,0,0,186.07
10/04/2016,092916 (2831425),09/29/2016,0,Hardie's,0,203.01,0,0,203.01
10/04/2016,100316 (2837521),10/03/2016,0,Hardie's,0,169.96,0,0,169.96
10/11/2016,100516 (2844290),10/05/2016,0,Hardie's,0,173.48,0,0,173.48
10/11/2016,100716 (2845607),10/07/2016,0,Hardie's,0,178.68,0,0,178.68
10/11/2016,101116 (2851177),10/11/2016,0,Hardie's,0,140.94,0,0,140.94
10/18/2016,101316 (2860009),10/13/2016,0,Hardie's,0,332.22,0,0,332.22
10/18/2016,101516 (2860013),10/15/2016,0,Hardie's,0,119.16,0,0,119.16
10/18/2016,101816 (2864408),10/18/2016,0,Hardie's,0,162.22,0,0,162.22
10/25/2016,102116 (2872621),10/21/2016,0,Hardie's,0,260.52,0,0,260.52
10/25/2016,102516 (2878772),10/25/2016,0,Hardie's,0,261.77,0,0,261.77
11/01/2016,102816 (2886285),10/28/2016,0,Hardie's,0,131.95,0,0,131.95
11/01/2016,102816 (2886671),10/28/2016,0,Hardie's,0,59.08,0,0,59.08
11/01/2016,103116 (2892493),10/31/2016,0,Hardie's,0,159.5,0,0,159.5
11/08/2016,110316 (2898559),11/03/2016,0,Hardie's,0,162.78,0,0,162.78
