week_ending_date,payment_type,prcnt_of_royalty_sales,fee_or_payment,amount
01/05/2016,Royalty,6,Payment,789.4422
01/05/2016,Advertising,1.5,Payment,197.36055
01/05/2016,Media,3,Payment,394.7211
01/12/2016,Royalty,6,Payment,799.3464
01/12/2016,Advertising,1.5,Payment,199.8366
01/12/2016,Media,3,Payment,399.6732
01/19/2016,Royalty,6,Payment,895.152
01/19/2016,Advertising,1.5,Payment,223.788
01/19/2016,Media,3,Payment,447.576
01/26/2016,Royalty,6,Payment,860.7852
01/26/2016,Advertising,1.5,Payment,215.1963
01/26/2016,Media,3,Payment,430.3926
02/02/2016,Royalty,6,Payment,887.979
02/02/2016,Advertising,1.5,Payment,221.99475
02/02/2016,Media,3,Payment,443.9895
02/09/2016,Royalty,6,Payment,809.3148
02/09/2016,Advertising,1.5,Payment,202.3287
02/09/2016,Media,3,Payment,404.6574
02/16/2016,Royalty,6,Payment,927.5442
02/16/2016,Advertising,1.5,Payment,231.88605
02/16/2016,Media,3,Payment,463.7721
02/23/2016,Royalty,6,Payment,855.6228
02/23/2016,Advertising,1.5,Payment,213.9057
02/23/2016,Media,3,Payment,427.8114
03/01/2016,Royalty,6,Payment,857.9148
03/01/2016,Advertising,1.5,Payment,214.4787
03/01/2016,Media,3,Payment,428.9574
03/08/2016,Royalty,6,Payment,944.4204
03/08/2016,Advertising,1.5,Payment,236.1051
03/08/2016,Media,3,Payment,472.2102
03/15/2016,Royalty,6,Payment,963.5328
03/15/2016,Advertising,1.5,Payment,240.8832
03/15/2016,Media,3,Payment,481.7664
03/22/2016,Royalty,6,Payment,1010.472
03/22/2016,Advertising,1.5,Payment,252.618
03/22/2016,Media,3,Payment,505.236
03/29/2016,Royalty,6,Payment,976.4292
03/29/2016,Advertising,1.5,Payment,244.1073
03/29/2016,Media,3,Payment,488.2146
04/05/2016,Royalty,6,Payment,986.6418
04/05/2016,Advertising,1.5,Payment,246.66045
04/05/2016,Media,3,Payment,493.3209
04/12/2016,Royalty,6,Payment,891.9306
04/12/2016,Advertising,1.5,Payment,222.98265
04/12/2016,Media,3,Payment,445.9653
04/19/2016,Royalty,6,Payment,904.2282
04/19/2016,Advertising,1.5,Payment,226.05705
04/19/2016,Media,3,Payment,452.1141
04/26/2016,Royalty,6,Payment,1019.1162
04/26/2016,Advertising,1.5,Payment,254.77905
04/26/2016,Media,3,Payment,509.5581
05/03/2016,Royalty,6,Payment,969.7758
05/03/2016,Advertising,1.5,Payment,242.44395
05/03/2016,Media,3,Payment,484.8879
05/10/2016,Royalty,6,Payment,861.927
05/10/2016,Advertising,1.5,Payment,215.48175
05/10/2016,Media,3,Payment,430.9635
05/17/2016,Royalty,6,Payment,980.7216
05/17/2016,Advertising,1.5,Payment,245.1804
05/17/2016,Media,3,Payment,490.3608
05/24/2016,Royalty,6,Payment,953.9538
05/24/2016,Advertising,1.5,Payment,238.48845
05/24/2016,Media,3,Payment,476.9769
05/31/2016,Royalty,6,Payment,859.386
05/31/2016,Advertising,1.5,Payment,214.8465
05/31/2016,Media,3,Payment,429.693
06/07/2016,Royalty,6,Payment,971.7816
06/07/2016,Advertising,1.5,Payment,242.9454
06/07/2016,Media,3,Payment,485.8908
06/14/2016,Royalty,6,Payment,955.7718
06/14/2016,Advertising,1.5,Payment,238.94295
06/14/2016,Media,3,Payment,477.8859
06/21/2016,Royalty,6,Payment,917.442
06/21/2016,Advertising,1.5,Payment,229.3605
06/21/2016,Media,3,Payment,458.721
06/28/2016,Royalty,6,Payment,941.244
06/28/2016,Advertising,1.5,Payment,235.311
06/28/2016,Media,3,Payment,470.622
