week_ending_date,Manager Freebies,Employee Freebies,Promo,Waste,Total Freebies
01/05/2016,120.12,143.92,169.62,0.0,433.65999999999997
01/12/2016,107.08,171.64,1691.35,20.96,1991.03
01/19/2016,117.65,145.32,2379.7,0.0,2642.67
01/26/2016,109.16,138.53,344.31,11.98,603.98
02/02/2016,109.46,178.1,190.39,11.78,489.72999999999996
02/09/2016,93.52,199.35,258.99,0.0,551.86
02/16/2016,130.33,161.46,27.01,0.0,318.8
02/23/2016,106.95,166.44,52.82,24.95,351.15999999999997
03/01/2016,114.28,160.48,300.06,4.99,579.81
03/08/2016,102.53,201.54,375.24,10.5,689.81
03/15/2016,143.07,196.58,264.49,21.0,625.14
03/22/2016,138.83,208.6,198.0,12.0,557.4300000000001
03/29/2016,159.08,195.42,299.4,0.0,653.9
04/05/2016,138.81,158.35,166.22,11.5,474.88
04/12/2016,143.22,186.25,584.04,8.5,922.01
04/19/2016,108.61,171.66,199.64,17.75,497.65999999999997
04/26/2016,86.92,201.44,617.3,5.25,910.91
05/03/2016,130.67,179.58,222.52,15.75,548.52
05/10/2016,114.93,165.65,249.43,15.75,545.76
05/17/2016,140.66,183.19,64.57,0.0,388.42
05/24/2016,109.89,245.11,16.75,16.75,388.5
05/31/2016,77.25,159.42,115.5,0.0,352.16999999999996
06/07/2016,98.83,208.75,36.75,26.15,370.47999999999996
06/14/2016,122.47,200.54,475.23,12.45,810.69
06/21/2016,125.49,224.67,11.5,12.5,374.15999999999997
06/28/2016,122.07,186.78,31.65,16.75,357.25
07/05/2016,156.86,221.36,136.5,0.0,514.72
07/12/2016,112.15,247.0,776.57,31.5,1167.22
07/19/2016,132.16,224.46,742.3,28.25,1127.17
07/26/2016,149.01,210.61,600.4,26.25,986.27
08/02/2016,137.42,190.49,474.95,15.75,818.6099999999999
08/09/2016,152.82,199.65,592.25,0.0,944.72
08/16/2016,98.44,176.92,441.33,6.25,722.94
08/23/2016,141.04,166.99,205.85,5.25,519.13
08/30/2016,123.18,220.43,454.45,5.25,803.31
09/06/2016,100.4,141.44,294.4,0.0,536.24
09/13/2016,85.14,164.03,236.25,16.7,502.12
09/20/2016,82.18,138.49,237.25,0.0,457.92
09/27/2016,100.55,101.1,84.56,15.45,301.65999999999997
10/04/2016,110.15,122.47,128.0,0.0,360.62
10/11/2016,110.04,134.42,195.95,11.5,451.90999999999997
10/18/2016,112.96,132.09,315.46,12.45,572.96
10/25/2016,107.19,156.75,336.17,6.2,606.3100000000001
11/01/2016,120.76,62.48,88.0,9.15,280.39
11/08/2016,126.3,162.0,396.42,0.0,684.72
11/15/2016,147.32,182.22,25.34,23.0,377.87999999999994
11/22/2016,98.19,149.0,220.84,10.5,478.53
11/29/2016,74.88,114.33,148.1,12.5,349.80999999999995
12/06/2016,98.21,171.2,174.75,0.0,444.15999999999997
12/13/2016,133.51,160.36,321.78,23.95,639.6
12/20/2016,130.28,123.29,141.61,10.5,405.68
12/27/2016,99.8,164.94,63.0,0.0,327.74
