week_ending_date,Day,Date,No. Of Sales,(A) Total Dollar Sales,(B) Net Less Over rings,(C) Less Net Promo,(D) Net Less Employee Freebies,(E) Royalty Sales
01/05/2016,Wednesday,2015-12-30,188,2102.35,0,14.93,18.54,2068.88
01/05/2016,Thursday,2015-12-31,155,2213.58,0,0.0,20.99,2192.59
01/05/2016,Friday,2016-01-01,121,1593.28,0,99.8,53.22,1440.26
01/05/2016,Saturday,2016-01-02,130,1483.22,0,0.0,49.2,1434.02
01/05/2016,Sunday,2016-01-03,152,1866.23,0,0.0,54.47,1811.76
01/05/2016,Monday,2016-01-04,190,2104.97,0,0.0,44.25,2060.72
01/05/2016,Tuesday,2016-01-05,192,2227.4,0,54.89,23.37,2149.14
01/12/2016,Wednesday,2016-01-06,175,2085.19,0,199.96,38.83,1846.4
01/12/2016,Thursday,2016-01-07,194,2197.6,0,0.0,47.9,2149.7
01/12/2016,Friday,2016-01-08,195,2065.46,0,4.99,60.02,2000.45
01/12/2016,Saturday,2016-01-09,196,2425.49,0,49.99,33.54,2341.96
01/12/2016,Sunday,2016-01-10,110,1442.18,0,0.0,54.88,1387.3
01/12/2016,Monday,2016-01-11,186,2532.9,0,558.17,20.99,1953.74
01/12/2016,Tuesday,2016-01-12,174,2564.65,0,878.24,43.52,1642.89
01/19/2016,Wednesday,2016-01-13,193,3113.82,0,988.02,38.83,2086.97
01/19/2016,Thursday,2016-01-14,191,2810.78,0,878.24,0.0,1932.54
01/19/2016,Friday,2016-01-15,213,3189.62,0,427.62,53.78,2708.22
01/19/2016,Saturday,2016-01-16,190,2509.56,0,21.05,36.48,2452.03
01/19/2016,Sunday,2016-01-17,160,1857.58,0,0.0,57.32,1800.26
01/19/2016,Monday,2016-01-18,173,2057.42,0,3.99,48.2,2005.23
01/19/2016,Tuesday,2016-01-19,188,2023.09,0,60.78,28.36,1933.95
01/26/2016,Wednesday,2016-01-20,203,2213.84,0,0.0,19.89,2193.95
01/26/2016,Thursday,2016-01-21,220,2466.61,0,124.75,47.3,2294.56
01/26/2016,Friday,2016-01-22,208,2510.05,0,0.0,44.65,2465.4
01/26/2016,Saturday,2016-01-23,150,2125.26,0,109.78,34.14,1981.34
01/26/2016,Sunday,2016-01-24,143,1856.97,0,0.0,27.66,1829.31
01/26/2016,Monday,2016-01-25,169,1787.29,0,0.0,38.13,1749.16
01/26/2016,Tuesday,2016-01-26,177,1990.38,0,109.78,47.9,1832.7
02/02/2016,Wednesday,2016-01-27,162,1763.3,0,0.0,38.23,1725.07
02/02/2016,Thursday,2016-01-28,198,2253.35,0,109.78,44.65,2098.92
02/02/2016,Friday,2016-01-29,217,2438.39,0,5.99,67.15,2365.25
02/02/2016,Saturday,2016-01-30,189,2583.02,0,16.55,35.14,2531.33
02/02/2016,Sunday,2016-01-31,161,2170.2,0,3.18,34.28,2132.74
02/02/2016,Monday,2016-02-01,175,2077.4,0,54.89,51.98,1970.53
02/02/2016,Tuesday,2016-02-02,175,2003.72,0,0.0,27.91,1975.81
02/09/2016,Wednesday,2016-02-03,198,1907.36,0,26.99,44.75,1835.62
02/09/2016,Thursday,2016-02-04,171,2128.89,0,109.78,38.83,1980.28
02/09/2016,Friday,2016-02-05,190,2105.53,0,0.0,54.32,2051.21
02/09/2016,Saturday,2016-02-06,206,2268.35,0,9.26,33.81,2225.28
02/09/2016,Sunday,2016-02-07,116,1705.92,0,0.0,54.22,1651.7
02/09/2016,Monday,2016-02-08,185,1918.83,0,3.18,28.31,1887.34
02/09/2016,Tuesday,2016-02-09,196,2005.56,0,109.78,38.63,1857.15
02/16/2016,Wednesday,2016-02-10,206,2226.27,0,0.0,30.06,2196.21
02/16/2016,Thursday,2016-02-11,219,2401.9,0,0.0,27.71,2374.19
02/16/2016,Friday,2016-02-12,216,2603.16,0,0.0,36.28,2566.88
02/16/2016,Saturday,2016-02-13,194,2474.05,0,20.12,35.5,2418.43
02/16/2016,Sunday,2016-02-14,161,2018.38,0,0.0,51.34,1967.04
02/16/2016,Monday,2016-02-15,184,1957.91,0,0.0,64.3,1893.61
02/16/2016,Tuesday,2016-02-16,195,2096.2,0,6.89,46.6,2042.71
02/23/2016,Wednesday,2016-02-17,182,2009.19,0,0.0,0.0,2009.19
02/23/2016,Thursday,2016-02-18,175,1942.37,0,12.57,38.63,1891.17
02/23/2016,Friday,2016-02-19,214,2467.87,0,0.0,47.3,2420.57
02/23/2016,Saturday,2016-02-20,169,1973.84,0,3.99,64.33,1905.52
02/23/2016,Sunday,2016-02-21,151,1987.76,0,9.27,41.77,1936.72
02/23/2016,Monday,2016-02-22,188,2109.09,0,0.0,51.24,2057.85
02/23/2016,Tuesday,2016-02-23,185,2121.42,0,26.99,55.07,2039.36
03/01/2016,Wednesday,2016-02-24,213,2413.9,0,24.05,25.08,2364.77
03/01/2016,Thursday,2016-02-25,204,2120.36,0,119.75,37.63,1962.98
03/01/2016,Friday,2016-02-26,223,2507.89,0,99.98,45.05,2362.86
03/01/2016,Saturday,2016-02-27,171,2125.85,0,54.89,37.04,2033.92
03/01/2016,Sunday,2016-02-28,161,2021.33,0,0.0,33.12,1988.21
03/01/2016,Monday,2016-02-29,175,1870.42,0,1.39,48.61,1820.42
03/01/2016,Tuesday,2016-03-01,190,1818.64,0,0.0,53.22,1765.42
03/08/2016,Wednesday,2016-03-02,204,2255.85,0,4.99,20.09,2230.77
03/08/2016,Thursday,2016-03-03,229,2481.74,0,117.27,36.83,2327.64
03/08/2016,Friday,2016-03-04,220,2661.73,0,106.0,61.02,2494.71
03/08/2016,Saturday,2016-03-05,216,2763.29,0,0.0,43.92,2719.37
03/08/2016,Sunday,2016-03-06,174,2272.1,0,0.0,54.15,2217.95
03/08/2016,Monday,2016-03-07,177,2096.91,0,121.7,57.04,1918.17
03/08/2016,Tuesday,2016-03-08,128,1898.53,0,25.28,41.52,1831.73
03/15/2016,Wednesday,2016-03-09,198,2393.55,0,5.25,27.53,2360.77
03/15/2016,Thursday,2016-03-10,204,2707.34,0,120.75,77.42,2509.17
03/15/2016,Friday,2016-03-11,191,2355.2,0,16.74,44.82,2293.64
03/15/2016,Saturday,2016-03-12,170,2354.8,0,111.25,51.07,2192.48
03/15/2016,Sunday,2016-03-13,146,1928.57,0,0.0,49.9,1878.67
03/15/2016,Monday,2016-03-14,197,2327.94,0,4.25,61.09,2262.6
03/15/2016,Tuesday,2016-03-15,227,2616.62,0,6.25,48.82,2561.55
03/22/2016,Wednesday,2016-03-16,234,2847.59,0,0.0,52.51,2795.08
03/22/2016,Thursday,2016-03-17,214,2752.74,0,57.75,39.99,2655.0
03/22/2016,Friday,2016-03-18,225,2743.64,0,106.0,61.53,2576.11
03/22/2016,Saturday,2016-03-19,179,2219.94,0,12.5,40.57,2166.87
03/22/2016,Sunday,2016-03-20,174,2304.95,0,0.0,60.44,2244.51
03/22/2016,Monday,2016-03-21,198,2294.23,0,21.75,53.6,2218.88
03/22/2016,Tuesday,2016-03-22,193,2235.54,0,0.0,50.79,2184.75
03/29/2016,Wednesday,2016-03-23,225,2980.78,0,114.6,30.77,2835.41
03/29/2016,Thursday,2016-03-24,190,2474.11,0,24.9,37.44,2411.77
03/29/2016,Friday,2016-03-25,235,3360.56,0,82.0,61.48,3217.08
03/29/2016,Saturday,2016-03-26,173,2222.53,0,12.45,40.36,2169.72
03/29/2016,Sunday,2016-03-27,95,1349.13,0,57.75,61.73,1229.65
03/29/2016,Monday,2016-03-28,192,2067.16,0,7.7,71.19,1988.27
03/29/2016,Tuesday,2016-03-29,208,2473.45,0,0.0,51.53,2421.92
04/05/2016,Wednesday,2016-03-30,195,2110.74,0,8.39,60.07,2042.28
04/05/2016,Thursday,2016-03-31,189,2342.07,0,3.66,40.78,2297.63
04/05/2016,Friday,2016-04-01,202,2524.26,0,120.09,30.98,2373.19
04/05/2016,Saturday,2016-04-02,208,2877.54,0,6.25,46.95,2824.34
04/05/2016,Sunday,2016-04-03,146,1742.52,0,1.83,44.56,1696.13
04/05/2016,Monday,2016-04-04,226,2694.93,0,0.0,55.39,2639.54
04/05/2016,Tuesday,2016-04-05,194,2626.85,0,26.0,29.93,2570.92
04/12/2016,Wednesday,2016-04-06,185,2092.63,0,0.0,41.52,2051.11
04/12/2016,Thursday,2016-04-07,196,2220.73,0,0.0,45.95,2174.78
04/12/2016,Friday,2016-04-08,227,2707.58,0,318.0,50.45,2339.13
04/12/2016,Saturday,2016-04-09,169,2472.0,0,5.2,37.47,2429.33
04/12/2016,Sunday,2016-04-10,172,2394.65,0,13.84,49.94,2330.87
04/12/2016,Monday,2016-04-11,161,2029.46,0,241.75,62.58,1725.13
04/12/2016,Tuesday,2016-04-12,170,1870.47,0,5.25,50.06,1815.16
04/19/2016,Wednesday,2016-04-13,177,2077.6,0,0.0,50.11,2027.49
04/19/2016,Thursday,2016-04-14,181,2012.6,0,129.89,39.31,1843.4
04/19/2016,Friday,2016-04-15,229,2727.78,0,5.25,18.42,2704.11
04/19/2016,Saturday,2016-04-16,189,2569.08,0,0.0,54.05,2515.03
04/19/2016,Sunday,2016-04-17,128,1761.87,0,0.0,32.93,1728.94
04/19/2016,Monday,2016-04-18,186,2045.5,0,11.5,64.68,1969.32
04/19/2016,Tuesday,2016-04-19,194,2373.7,0,53.0,38.52,2282.18
04/26/2016,Wednesday,2016-04-20,214,2358.33,0,19.89,28.93,2309.51
04/26/2016,Thursday,2016-04-21,897,3850.93,0,72.41,47.0,3731.52
04/26/2016,Friday,2016-04-22,247,2930.12,0,0.0,47.45,2882.67
04/26/2016,Saturday,2016-04-23,173,2777.6,0,525.0,46.56,2206.04
04/26/2016,Sunday,2016-04-24,142,1864.37,0,0.0,40.6,1823.77
04/26/2016,Monday,2016-04-25,203,2328.04,0,0.0,41.55,2286.49
04/26/2016,Tuesday,2016-04-26,165,1786.79,0,0.0,41.52,1745.27
05/03/2016,Wednesday,2016-04-27,226,2624.79,0,0.0,47.97,2576.82
05/03/2016,Thursday,2016-04-28,216,2629.57,0,26.01,44.62,2558.94
05/03/2016,Friday,2016-04-29,215,2426.13,0,0.0,40.42,2385.71
05/03/2016,Saturday,2016-04-30,184,2413.79,0,8.6,46.52,2358.67
