year,total_produce_4315,total_produce_delivery_charges,produce_invoice_totals
2014,16828.081000000002,0.0,16828.081000000002
2015,25124.5292,0.0,25124.5292
2016,26159.43,0.0,26159.43
2017,22935.090000000004,0.0,22935.090000000004
2018,17419.923200000005,0.0,17419.923200000005
2019,14540.865,0.0,14540.865
2020,17449.440000000002,35.0,17484.440000000002
2021,21920.7516,0.0,21920.7516
2022,2791.29,0.0,2791.29
TOTAL,165169.40000000002,35.0,165204.40000000002
