week_ending_date,Invoice #,Invoice Date,Due Date,Vendor Name,Description,Produce 4315,Discounts,Delivery Charges,Invoice Totals
01/02/2018,122717 (3719579),12/27/2017,0,Nogales Produce,0,134.95,0,0,134.95
01/02/2018,123017 (3723624),12/30/2017,0,Nogales Produce,0,168.95,0,0,168.95
01/09/2018,010418 (3735750),01/04/2018,0,Nogales Produce,0,203.95,0,0,203.95
01/09/2018,010918 (3739838),01/09/2018,0,Nogales Produce,0,227.45,0,0,227.45
01/16/2018,011318 (3747444),01/13/2018,0,Nogales Produce,0,174.2,0,0,174.2
01/23/2018,011718 (3756991),01/17/2018,0,Nogales Produce,0,156.95,0,0,156.95
01/23/2018,12018 (3762279),01/20/2018,0,Nogales Produce,0,88.95,0,0,88.95
01/23/2018,12018 (3762280),01/20/2018,0,Nogales Produce,0,11.95,0,0,11.95
01/23/2018,012318 (3765880),01/23/2018,0,Nogales Produce,0,20.0,0,0,20.0
01/30/2018,012418 (3768980),01/24/2018,0,Nogales Produce,0,105.0,0,0,105.0
01/30/2018,012718 (3775044),01/27/2018,0,Nogales Produce,0,111.32,0,0,111.32
02/06/2018,013118 (3781917),01/31/2018,0,Nogales Produce,0,152.0,0,0,152.0
02/06/2018,020318 (3785934),02/03/2018,0,Nogales Produce,0,99.0,0,0,99.0
02/13/2018,020718 (3796412),02/07/2018,0,Nogales Produce,0,101.32,0,0,101.32
02/13/2018,021018 (3802020),02/10/2018,0,Nogales Produce,0,155.5,0,0,155.5
02/20/2018,021518 (3809785),02/15/2018,0,Nogales Produce,0,126.0,0,0,126.0
02/27/2018,022418 (3825221),02/24/2018,0,Nogales Produce,0,99.0,0,0,99.0
02/27/2018,022617 (3829512),02/26/2018,0,Nogales Produce,0,152.0,0,0,152.0
03/06/2018,030218 (3837526),03/02/2018,0,Nogales Produce,0,86.13,0,0,86.13
03/06/2018,03052018 (3842779),03/05/2018,0,Nogales Produce,0,114.0,0,0,114.0
03/13/2018,030818 (3850021),03/08/2018,0,Nogales Produce,0,118.13,0,0,118.13
03/13/2018,031018 (3852372),03/10/2018,0,Nogales Produce,0,126.0,0,0,126.0
03/20/2018,031418 (3861663),03/14/2018,0,Nogales Produce,0,167.13,0,0,167.13
03/20/2018,031718 (3865990),03/17/2018,0,Nogales Produce,0,180.0,0,0,180.0
03/20/2018,032018 (3869945),03/20/2018,0,Nogales Produce,0,195.58,0,0,195.58
03/27/2018,032418 (3883691),03/24/2018,0,Nogales Produce,0,121.95,0,0,121.95
03/27/2018,032618 (3883695),03/26/2018,0,Nogales Produce,0,119.63,0,0,119.63
04/03/2018,032818 (3896548),03/28/2018,0,Nogales Produce,0,169.9,0,0,169.9
04/03/2018,0402108 (3896550),04/02/2018,0,Nogales Produce,0,132.0,0,0,132.0
04/10/2018,11518056 (3905023),04/04/2018,0,Nogales Produce,0,99.5,0,0,99.5
04/10/2018,11519201 (3917823),04/06/2018,0,Nogales Produce,0,69.5,0,0,69.5
04/10/2018,11520092 (3917827),04/09/2018,0,Nogales Produce,0,143.95,0,0,143.95
04/17/2018,11521137 (3932553),04/11/2018,0,Nogales Produce,0,93.95,0,0,93.95
04/17/2018,11523113 (3932558),04/16/2018,0,Nogales Produce,0,166.5,0,0,166.5
04/24/2018,11524857 (3944088),04/19/2018,0,Nogales Produce,0,131.58,0,0,131.58
04/24/2018,11525888 (3944091),04/21/2018,0,Nogales Produce,0,56.95,0,0,56.95
04/24/2018,11526282 (3944095),04/23/2018,0,Nogales Produce,0,36.0,0,0,36.0
05/01/2018,11527507 (3958412),04/25/2018,0,Nogales Produce,0,136.5,0,0,136.5
05/01/2018,11528901 (3958427),04/27/2018,0,Nogales Produce,0,116.95,0,0,116.95
05/01/2018,11530323 (3958438),05/01/2018,0,Nogales Produce,0,164.45,0,0,164.45
05/08/2018,11531988 (3976000),05/04/2018,0,Nogales Produce,0,145.95,0,0,145.95
05/08/2018,11533007 (3976002),05/07/2018,0,Nogales Produce,0,130.0,0,0,130.0
05/15/2018,11534644 (3989296),05/10/2018,0,Nogales Produce,0,191.67,0,0,191.67
05/15/2018,11535604 (3989305),05/12/2018,0,Nogales Produce,0,194.0,0,0,194.0
05/22/2018,11537302 (4005424),05/16/2018,0,Nogales Produce,0,162.2,0,0,162.2
05/22/2018,11538980 (4005428),05/19/2018,0,Nogales Produce,0,112.88,0,0,112.88
05/22/2018,11539881 (4005433),05/22/2018,0,Nogales Produce,0,144.5,0,0,144.5
