week_ending_date,Shift - 1 Wed AM,Shift - 2 Wed PM,Shift - 3 Thu AM,Shift - 4 Thu PM,Shift - 5 Fri AM,Shift - 6 Fri PM,Shift - 7 Sat AM,Shift - 8 Sat PM,Shift - 9 Sun AM,Shift - 10 Sun PM,Shift - 11 Mon AM,Shift - 12 Mon PM,Shift - 13 Tue AM,Shift - 14 Tue PM,Royalty Sales
01/02/2018,1501.35,500.05,1572.23,592.2,1688.96,589.65,867.33,681.29,711.43,293.55,520.05,575.7,1128.94,592.09,11814.82
01/09/2018,1673.22,617.78,1052.46,774.79,1336.03,716.18,1492.34,557.14,984.11,489.97,1353.71,772.44,1010.47,835.73,13666.369999999999
01/16/2018,1111.41,946.18,1392.68,563.24,1425.27,566.83,1842.69,728.36,1196.78,597.18,1395.42,395.9,1138.39,474.7,13775.030000000002
01/23/2018,1160.36,698.17,1326.93,667.56,1007.31,665.04,1070.78,696.88,752.44,507.84,1079.89,683.23,1391.3,777.15,12484.879999999997
01/30/2018,1138.68,583.42,1225.6,715.19,1170.48,734.72,1397.54,362.22,961.25,519.84,894.19,462.2,1332.46,734.62,12232.410000000002
02/06/2018,1284.43,685.38,1338.44,648.69,1671.36,620.51,1825.78,767.36,958.89,395.07,981.09,625.57,1211.44,300.59,13314.6
02/13/2018,1264.7,678.1,1499.01,785.74,1253.35,835.17,905.06,764.14,900.94,605.76,845.06,744.97,986.31,490.82,12559.129999999997
02/20/2018,1076.38,508.99,1078.79,754.06,1295.54,745.54,1422.68,722.31,1189.12,546.5,1409.58,704.82,1393.11,633.76,13481.18
02/27/2018,957.61,650.41,1339.03,539.02,1247.66,778.23,1370.61,779.94,860.69,506.47,1106.58,770.63,1082.07,544.08,12533.029999999999
03/06/2018,1194.22,814.2,1155.25,755.38,1460.03,849.58,1577.88,573.55,815.75,396.01,1456.33,636.07,1173.85,676.37,13534.470000000001
03/13/2018,1458.95,889.97,1556.08,860.63,1609.64,871.04,1322.82,637.98,1016.14,594.66,1020.07,398.06,1052.33,663.61,13951.98
03/20/2018,1198.91,734.74,1505.19,573.23,1692.83,734.93,1012.15,763.95,1037.21,608.97,1101.67,715.44,1026.19,578.81,13284.22
03/27/2018,1108.87,752.72,1355.78,647.78,1278.32,809.75,2192.37,624.68,1239.24,701.17,1256.74,851.97,1310.41,557.17,14686.969999999998
04/03/2018,1203.71,710.8,1422.57,908.21,1452.91,812.65,1585.35,603.12,495.85,527.7,1317.33,569.54,1168.88,479.35,13257.970000000003
04/10/2018,1440.76,818.49,1043.09,1063.49,1439.38,594.06,1607.05,642.52,990.35,578.96,1434.76,624.61,1256.11,544.66,14078.290000000003
04/17/2018,1354.17,829.36,1406.86,903.14,1450.88,852.59,1442.81,468.26,1003.16,586.46,1060.31,478.11,1288.27,684.75,13809.130000000003
04/24/2018,1405.59,804.23,1289.38,749.05,1754.53,816.97,1447.27,647.22,1349.63,740.71,1103.17,684.46,1417.28,866.2,15075.69
05/01/2018,1101.09,664.83,1908.62,846.99,1382.47,659.49,1877.01,541.52,1012.68,709.23,1120.68,609.03,1166.95,674.82,14275.410000000002
05/08/2018,1175.69,589.14,1699.23,692.82,1447.36,543.09,1425.55,776.85,1238.13,842.99,1372.5,999.34,1197.3,827.1,14827.09
05/15/2018,1443.79,835.39,2014.54,672.29,1587.73,773.9,1544.02,704.78,807.43,734.79,1193.73,697.83,1023.21,570.34,14603.77
