week_ending_date,payment_type,prcnt_of_royalty_sales,fee_or_payment,amount
08/07/2018,Royalty,6,Payment,877.0026
08/07/2018,Advertising,1.5,Payment,219.25065
08/07/2018,Media,3,Payment,438.5013
08/14/2018,Royalty,6,Payment,908.0976
08/14/2018,Advertising,1.5,Payment,227.0244
08/14/2018,Media,3,Payment,454.0488
08/21/2018,Royalty,6,Payment,821.4042
08/21/2018,Advertising,1.5,Payment,205.35105
08/21/2018,Media,3,Payment,410.7021
08/28/2018,Royalty,6,Payment,842.385
08/28/2018,Advertising,1.5,Payment,210.59625
08/28/2018,Media,3,Payment,421.1925
09/04/2018,Royalty,6,Payment,797.3652
09/04/2018,Advertising,1.5,Payment,199.3413
09/04/2018,Media,3,Payment,398.6826
09/11/2018,Royalty,6,Payment,722.5896
09/11/2018,Advertising,1.5,Payment,180.6474
09/11/2018,Media,3,Payment,361.2948
09/18/2018,Royalty,6,Payment,903.6666
09/18/2018,Advertising,1.5,Payment,225.91665
09/18/2018,Media,3,Payment,451.8333
09/25/2018,Royalty,6,Payment,823.6308
09/25/2018,Advertising,1.5,Payment,205.9077
09/25/2018,Media,3,Payment,411.8154
10/02/2018,Royalty,6,Payment,820.2252
10/02/2018,Advertising,1.5,Payment,205.0563
10/02/2018,Media,3,Payment,410.1126
10/09/2018,Royalty,6,Payment,765.0696
10/09/2018,Advertising,1.5,Payment,191.2674
10/09/2018,Media,3,Payment,382.5348
10/16/2018,Royalty,6,Payment,761.2284
10/16/2018,Advertising,1.5,Payment,190.3071
10/16/2018,Media,3,Payment,380.6142
10/23/2018,Royalty,6,Payment,723.9576
10/23/2018,Advertising,1.5,Payment,180.9894
10/23/2018,Media,3,Payment,361.9788
10/30/2018,Royalty,6,Payment,866.595
10/30/2018,Advertising,1.5,Payment,216.64875
10/30/2018,Media,3,Payment,433.2975
11/06/2018,Royalty,6,Payment,743.4
11/06/2018,Advertising,1.5,Payment,185.85
11/06/2018,Media,3,Payment,371.7
11/13/2018,Royalty,6,Payment,779.0274
11/13/2018,Advertising,1.5,Payment,194.75685
11/13/2018,Media,3,Payment,389.5137
11/20/2018,Royalty,6,Payment,855.1986
11/20/2018,Advertising,1.5,Payment,213.79965
11/20/2018,Media,3,Payment,427.5993
11/27/2018,Royalty,6,Payment,695.3526
11/27/2018,Advertising,1.5,Payment,173.83815
11/27/2018,Media,3,Payment,347.6763
12/04/2018,Royalty,6,Payment,838.1856
12/04/2018,Advertising,1.5,Payment,209.5464
12/04/2018,Media,3,Payment,419.0928
12/11/2018,Royalty,6,Payment,830.1858
12/11/2018,Advertising,1.5,Payment,207.54645
12/11/2018,Media,3,Payment,415.0929
12/25/2018,Royalty,6,Payment,717.543
12/25/2018,Advertising,1.5,Payment,179.38575
12/25/2018,Media,3,Payment,358.7715
12/25/2018,Royalty,6,Payment,717.543
12/25/2018,Advertising,1.5,Payment,179.38575
12/25/2018,Media,3,Payment,358.7715
