week_ending_date,payment_type,prcnt_of_royalty_sales,fee_or_payment,amount
01/02/2018,Royalty,6,Payment,708.8892
01/02/2018,Advertising,1.5,Payment,177.2223
01/02/2018,Media,3,Payment,354.4446
01/09/2018,Royalty,6,Payment,819.9822
01/09/2018,Advertising,1.5,Payment,204.99555
01/09/2018,Media,3,Payment,409.9911
01/16/2018,Royalty,6,Payment,826.5018
01/16/2018,Advertising,1.5,Payment,206.62545
01/16/2018,Media,3,Payment,413.2509
01/23/2018,Royalty,6,Payment,749.0928
01/23/2018,Advertising,1.5,Payment,187.2732
01/23/2018,Media,3,Payment,374.5464
01/30/2018,Royalty,6,Payment,733.9446
01/30/2018,Advertising,1.5,Payment,183.48615
01/30/2018,Media,3,Payment,366.9723
02/06/2018,Royalty,6,Payment,798.876
02/06/2018,Advertising,1.5,Payment,199.719
02/06/2018,Media,3,Payment,399.438
02/13/2018,Royalty,6,Payment,753.5478
02/13/2018,Advertising,1.5,Payment,188.38695
02/13/2018,Media,3,Payment,376.7739
02/20/2018,Royalty,6,Payment,808.8708
02/20/2018,Advertising,1.5,Payment,202.2177
02/20/2018,Media,3,Payment,404.4354
02/27/2018,Royalty,6,Payment,751.9818
02/27/2018,Advertising,1.5,Payment,187.99545
02/27/2018,Media,3,Payment,375.9909
03/06/2018,Royalty,6,Payment,812.0682
03/06/2018,Advertising,1.5,Payment,203.01705
03/06/2018,Media,3,Payment,406.0341
03/13/2018,Royalty,6,Payment,837.1188
03/13/2018,Advertising,1.5,Payment,209.2797
03/13/2018,Media,3,Payment,418.5594
03/20/2018,Royalty,6,Payment,797.0532
03/20/2018,Advertising,1.5,Payment,199.2633
03/20/2018,Media,3,Payment,398.5266
03/27/2018,Royalty,6,Payment,881.2182
03/27/2018,Advertising,1.5,Payment,220.30455
03/27/2018,Media,3,Payment,440.6091
04/03/2018,Royalty,6,Payment,795.4782
04/03/2018,Advertising,1.5,Payment,198.86955
04/03/2018,Media,3,Payment,397.7391
04/10/2018,Royalty,6,Payment,844.6974
04/10/2018,Advertising,1.5,Payment,211.17435
04/10/2018,Media,3,Payment,422.3487
04/17/2018,Royalty,6,Payment,828.5478
04/17/2018,Advertising,1.5,Payment,207.13695
04/17/2018,Media,3,Payment,414.2739
04/24/2018,Royalty,6,Payment,904.5414
04/24/2018,Advertising,1.5,Payment,226.13535
04/24/2018,Media,3,Payment,452.2707
05/01/2018,Royalty,6,Payment,856.5246
05/01/2018,Advertising,1.5,Payment,214.13115
05/01/2018,Media,3,Payment,428.2623
05/08/2018,Royalty,6,Payment,889.6254
05/08/2018,Advertising,1.5,Payment,222.40635
05/08/2018,Media,3,Payment,444.8127
05/15/2018,Royalty,6,Payment,876.2262
05/15/2018,Advertising,1.5,Payment,219.05655
05/15/2018,Media,3,Payment,438.1131
05/22/2018,Royalty,6,Payment,883.7124
05/22/2018,Advertising,1.5,Payment,220.9281
05/22/2018,Media,3,Payment,441.8562
05/29/2018,Royalty,6,Payment,860.598
05/29/2018,Advertising,1.5,Payment,215.1495
05/29/2018,Media,3,Payment,430.299
06/05/2018,Royalty,6,Payment,911.6826
06/05/2018,Advertising,1.5,Payment,227.92065
06/05/2018,Media,3,Payment,455.8413
06/12/2018,Royalty,6,Payment,925.5648
06/12/2018,Advertising,1.5,Payment,231.3912
06/12/2018,Media,3,Payment,462.7824
06/19/2018,Royalty,6,Payment,871.8156
06/19/2018,Advertising,1.5,Payment,217.9539
06/19/2018,Media,3,Payment,435.9078
06/26/2018,Royalty,6,Payment,903.3432
06/26/2018,Advertising,1.5,Payment,225.8358
06/26/2018,Media,3,Payment,451.6716
06/26/2018,Royalty,6,Payment,903.3432
06/26/2018,Advertising,1.5,Payment,225.8358
06/26/2018,Media,3,Payment,451.6716
07/03/2018,Royalty,6,Payment,904.1214
07/03/2018,Advertising,1.5,Payment,226.03035
07/03/2018,Media,3,Payment,452.0607
07/03/2018,Royalty,6,Payment,904.1214
07/03/2018,Advertising,1.5,Payment,226.03035
07/03/2018,Media,3,Payment,452.0607
07/10/2018,Royalty,6,Payment,804.348
07/10/2018,Advertising,1.5,Payment,201.087
07/10/2018,Media,3,Payment,402.174
07/17/2018,Royalty,6,Payment,904.3524
07/17/2018,Advertising,1.5,Payment,226.0881
07/17/2018,Media,3,Payment,452.1762
07/24/2018,Royalty,6,Payment,857.2056
07/24/2018,Advertising,1.5,Payment,214.3014
07/24/2018,Media,3,Payment,428.6028
07/31/2018,Royalty,6,Payment,853.3044
07/31/2018,Advertising,1.5,Payment,213.3261
07/31/2018,Media,3,Payment,426.6522
