week_ending_date,Category,Beginning Inventory USD,Purchases USD,Ending Inventory USD,COGS Prcnt as Decimal
01/02/2018,Bread 4311,349.33680000000004,413.42,306.7185,0.03758158887546542
01/02/2018,Food 4312,2547.542300000001,1582.8464999999999,2628.6948000000007,0.12375286576753126
01/02/2018,Sides 4313,485.31909999999993,340.38,456.23299999999995,0.030447273997867265
01/02/2018,Paper 4314,442.7782000000001,77.01,372.42990000000003,0.012143627076908884
01/02/2018,Produce 4315,281.73290000000003,303.89979999999997,237.29289999999997,0.028706280048324553
01/02/2018,Beverage 4316,663.3004999999999,142.02999999999997,505.11289999999997,0.024740585201679165
01/02/2018,Catering 4320,276.61969999999997,0.0,261.96759999999995,0.001207462615228167
01/02/2018,Sub Total COGS,5046.629500000002,2859.5863,4768.4496,0.2585796835830047
01/02/2018,Discounted COGS,0.0,0.0,0.0,0.2587032968481916
01/09/2018,Bread 4311,306.7185,473.84000000000003,335.7504,0.03217767569718234
01/09/2018,Food 4312,2628.6948000000007,1272.5263,2328.068700000001,0.11380275617607694
01/09/2018,Sides 4313,456.23299999999995,347.82,398.1948,0.02936001736173906
01/09/2018,Paper 4314,372.42990000000003,171.81,385.0764,0.011513979816978338
01/09/2018,Produce 4315,237.29289999999997,431.4,273.2372,0.02860749448403082
01/09/2018,Beverage 4316,505.11289999999997,317.45,625.2096,0.014276652077983136
01/09/2018,Catering 4320,261.96759999999995,0.0,201.9359,0.004342727963250982
01/09/2018,Sub Total COGS,4768.4496,3014.8463,4547.473000000001,0.2340813035772416
01/09/2018,Discounted COGS,0.0,0.0,0.0,0.23418981444641365
01/16/2018,Bread 4311,335.7504,450.69,308.6067,0.0341007263556188
01/16/2018,Food 4312,2328.068700000001,1539.3959,2250.3553,0.11540542604346724
01/16/2018,Sides 4313,398.1948,429.21,355.8928,0.033649576589910954
01/16/2018,Paper 4314,385.0764,98.67,375.74300000000005,0.00770769074863585
01/16/2018,Produce 4315,273.2372,174.2002,148.30780000000001,0.02134746175178877
01/16/2018,Beverage 4316,625.2096,106.38,512.8512000000001,0.015610322842164308
01/16/2018,Catering 4320,201.9359,0.0,205.73659999999998,-0.0002712379446234111
01/16/2018,Sub Total COGS,4547.473000000001,2798.5461000000005,4157.4934,0.22754996638696254
01/16/2018,Discounted COGS,0.0,0.0,0.0,0.22765701427733406
01/23/2018,Bread 4311,308.6067,403.24,340.2864,0.029419613165179173
01/23/2018,Food 4312,2250.3553,1749.9814,2479.448799999999,0.12042172881656549
