week_ending_date,Manager,InShop,Driver,Tax,DMR,Penalty Pay,Total,Vacation,Training Pay,Vacation Tax,Training Tax,Total Vacation/Training,Total Labor Cost
01/02/2018,1500.0001,678.6988,1087.0223,373.9251,346.05,0.0,3985.6963,0.0,0.0,0.0,0.0,0.0,3985.6963
01/09/2018,1585.0,713.9527,911.6032,367.6087,379.12,0.0,3957.2846,0.0,0.0,0.0,0.0,0.0,3957.2846
01/16/2018,1494.0,764.0564,1001.3727,373.2046,369.4,0.0,4002.0337,0.0,0.0,0.0,0.0,0.0,4002.0337
01/23/2018,1494.8334,840.7912,989.3159,380.7057,387.82,0.0,4093.4662000000003,0.0,0.0,0.0,0.0,0.0,4093.4662000000003
01/30/2018,1506.0,650.719,1122.2268,375.4393,383.42,0.0,4037.8051,0.0,0.0,0.0,0.0,0.0,4037.8051
02/06/2018,1500.3333,701.1643,1166.4953,385.6352,374.77,0.0,4128.3981,0.0,0.0,0.0,0.0,0.0,4128.3981
02/13/2018,1506.0,720.9553,1209.4735,393.4711,378.09,0.0,4207.9899000000005,0.0,0.0,0.0,0.0,0.0,4207.9899000000005
02/20/2018,1558.8306,875.0856,1149.0472,410.2493,417.05,0.0,4410.2627,330.0,0.0,37.785,0.0,367.78499999999997,4778.0477
02/27/2018,1476.5001,1016.5483,1149.5372,417.0761,432.15,0.0,4491.8117,130.0,230.0,14.885,26.335,401.21999999999997,4893.0317000000005
03/06/2018,1531.8334,1025.9998,1078.9812,416.4152,387.43,0.0,4440.6596,0.0,0.0,0.0,0.0,0.0,4440.6596
03/13/2018,1509.1667,1045.0385,1144.4366,423.4945,402.43,0.0,4524.5663,0.0,0.0,0.0,0.0,0.0,4524.5663
03/20/2018,1521.7844,966.1697,1136.1703,414.9622,387.59,0.0,4426.6766,0.0,0.0,0.0,0.0,0.0,4426.6766
03/27/2018,1505.8333,925.6722,1075.4649,401.5481,409.17,0.0,4317.6885,0.0,0.0,0.0,0.0,0.0,4317.6885
04/03/2018,1410.8333,891.4808,818.7126,357.3576,359.19,0.0,3837.5742999999998,0.0,0.0,0.0,0.0,0.0,3837.5742999999998
04/10/2018,1477.1667,1053.2745,1336.1406,442.7236,442.9,0.0,4752.2054,0.0,0.0,0.0,0.0,0.0,4752.2054
04/17/2018,1515.9288,1063.8401,1237.1838,437.0411,385.43,0.0,4639.4238000000005,0.0,0.0,0.0,0.0,0.0,4639.4238000000005
04/24/2018,1511.7223,932.3552,1375.0666,437.292,410.16,0.0,4666.5961,0.0,0.0,0.0,0.0,0.0,4666.5961
05/01/2018,1504.6667,1135.3575,1184.6128,437.9209,394.68,0.0,4657.2379,0.0,0.0,0.0,0.0,0.0,4657.2379
05/08/2018,1418.1666,1285.7738,1079.8814,433.2476,391.05,0.0,4608.1194,0.0,0.0,0.0,0.0,0.0,4608.1194
05/15/2018,1508.1666,1403.2966,1134.6876,463.2843,366.18,0.0,4875.615100000001,0.0,0.0,0.0,0.0,0.0,4875.615100000001
05/22/2018,1410.0,1489.2085,1202.5824,469.6551,394.74,0.0,4966.186,0.0,0.0,0.0,0.0,0.0,4966.186
05/29/2018,1518.5,1354.802,1247.6407,471.8479,361.76,0.0,4954.5506,0.0,0.0,0.0,0.0,0.0,4954.5506
06/05/2018,1504.5001,1363.677,1437.2147,492.9674,361.28,0.0,5159.639199999999,0.0,0.0,0.0,0.0,0.0,5159.639199999999
06/12/2018,1484.5,1593.9612,1400.0393,512.7883,333.35,0.0,5324.638800000001,0.0,0.0,0.0,0.0,0.0,5324.638800000001
06/19/2018,1533.1667,1479.1985,1570.6726,524.7578,376.33,0.0,5484.1256,0.0,0.0,0.0,0.0,0.0,5484.1256
06/26/2018,1497.7333,1263.932,1441.9087,481.3092,377.65,0.0,5062.5332,0.0,0.0,0.0,0.0,0.0,5062.5332
06/26/2018,1497.7333,1263.932,1441.9087,481.3092,377.65,0.0,5062.5332,0.0,0.0,0.0,0.0,0.0,5062.5332
07/03/2018,1484.3333,1403.4539,1170.4464,464.6677,361.34,0.0,4884.2413,0.0,0.0,0.0,0.0,0.0,4884.2413
07/03/2018,1484.3333,1403.4539,1170.4464,464.6677,361.34,0.0,4884.2413,0.0,0.0,0.0,0.0,0.0,4884.2413
07/10/2018,1473.5,1260.6798,1265.1039,457.918,364.13,0.0,4821.3317,0.0,0.0,0.0,0.0,0.0,4821.3317
07/17/2018,1504.8334,1307.7876,1265.6694,466.9643,336.27,0.0,4881.5247,0.0,0.0,0.0,0.0,0.0,4881.5247
07/24/2018,1471.6667,1182.1486,1109.5678,430.9074,325.09,0.0,4519.3805,0.0,0.0,0.0,0.0,0.0,4519.3805
07/31/2018,1548.9197,1330.496,1116.6059,457.5445,326.55,0.0,4780.1161,0.0,0.0,0.0,0.0,0.0,4780.1161
08/07/2018,1500.9445,1274.9684,894.8574,420.3032,318.61,0.0,4409.6835,0.0,0.0,0.0,0.0,0.0,4409.6835
08/14/2018,1615.9379,1285.279,860.9389,430.7668,325.54,0.0,4518.4626,0.0,0.0,0.0,0.0,0.0,4518.4626
08/21/2018,1474.0073,1071.2269,751.1596,377.4371,293.23,0.0,3967.0609,0.0,0.0,0.0,0.0,0.0,3967.0609
08/28/2018,1575.9661,1119.315,672.8601,385.6522,325.76,0.0,4079.5534,0.0,0.0,0.0,0.0,0.0,4079.5534
09/04/2018,1487.5,1219.0391,885.848,411.3283,293.73,0.0,4297.4454000000005,0.0,0.0,0.0,0.0,0.0,4297.4454000000005
09/11/2018,1591.1939,1380.4193,897.7486,443.0419,306.68,0.0,4619.0837,0.0,0.0,0.0,0.0,0.0,4619.0837
09/18/2018,1493.3334,1219.7497,994.8577,424.5592,324.43,0.0,4456.93,0.0,0.0,0.0,0.0,0.0,4456.93
09/25/2018,1468.7479,1630.7607,903.1396,458.3032,345.0,0.0,4805.9514,0.0,0.0,0.0,0.0,0.0,4805.9514
10/02/2018,1529.6716,1418.8487,887.9797,439.2793,356.86,0.0,4632.6393,0.0,0.0,0.0,0.0,0.0,4632.6393
10/09/2018,1479.2833,1313.8106,876.8191,420.205,374.46,0.0,4464.5779999999995,0.0,0.0,0.0,0.0,0.0,4464.5779999999995
10/16/2018,1502.3334,1236.3557,860.2414,412.0775,304.95,0.0,4315.958,0.0,0.0,0.0,0.0,0.0,4315.958
10/23/2018,1468.3333,1229.7529,842.5487,405.4027,276.85,0.0,4222.8876,0.0,0.0,0.0,0.0,0.0,4222.8876
10/30/2018,1334.1666,1399.1224,837.9283,408.9044,306.06,0.0,4286.1817,0.0,0.0,0.0,0.0,0.0,4286.1817
11/06/2018,1302.8333,1235.6564,804.1271,382.7296,350.34,0.0,4075.6864000000005,0.0,0.0,0.0,0.0,0.0,4075.6864000000005
11/13/2018,1272.8333,1236.1021,764.3271,374.7886,289.46,0.0,3937.5111,0.0,0.0,0.0,0.0,0.0,3937.5111
11/20/2018,1458.6667,1428.6552,704.2274,411.2324,246.26,0.0,4249.0417,0.0,0.0,0.0,0.0,0.0,4249.0417
11/27/2018,1370.8334,929.3684,470.1782,317.2085,183.73,0.0,3271.3185,0.0,0.0,0.0,0.0,0.0,3271.3185
12/04/2018,1540.6226,1190.8819,810.9925,405.6159,268.38,0.0,4216.4929,0.0,0.0,0.0,0.0,0.0,4216.4929
12/11/2018,1486.3333,1445.5615,683.8684,414.0049,310.81,0.0,4340.5781,0.0,0.0,0.0,0.0,0.0,4340.5781
12/25/2018,1380.5194,920.5054,763.2547,350.86,229.24,0.0,3644.3795,0.0,0.0,0.0,0.0,0.0,3644.3795
12/25/2018,1380.5194,920.5054,763.2547,350.86,229.24,0.0,3644.3795,0.0,0.0,0.0,0.0,0.0,3644.3795
