week_ending_date,Invoice #,Invoice Date,Due Date,Vendor Name,Description,Produce 4315,Discounts,Delivery Charges,Invoice Totals
01/05/2021,03327149 (5736477),01/02/2021,0,Brothers Produce,0,99.83,0,0,99.83
01/05/2021,03329171 (5742973),01/05/2021,0,Brothers Produce,0,255.38,0,0,255.38
01/12/2021,03332609 (5746650),01/09/2021,0,Brothers Produce,0,139.97,0,0,139.97
01/12/2021,03334324 (5752047),01/12/2021,0,Brothers Produce,0,223.21,0,0,223.21
01/19/2021,03336684 (5756541),01/15/2021,0,Brothers Produce,0,311.48,0,0,311.48
01/19/2021,03339010 (5764924),01/19/2021,0,Brothers Produce,0,245.12,0,0,245.12
01/26/2021,03342175 (5768339),01/23/2021,0,Brothers Produce,0,180.23,0,0,180.23
01/26/2021,03343940 (5771806),01/26/2021,0,Brothers Produce,0,256.51,0,0,256.51
02/02/2021,20099708 (5780604),01/30/2021,0,Nogales Produce,0,133.94,0,0,133.94
02/02/2021,20100783 (5788402),02/02/2021,0,Nogales Produce,0,174.18,0,0,174.18
02/09/2021,20103088 (5791985),02/06/2021,0,Nogales Produce,0,134.51,0,0,134.51
02/09/2021,20104078 (5795488),02/09/2021,0,Nogales Produce,0,219.5,0,0,219.5
02/16/2021,20105806 (5811476),02/13/2021,0,Nogales Produce,0,63.0,0,0,63.0
02/23/2021,20106532 (5812763),02/20/2021,0,Nogales Produce,0,159.5,0,0,159.5
02/23/2021,20107645 (5817520),02/23/2021,0,Nogales Produce,0,181.17,0,0,181.17
03/02/2021,022721 (5823414),02/27/2021,0,Local SuperMarket,0,61.58,0,0,61.58
03/02/2021,02272021 (5823436),02/27/2021,0,Local SuperMarket,0,9.39,0,0,9.39
03/02/2021,20110364 (5824491),03/01/2021,0,Nogales Produce,0,169.59,0,0,169.59
03/09/2021,20113044 (5833114),03/05/2021,0,Nogales Produce,0,193.84,0,0,193.84
03/09/2021,2011400 (5837210),03/09/2021,0,Nogales Produce,0,177.76,0,0,177.76
03/16/2021,20116273 (5847642),03/12/2021,0,Nogales Produce,0,127.52,0,0,127.52
03/16/2021,20116853 (5847646),03/13/2021,0,Nogales Produce,0,148.1,0,0,148.1
03/16/2021,20117781 (5847649),03/16/2021,0,Nogales Produce,0,178.2,0,0,178.2
03/23/2021, (5856425),03/22/2021,0,Nogales Produce,0,188.17,0,0,188.17
03/23/2021, (5856430),03/19/2021,0,Nogales Produce,0,212.0,0,0,212.0
03/30/2021,20123022 (5865523),03/26/2021,0,Nogales Produce,0,207.01,0,0,207.01
03/30/2021,20123807 (5873306),03/29/2021,0,Nogales Produce,0,227.25,0,0,227.25
04/06/2021,20125837 (5876465),04/01/2021,0,Nogales Produce,0,186.0,0,0,186.0
04/06/2021,20128146 (5883408),04/06/2021,0,Nogales Produce,0,228.76,0,0,228.76
04/13/2021,20130459 (5888406),04/10/2021,0,Nogales Produce,0,181.0,0,0,181.0
