week_ending_date,Bread 4311,Food 4312,Sides 4313,Paper 4314,Produce 4315,Beverage 4316,Catering 4320,Operating Supplies 5220,Sub Total COGS,Discounted Total COGS,Cash Over Under
01/05/2021,0.03437658111120904,0.1368513633054895,0.031985258739158674,0.012522250621019675,0.029997989234570796,0.015442567512428554,0.001314681525439773,0,0.262490692049316,0.262490692049316,2.29
01/12/2021,0.0344355175067409,0.13497461272907774,0.03791018277921267,0.012199466472419289,0.02706910337472187,0.01540382372311393,0.002254705570970462,0,0.2642474121562569,0.2642474121562569,331.99
01/19/2021,0.030754609001588915,0.13536309406066993,0.03448012739504026,0.011884958240323725,0.029219957773685978,0.011516660728530118,0.0010972854596264412,0,0.2543166926594654,0.2543166926594654,142.03
01/26/2021,0.032116440562717834,0.1333571720725702,0.03614859920128447,0.012301184849944285,0.0305815027545379,0.01659729167895552,0.002172879582712951,0,0.26327507070272316,0.26327507070272316,184.65
02/02/2021,0.0323127605054093,0.11016164826782467,0.03596361989282063,0.012258952533291944,0.02128388465181258,0.015335466087152664,0.0010021962190106932,0,0.22831852815732245,0.22831852815732245,-45.83
02/09/2021,0.030363692308704893,0.1413845855978745,0.036327195281746494,0.013417486782977557,0.020782764750438377,0.016213654216695,0.002046783240832003,0,0.26053616217926884,0.26053616217926884,358.13
02/16/2021,0.04178688992607522,0.175795502225529,0.04124057556633113,0.010937339141192411,0.02101516776897756,0.020808695351261553,0.003359802492419358,0,0.3149439724717862,0.3149439724717862,-98.56
02/23/2021,0.03248326270524661,0.10125213260131995,0.038882137613955654,0.012560266904258658,0.01922897630674356,0.014956024161796588,0.0012386564946355917,0,0.22060145678795667,0.22060145678795667,224.32
03/02/2021,0.02914956879588225,0.12732156082565596,0.035636125494911186,0.011678251177818889,0.013997601494882259,0.016334795987617015,0.0012159449975880643,0,0.23533384877435556,0.23533384877435556,-36.54
03/09/2021,0.02886536214649142,0.12669381090531937,0.03473021507817332,0.01737999608456507,0.01774615693812988,0.01654153589183403,0.0018862972273305683,0,0.24384337427184352,0.24384337427184352,-69.47
03/16/2021,0.02893359490522239,0.1245945416280115,0.03559873562333649,0.011863289526456301,0.021045303454450437,0.018711625094696586,0.002481075874753383,0,0.2432281661069272,0.2432281661069272,-5.86
03/23/2021,0.02967787808883699,0.12785681941161384,0.03373643664739554,0.01194408528655104,0.021448689469237416,0.01454477448997997,0.0015447080378587239,0,0.24075339143147342,0.24075339143147342,130.1
03/30/2021,0.02777685244042632,0.12159979173590905,0.03929686015765559,0.010594201378401618,0.019921757742188104,0.0185078998394631,0.0024148061277833315,0,0.2401121694218271,0.2401121694218271,-84.0
04/06/2021,0.02934546582178107,0.1260901830066832,0.036315305208750794,0.010535822065420154,0.017383510352638337,0.013804780352815396,0.0010157190138423262,0,0.23449078582193125,0.23449078582193125,57.65
04/13/2021,0.033427818621828136,0.1334939771974028,0.03571842140972337,0.010384924396475058,0.01971996091206484,0.017500841991610346,0.0023997493061501,0,0.2526456938352547,0.252718910497024,73.85
04/20/2021,0.0299132858485098,0.1266587885467457,0.03574369613325425,0.009902622567257534,0.014896308782305535,0.016179768213939093,0.001981551168751749,0,0.2352760212607637,0.2353485935015913,-9.27
04/27/2021,0.031131650133033487,0.12859538340521337,0.03691792364198581,0.011760810974091143,0.020563958405768155,0.01720688864394619,0.004027001235398991,0,0.2502036164394371,0.2502775924268316,-93.12
05/04/2021,0.02904075282023521,0.13299585353945695,0.03692995636447282,0.013323815150170046,0.01751838239539506,0.01753508925490732,0.0036063352115655615,0,0.25095018473620306,0.25101946947291415,6.59
05/11/2021,0.029717478968993943,0.12940618896692646,0.03827244662209224,0.0119732714028499,0.018509618762206616,0.013415026907242783,0.003395506359984983,0,0.24468953799029694,0.24476481002342468,63.23
05/18/2021,0.026111576009800505,0.13162695837221453,0.03856267326260603,0.012134064997377651,0.018295164069775025,0.018102506268834476,0.0026197111422268885,0,0.24745265412283518,0.24752563240547132,-47.8
05/25/2021,0.031291623875292905,0.132890924359206,0.038241899440817774,0.012824202582554976,0.018034038684962183,0.017741238027387102,0.002655310452391808,0,0.2536792374226128,0.2537494511625991,-23.34
06/01/2021,0.031849727858131525,0.12433823190281544,0.04123976585386266,0.011376994585691524,0.017617552116344633,0.015011756281467966,0.004575677882167111,0,0.24600970648048087,0.2460810287138558,18.63
06/08/2021,0.029873558839088418,0.12896412113295241,0.03730825422107126,0.011837361995175915,0.019234869362117393,0.014964506906686683,0.003322757976635861,0,0.2455054304337279,0.24557704684477175,-13.17
06/15/2021,0.029587126621311455,0.13194639795166935,0.035787035958667876,0.012116117166236944,0.02149384174889315,0.016888501970031167,0.0032043107757747996,0,0.25102333219258466,0.2510905228869423,10.36
06/22/2021,0.030106091478887938,0.13011055453603929,0.04353839631282086,0.012367007788723919,0.021065430128915336,0.01738223399062425,0.003676503929058779,0,0.25824621816507043,0.25831751300774414,5.62
06/29/2021,0.029872824646916322,0.1305305286077066,0.035270682864616945,0.012509299725810477,0.019300216157612862,0.01735882388665334,0.003974785360663814,0,0.24881716124998038,0.24888464021341353,65.98
07/06/2021,0.029783209823068493,0.13193951097085124,0.03645843749627604,0.012025243657092045,0.021442606456038616,0.01640445497026272,0.002563426488897548,0,0.2506168898624867,0.2506168898624867,-17.67
07/13/2021,0.028050336331414173,0.13451056698824135,0.03608577791870649,0.011565590036046604,0.02124702316824286,0.01589920784048793,0.0024293911032366665,0,0.2497878933863761,0.24988198526333028,-28.79
