item,week_ending,category,units_of_measure,beginning_units,unit_purchases_1,unit_purchases_2,unit_purchases_3,unit_purchases_4,total_purchased,on_hand_counts,ending_units,unit_cost,ending_value_usd,usage_units,Unnamed: 13
French Bread 32 ct,01/05/2021,Bread 4311,ea,349.00,1280.0,0.0,0,0,1280.0,0,600.00,0.45,271.32,"1,029.0000",271.32
Wheat Sub -  9 Grain Roll,01/05/2021,Bread 4311,ea,0.00,0.0,0.0,0,0,0.0,0,0.00,0.58,0.00,0.0000,0.0
Wheat,01/05/2021,Bread 4311,ea,25.00,48.0,0.0,0,0,48.0,0,31.00,1.46,45.22,42.0000,45.2228
Butter (salted),01/05/2021,Food 4312,1 lb Stick,0.00,0.0,0.0,0,0,0.0,0,0.00,3.03,0.00,0.0000,0.0
Buttermilk,01/05/2021,Food 4312,Quart,0.00,0.0,0.0,0,0,0.0,0,0.00,1.60,0.00,0.0000,0.0
Buttermilk (0.5 gal),01/05/2021,Food 4312,0.5 gal,0.00,0.0,0.0,0,0,0.0,0,0.00,2.99,0.00,0.0000,0.0
Equal Sugar Substitute,01/05/2021,Food 4312,Case 2000,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0
Hard Boiled Whole Eggs,01/05/2021,Food 4312,ea,0.00,0.0,0.0,0,0,0.0,0,0.00,0.00,0.00,0.0000,0.0
Ken's Glaze Fig & Balsamic ,01/05/2021,Food 4312,gal,0.00,0.0,0.0,0,0,0.0,0,0.00,0.00,0.00,0.0000,0.0
Kickin Ranch Dressing Mix,01/05/2021,Food 4312,Container 3.2oz,9.00,0.0,0.0,0,0,0.0,0,7.00,1.42,9.94,2.0000,9.9442
Pepper Jalapeno Slices,01/05/2021,Food 4312,gal,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0
Ranch portioned  ,01/05/2021,Food 4312,Cup,0.00,0.0,0.0,0,0,0.0,0,0.00,0.00,0.00,0.0000,0.0
Ranch prepped ,01/05/2021,Food 4312,gal,0.00,0.0,0.0,0,0,0.0,0,0.00,0.00,0.00,0.0000,0.0
