item,week_ending,category,units_of_measure,beginning_units,unit_purchases_1,unit_purchases_2,unit_purchases_3,unit_purchases_4,total_purchased,on_hand_counts,ending_units,unit_cost,ending_value_usd,usage_units,Unnamed: 13
Rotisserie Shredded Chicken,01/05/2021,Food 4312,lb,0.00,0.0,0.0,0,0,0.0,0,0.00,0.00,0.00,0.0000,0.0
SPICE GARLIC SALT W/PARSLEY  ,01/05/2021,Food 4312,ea,0.00,0.0,0.0,0,0,0.0,0,0.00,8.35,0.00,0.0000,0.0
Avo Fresco,01/05/2021,Food 4312,Case,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0
Capicola,01/05/2021,Food 4312,lb,41.70,36.0,0.0,0,0,36.0,0,34.00,2.98,101.35,43.7000,101.354
Salami,01/05/2021,Food 4312,lb,40.70,75.3,0.0,0,0,75.3,0,59.45,3.21,190.65,56.5500,190.6502
Ham,01/05/2021,Food 4312,lb,109.90,86.0,0.0,0,0,86.0,0,97.30,2.67,259.69,98.6000,259.6937
Turkey,01/05/2021,Food 4312,lb,108.25,169.85,0.0,0,0,169.85,0,127.90,2.87,367.58,150.2000,367.5846
Beef,01/05/2021,Food 4312,lb,71.30,68.7,0.0,0,0,68.7,0,94.70,4.17,394.44,45.3000,394.44440000000003
BACON - SLI APPLWD SMKD CKD,01/05/2021,Food 4312,ea,206.00,1800.0,0.0,0,0,1800.0,0,986.00,0.24,236.44,"1,020.0000",236.4428
Cheese,01/05/2021,Food 4312,lb,54.80,168.65,0.0,0,0,168.65,0,86.73,2.72,235.91,136.7200,235.9056
Mayonnaise,01/05/2021,Food 4312,gal mayo,41.50,8.0,0.0,0,0,8.0,0,37.90,8.07,305.86,11.6000,305.8568
Oil,01/05/2021,Food 4312,gal oil,15.25,0.0,0.0,0,0,0.0,0,14.00,9.11,127.59,1.2500,127.5932
Vinegar,01/05/2021,Food 4312,gal vinegar,9.40,0.0,0.0,0,0,0.0,0,8.90,3.94,35.11,0.5000,35.1069
Avocado,01/05/2021,Food 4312,avo can,18.00,12.0,0.0,0,0,12.0,0,21.00,3.21,67.46,9.0000,67.4625
Peppers Cherry,01/05/2021,Food 4312,Gal Peppers,23.00,4.0,0.0,0,0,4.0,0,22.00,7.04,154.82,5.0000,154.8228
Mustard Dijon,01/05/2021,Food 4312,jar dijon,9.90,0.0,0.0,0,0,0.0,0,8.20,5.31,43.57,1.7000,43.5691
MUSTARD WHL GRAIN ,01/05/2021,Food 4312,32 oz jar,9.75,0.0,0.0,0,0,0.0,0,8.50,5.86,49.81,1.2500,49.81
Soy Sauce,01/05/2021,Food 4312,gal soy,3.50,0.0,0.0,0,0,0.0,0,3.30,11.43,37.72,0.2000,37.7236
Tuna Chunk - pouch,01/05/2021,Food 4312,Pouch tuna (48oz),8.10,0.0,0.0,0,0,0.0,0,2.90,7.98,23.15,5.2000,23.1469
Pan Spray,01/05/2021,Food 4312,ea,5.00,0.0,0.0,0,0,0.0,0,5.00,3.06,15.28,0.0000,15.2805
Oregano,01/05/2021,Food 4312,cont oregano,0.60,0.0,0.0,0,0,0.0,0,0.50,23.49,11.75,0.1000,11.7472
Basil,01/05/2021,Food 4312,cont basil,0.60,0.0,0.0,0,0,0.0,0,0.50,5.65,2.83,0.1000,2.8251
Sugar,01/05/2021,Food 4312,lb,13.00,25.0,0.0,0,0,25.0,0,20.00,0.74,14.87,18.0000,14.872
Mayo Packets,01/05/2021,Food 4312,Box 204,0.80,2.0,0.0,0,0,2.0,0,1.20,17.48,20.98,1.6000,20.976
Mustard Packets,01/05/2021,Food 4312,Box 500,1.75,1.0,0.0,0,0,1.0,0,1.70,5.95,10.12,1.0500,10.115
Sweet n Low Packets,01/05/2021,Food 4312,Case  3000,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0
Pickles,01/05/2021,Sides 4313,ea,136.00,216.0,0.0,0,0,216.0,0,124.00,0.33,40.54,228.0000,40.5356
Chip JJ Reg ,01/05/2021,Sides 4313,ea,105.00,300.0,0.0,0,0,300.0,0,259.00,0.35,89.56,146.0000,89.5622
Chip JJ BBQ ,01/05/2021,Sides 4313,ea,121.00,300.0,0.0,0,0,300.0,0,135.00,0.35,46.68,286.0000,46.683
Chip JJ Jalapeno ,01/05/2021,Sides 4313,ea,165.00,240.0,0.0,0,0,240.0,0,193.00,0.35,66.74,212.0000,66.7394
Chip JJ S&V ,01/05/2021,Sides 4313,ea,107.00,240.0,0.0,0,0,240.0,0,143.00,0.35,49.45,204.0000,49.4494
Chip JJ Skinny ,01/05/2021,Sides 4313,ea,74.00,60.0,0.0,0,0,60.0,0,81.00,0.41,33.36,53.0000,33.3558
Cookie Oatmeal Raisin,01/05/2021,Sides 4313,ea,53.00,56.0,0.0,0,0,56.0,0,82.00,0.46,37.83,27.0000,37.8266
Cookie JJ Triple Choc Chip,01/05/2021,Sides 4313,ea,117.00,224.0,0.0,0,0,224.0,0,188.00,0.57,107.93,153.0000,107.9308
BAG PAPER CRRYOT 8# LOGO-17-DNU,01/05/2021,Paper 4314,Box 1000,0.00,0.0,0.0,0,0,0.0,0,0.00,0.00,0.00,0.0000,0.0
CUP PLAS PRTN CLR 2 OZ  ,01/05/2021,Paper 4314,250 CT,0.00,0.0,0.0,0,0,0.0,0,0.00,6.93,0.00,0.0000,0.0
Frenchie Checkered Wrap Paper,01/05/2021,Paper 4314,1000 count,0.00,0.0,0.0,0,0,0.0,0,0.00,21.87,0.00,0.0000,0.0
Frenchie Topper (Bag Poly Sleeve),01/05/2021,Paper 4314,1 Case,0.00,0.0,0.0,0,0,0.0,0,0.00,72.44,0.00,0.0000,0.0
LID PLAS MED PRTN 2 OZ,01/05/2021,Paper 4314,125 CT,0.00,0.0,0.0,0,0,0.0,0,0.00,0.83,0.00,0.0000,0.0
Sysco Cup Foam Tall 12 oz,01/05/2021,Paper 4314,Case 1000,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0
Cup Plas 14oz Trans Soft - Paper Cat,01/05/2021,Paper 4314,ea,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0
CUP PLAS PRTN (Translucent 2 Oz),01/05/2021,Paper 4314,200 CT,0.00,0.0,0.0,0,0,0.0,0,0.00,1.88,0.00,0.0000,0.0
CUP PLAS TRANS 12 OZ - Paper Cat,01/05/2021,Paper 4314,ea,0.00,0.0,0.0,0,0,0.0,0,0.00,0.00,0.00,0.0000,0.0
Cup Plas Trans Soft 12 OZ,01/05/2021,Paper 4314,50 CT,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0
Napkins (Case 12),01/05/2021,Paper 4314,Pack 567,14.40,0.0,0.0,0,0,0.0,0,6.00,2.91,17.49,8.4000,17.4852
LID PLAS CLR F/1.5-2.5 OZ PRTN,01/05/2021,Paper 4314,100 CT,0.00,0.0,0.0,0,0,0.0,0,0.00,0.92,0.00,0.0000,0.0
Cup 22oz JJ,01/05/2021,Paper 4314,ea,374.00,1000.0,0.0,0,0,1000.0,0,951.00,0.04,36.52,423.0000,36.5184
Lid 22oz JJ,01/05/2021,Paper 4314,ea,443.00,1000.0,0.0,0,0,1000.0,0,"1,041.00",0.01,10.93,402.0000,10.9305
Cup 30oz JJ,01/05/2021,Paper 4314,ea,433.00,750.0,0.0,0,0,750.0,0,846.00,0.06,54.14,337.0000,54.144
Lid 30oz JJ,01/05/2021,Paper 4314,ea,"1,468.00",0.0,0.0,0,0,0.0,0,"1,152.00",0.02,20.85,316.0000,20.8512
Bags 8# JJ,01/05/2021,Paper 4314,Box 1000,1.40,1.0,0.0,0,0,1.0,0,1.40,30.00,42.00,1.0000,42.0
Wrap Sandwich,01/05/2021,Paper 4314,Box 1000,1.80,3.0,0.0,0,0,3.0,0,2.40,20.19,48.46,2.4000,48.456
8X10 Port Pap. (WRAP PAPER DRY WAX),01/05/2021,Paper 4314,Box 500,12.90,12.0,0.0,0,0,12.0,0,15.75,2.76,43.39,9.1500,43.3913
Straws,01/05/2021,Paper 4314,Box 300,0.00,0.0,0.0,0,0,0.0,0,0.00,1.41,0.00,0.0000,0.0
Straws_new (Box 300),01/05/2021,Paper 4314,Box 300,8.50,0.0,0.0,0,0,0.0,0,6.40,1.41,9.00,2.1000,8.9971
Pan Liners,01/05/2021,Paper 4314,Box 1000,0.40,0.0,0.0,0,0,0.0,0,0.30,30.19,9.06,0.1000,9.0562
Mylar (Film PVC roll),01/05/2021,Paper 4314,roll 5280,0.30,0.0,0.0,0,0,0.0,0,0.10,49.62,4.96,0.2000,4.962
Cucumber,01/05/2021,Produce 4315,ea,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0
Iceburg Head ,01/05/2021,Produce 4315,24 Count,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0
Lettuce,01/05/2021,Produce 4315,12 Packs,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0
Roma Tomatoes,01/05/2021,Produce 4315,lb,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0
Yellow Onions,01/05/2021,Produce 4315,lb,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0
Lettuce,01/05/2021,Produce 4315,Head Let,226.00,96.0,0.0,0,0,96.0,0,143.00,1.05,150.21,179.0000,150.2072
Tomatoes,01/05/2021,Produce 4315,lb,151.00,150.0,0.0,0,0,150.0,0,138.00,0.95,131.21,163.0000,131.2104
Onions (Yellow Jumbo),01/05/2021,Produce 4315,lb,68.00,50.0,0.0,0,0,50.0,0,70.00,0.36,24.89,48.0000,24.892
Celery,01/05/2021,Produce 4315,stalk,8.00,3.0,0.0,0,0,3.0,0,7.00,2.07,14.49,4.0000,14.489999999999998
Cucumbers,01/05/2021,Produce 4315,ea,36.00,48.0,0.0,0,0,48.0,0,33.00,1.13,37.23,51.0000,37.2339
Syrup Coke,01/05/2021,Beverage 4316,gal,2.50,5.0,0.0,0,0,5.0,0,5.00,16.86,84.30,2.5000,84.3
Syrup Diet Coke,01/05/2021,Beverage 4316,gal,3.50,5.0,0.0,0,0,5.0,0,6.50,16.86,109.59,2.0000,109.59
Syrup Sprite,01/05/2021,Beverage 4316,gal,5.00,0.0,0.0,0,0,0.0,0,3.50,16.86,59.01,1.5000,59.01
Syrup Lemonade Light,01/05/2021,Beverage 4316,gal,2.00,0.0,0.0,0,0,0.0,0,1.00,18.28,18.28,1.0000,18.28
Syrup Mello Yellow,01/05/2021,Beverage 4316,gal,1.25,0.0,0.0,0,0,0.0,0,1.00,17.58,17.58,0.2500,17.58
Syrup Dr. Pepper,01/05/2021,Beverage 4316,gal,5.00,0.0,0.0,0,0,0.0,0,2.25,16.52,37.17,2.7500,37.17
Syrup Cherry Coke,01/05/2021,Beverage 4316,gal,5.00,0.0,0.0,0,0,0.0,0,3.00,16.86,50.58,2.0000,50.58
Syrup Powerade,01/05/2021,Beverage 4316,gal,1.25,2.5,0.0,0,0,2.5,0,3.00,17.58,52.73,0.7500,52.7337
Tea Bag Brew Lipton,01/05/2021,Beverage 4316,ea,12.00,24.0,0.0,0,0,24.0,0,22.00,0.95,21.00,14.0000,21.0012
Water (bottle),01/05/2021,Beverage 4316,bottle,38.00,24.0,0.0,0,0,24.0,0,37.00,0.28,10.37,25.0000,10.374800000000002
Box - Mini Jimmy 12 CT Sandwich,01/05/2021,Catering 4320,each,16.00,0.0,0.0,0,0,0.0,0,13.00,1.45,18.90,3.0000,18.8955
Box - Mini Jimmy 24 CT Sandwich,01/05/2021,Catering 4320,each,4.00,0.0,0.0,0,0,0.0,0,4.00,1.61,6.42,0.0000,6.4244
Box w/window - Jimmy 6 pk Cookie,01/05/2021,Catering 4320,each,0.00,0.0,0.0,0,0,0.0,0,0.00,0.25,0.00,0.0000,0.0
Foam Plates,01/05/2021,Catering 4320,each,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0
JMYJOHN BOX LUNCH LIL’ (JJ),01/05/2021,Catering 4320,each,165.00,0.0,0.0,0,0,0.0,0,165.00,0.23,38.51,0.0000,38.511
JMYJOHN P BOX SANDWICH CATERING 18 PC ,01/05/2021,Catering 4320,ea,25.00,0.0,0.0,0,0,0.0,0,22.00,1.39,30.49,3.0000,30.492000000000004
JMYJOHN P BOX SANDWICH CATERING 30 PC ,01/05/2021,Catering 4320,ea,12.00,0.0,0.0,0,0,0.0,0,6.00,1.54,9.23,6.0000,9.2304
Paper Bag - Mini Jimmy Sandwich,01/05/2021,Catering 4320,Case 500,0.00,0.0,0.0,0,0,0.0,0,0.00,22.15,0.00,0.0000,0.0
Pickle Container - clear plastic w/lid & label,01/05/2021,Catering 4320,each,0.00,0.0,0.0,0,0,0.0,0,0.00,0.20,0.00,0.0000,0.0
Plastic Knives,01/05/2021,Catering 4320,Box 1000,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0
JJ Lunch Box,01/05/2021,Catering 4320,ea,128.00,0.0,0.0,0,0,0.0,0,120.00,0.30,35.83,8.0000,35.832
"Tray Cater Cmbo 12"" w / dome lid",01/05/2021,Catering 4320,each,0.00,0.0,0.0,0,0,0.0,0,0.00,0.97,0.00,0.0000,0.0
"Tray Cater Cmbo 16"" w / dome lid",01/05/2021,Catering 4320,each,0.00,0.0,0.0,0,0,0.0,0,0.00,1.47,0.00,0.0000,0.0
Party Tray Bags,01/05/2021,Catering 4320,ea,0.00,0.0,0.0,0,0,0.0,0,0.00,0.79,0.00,0.0000,0.0
Tall Foam Cup,01/05/2021,Operating Supplies 5220,ea,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0
French Bread 32 ct,01/12/2021,Bread 4311,ea,600.00,1056.0,0.0,0,0,1056.0,0,628.00,0.45,283.98,"1,028.0000",283.9816
Wheat Sub -  9 Grain Roll,01/12/2021,Bread 4311,ea,0.00,0.0,0.0,0,0,0.0,0,0.00,0.58,0.00,0.0000,0.0
Wheat,01/12/2021,Bread 4311,ea,31.00,32.0,0.0,0,0,32.0,0,20.00,1.46,29.18,43.0000,29.176
Butter (salted),01/12/2021,Food 4312,1 lb Stick,0.00,0.0,0.0,0,0,0.0,0,0.00,3.03,0.00,0.0000,0.0
Buttermilk,01/12/2021,Food 4312,Quart,0.00,0.0,0.0,0,0,0.0,0,0.00,1.60,0.00,0.0000,0.0
Buttermilk (0.5 gal),01/12/2021,Food 4312,0.5 gal,0.00,0.0,0.0,0,0,0.0,0,0.00,2.99,0.00,0.0000,0.0
Equal Sugar Substitute,01/12/2021,Food 4312,Case 2000,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0
Hard Boiled Whole Eggs,01/12/2021,Food 4312,ea,0.00,0.0,0.0,0,0,0.0,0,0.00,0.00,0.00,0.0000,0.0
Ken's Glaze Fig & Balsamic ,01/12/2021,Food 4312,gal,0.00,0.0,0.0,0,0,0.0,0,0.00,0.00,0.00,0.0000,0.0
Kickin Ranch Dressing Mix,01/12/2021,Food 4312,Container 3.2oz,7.00,0.0,0.0,0,0,0.0,0,5.00,1.42,7.10,2.0000,7.103
Pepper Jalapeno Slices,01/12/2021,Food 4312,gal,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0
Ranch portioned  ,01/12/2021,Food 4312,Cup,0.00,0.0,0.0,0,0,0.0,0,0.00,0.00,0.00,0.0000,0.0
Ranch prepped ,01/12/2021,Food 4312,gal,0.00,0.0,0.0,0,0,0.0,0,0.00,0.00,0.00,0.0000,0.0
Rotisserie Shredded Chicken,01/12/2021,Food 4312,lb,0.00,0.0,0.0,0,0,0.0,0,0.00,0.00,0.00,0.0000,0.0
SPICE GARLIC SALT W/PARSLEY  ,01/12/2021,Food 4312,ea,0.00,0.0,0.0,0,0,0.0,0,0.00,8.35,0.00,0.0000,0.0
Avo Fresco,01/12/2021,Food 4312,Case,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0
Capicola,01/12/2021,Food 4312,lb,34.00,36.8,0.0,0,0,36.8,0,22.25,3.08,68.43,48.5500,68.4321
Salami,01/12/2021,Food 4312,lb,59.45,38.9,0.0,0,0,38.9,0,55.25,3.17,175.38,43.1000,175.3801
Ham,01/12/2021,Food 4312,lb,97.30,85.0,0.0,0,0,85.0,0,73.50,2.68,196.67,108.8000,196.6713
Turkey,01/12/2021,Food 4312,lb,127.90,174.2,0.0,0,0,174.2,0,160.75,2.78,447.22,141.3500,447.2226
Beef,01/12/2021,Food 4312,lb,94.70,29.8,0.0,0,0,29.8,0,64.50,4.20,270.60,60.0000,270.6033
BACON - SLI APPLWD SMKD CKD,01/12/2021,Food 4312,ea,986.00,1200.0,0.0,0,0,1200.0,0,"1,135.00",0.24,269.00,"1,051.0000",268.995
Cheese,01/12/2021,Food 4312,lb,86.73,134.21,0.0,0,0,134.21,0,97.25,2.72,264.52,123.6900,264.52
Mayonnaise,01/12/2021,Food 4312,gal mayo,37.90,12.0,0.0,0,0,12.0,0,39.50,8.04,317.48,10.4000,317.4813
Oil,01/12/2021,Food 4312,gal oil,14.00,0.0,0.0,0,0,0.0,0,13.00,9.11,118.48,1.0000,118.4794
Vinegar,01/12/2021,Food 4312,gal vinegar,8.90,4.0,0.0,0,0,4.0,0,12.25,3.94,48.28,0.6500,48.2846
Avocado,01/12/2021,Food 4312,avo can,21.00,12.0,0.0,0,0,12.0,0,21.50,3.16,67.94,11.5000,67.9357
Peppers Cherry,01/12/2021,Food 4312,Gal Peppers,22.00,4.0,0.0,0,0,4.0,0,22.25,7.04,156.58,3.7500,156.5822
Mustard Dijon,01/12/2021,Food 4312,jar dijon,8.20,0.0,0.0,0,0,0.0,0,6.00,5.31,31.88,2.2000,31.8798
MUSTARD WHL GRAIN ,01/12/2021,Food 4312,32 oz jar,8.50,0.0,0.0,0,0,0.0,0,7.40,5.86,43.36,1.1000,43.364
Soy Sauce,01/12/2021,Food 4312,gal soy,3.30,0.0,0.0,0,0,0.0,0,3.10,11.43,35.44,0.2000,35.4373
Tuna Chunk - pouch,01/12/2021,Food 4312,Pouch tuna (48oz),2.90,6.0,0.0,0,0,6.0,0,4.50,8.20,36.91,4.4000,36.9122
Pan Spray,01/12/2021,Food 4312,ea,5.00,0.0,0.0,0,0,0.0,0,5.00,3.06,15.28,0.0000,15.2805
Oregano,01/12/2021,Food 4312,cont oregano,0.50,0.0,0.0,0,0,0.0,0,0.40,23.49,9.40,0.1000,9.3977
Basil,01/12/2021,Food 4312,cont basil,0.50,0.0,0.0,0,0,0.0,0,0.40,5.65,2.26,0.1000,2.2601
Sugar,01/12/2021,Food 4312,lb,20.00,25.0,0.0,0,0,25.0,0,30.00,0.76,22.66,15.0000,22.662
Mayo Packets,01/12/2021,Food 4312,Box 204,1.20,2.0,0.0,0,0,2.0,0,2.00,17.22,34.45,1.2000,34.4498
Mustard Packets,01/12/2021,Food 4312,Box 500,1.70,1.0,0.0,0,0,1.0,0,2.10,5.95,12.50,0.6000,12.495
Sweet n Low Packets,01/12/2021,Food 4312,Case  3000,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0
Pickles,01/12/2021,Sides 4313,ea,124.00,288.0,0.0,0,0,288.0,0,147.00,0.33,48.05,265.0000,48.0543
Chip JJ Reg ,01/12/2021,Sides 4313,ea,259.00,60.0,0.0,0,0,60.0,0,142.00,0.35,49.44,177.0000,49.4444
Chip JJ BBQ ,01/12/2021,Sides 4313,ea,135.00,300.0,0.0,0,0,300.0,0,204.00,0.35,72.40,231.0000,72.3996
Chip JJ Jalapeno ,01/12/2021,Sides 4313,ea,193.00,180.0,0.0,0,0,180.0,0,135.00,0.35,47.56,238.0000,47.5605
Chip JJ S&V ,01/12/2021,Sides 4313,ea,143.00,180.0,0.0,0,0,180.0,0,112.00,0.35,39.63,211.0000,39.6256
Chip JJ Skinny ,01/12/2021,Sides 4313,ea,81.00,60.0,0.0,0,0,60.0,0,62.00,0.42,25.82,79.0000,25.823
Cookie Oatmeal Raisin,01/12/2021,Sides 4313,ea,82.00,56.0,0.0,0,0,56.0,0,64.00,0.46,29.70,74.0000,29.7024
Cookie JJ Triple Choc Chip,01/12/2021,Sides 4313,ea,188.00,112.0,0.0,0,0,112.0,0,78.00,0.58,44.94,222.0000,44.9436
BAG PAPER CRRYOT 8# LOGO-17-DNU,01/12/2021,Paper 4314,Box 1000,0.00,0.0,0.0,0,0,0.0,0,0.00,0.00,0.00,0.0000,0.0
CUP PLAS PRTN CLR 2 OZ  ,01/12/2021,Paper 4314,250 CT,0.00,0.0,0.0,0,0,0.0,0,0.00,6.93,0.00,0.0000,0.0
Frenchie Checkered Wrap Paper,01/12/2021,Paper 4314,1000 count,0.00,0.0,0.0,0,0,0.0,0,0.00,21.87,0.00,0.0000,0.0
Frenchie Topper (Bag Poly Sleeve),01/12/2021,Paper 4314,1 Case,0.00,0.0,0.0,0,0,0.0,0,0.00,72.44,0.00,0.0000,0.0
LID PLAS MED PRTN 2 OZ,01/12/2021,Paper 4314,125 CT,0.00,0.0,0.0,0,0,0.0,0,0.00,0.83,0.00,0.0000,0.0
Sysco Cup Foam Tall 12 oz,01/12/2021,Paper 4314,Case 1000,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0
Cup Plas 14oz Trans Soft - Paper Cat,01/12/2021,Paper 4314,ea,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0
CUP PLAS PRTN (Translucent 2 Oz),01/12/2021,Paper 4314,200 CT,0.00,0.0,0.0,0,0,0.0,0,0.00,1.88,0.00,0.0000,0.0
CUP PLAS TRANS 12 OZ - Paper Cat,01/12/2021,Paper 4314,ea,0.00,0.0,0.0,0,0,0.0,0,0.00,0.00,0.00,0.0000,0.0
Cup Plas Trans Soft 12 OZ,01/12/2021,Paper 4314,50 CT,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0
Napkins (Case 12),01/12/2021,Paper 4314,Pack 567,6.00,12.0,0.0,0,0,12.0,0,9.00,2.91,26.23,9.0000,26.2278
LID PLAS CLR F/1.5-2.5 OZ PRTN,01/12/2021,Paper 4314,100 CT,0.00,0.0,0.0,0,0,0.0,0,0.00,0.92,0.00,0.0000,0.0
Cup 22oz JJ,01/12/2021,Paper 4314,ea,951.00,0.0,0.0,0,0,0.0,0,525.00,0.04,20.16,426.0000,20.16
Lid 22oz JJ,01/12/2021,Paper 4314,ea,"1,041.00",0.0,0.0,0,0,0.0,0,625.00,0.01,6.56,416.0000,6.5625
Cup 30oz JJ,01/12/2021,Paper 4314,ea,846.00,0.0,0.0,0,0,0.0,0,575.00,0.06,36.80,271.0000,36.800000000000004
Lid 30oz JJ,01/12/2021,Paper 4314,ea,"1,152.00",0.0,0.0,0,0,0.0,0,900.00,0.02,16.29,252.0000,16.29
Bags 8# JJ,01/12/2021,Paper 4314,Box 1000,1.40,1.0,0.0,0,0,1.0,0,1.40,30.00,42.00,1.0000,42.0
Wrap Sandwich,01/12/2021,Paper 4314,Box 1000,2.40,3.0,0.0,0,0,3.0,0,3.00,20.19,60.57,2.4000,60.57000000000001
8X10 Port Pap. (WRAP PAPER DRY WAX),01/12/2021,Paper 4314,Box 500,15.75,0.0,0.0,0,0,0.0,0,6.50,2.76,17.91,9.2500,17.9075
Straws,01/12/2021,Paper 4314,Box 300,0.00,0.0,0.0,0,0,0.0,0,0.00,1.41,0.00,0.0000,0.0
Straws_new (Box 300),01/12/2021,Paper 4314,Box 300,6.40,24.0,0.0,0,0,24.0,0,28.50,1.41,40.07,1.9000,40.0653
Pan Liners,01/12/2021,Paper 4314,Box 1000,0.30,0.0,0.0,0,0,0.0,0,0.25,30.19,7.55,0.0500,7.5468
Mylar (Film PVC roll),01/12/2021,Paper 4314,roll 5280,0.10,1.0,0.0,0,0,1.0,0,0.90,49.62,44.66,0.2000,44.658
Cucumber,01/12/2021,Produce 4315,ea,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0
Iceburg Head ,01/12/2021,Produce 4315,24 Count,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0
Lettuce,01/12/2021,Produce 4315,12 Packs,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0
Roma Tomatoes,01/12/2021,Produce 4315,lb,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0
Yellow Onions,01/12/2021,Produce 4315,lb,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0
Lettuce,01/12/2021,Produce 4315,Head Let,143.00,144.0,0.0,0,0,144.0,0,121.00,1.05,127.10,166.0000,127.0984
Tomatoes,01/12/2021,Produce 4315,lb,138.00,125.0,0.0,0,0,125.0,0,98.00,1.23,120.79,165.0000,120.785
Onions (Yellow Jumbo),01/12/2021,Produce 4315,lb,70.00,50.0,0.0,0,0,50.0,0,72.00,0.36,25.60,48.0000,25.6032
Celery,01/12/2021,Produce 4315,stalk,7.00,3.0,0.0,0,0,3.0,0,4.50,2.07,9.32,5.5000,9.315
Cucumbers,01/12/2021,Produce 4315,ea,33.00,24.0,0.0,0,0,24.0,0,21.00,1.13,23.69,36.0000,23.6943
Syrup Coke,01/12/2021,Beverage 4316,gal,5.00,0.0,0.0,0,0,0.0,0,3.00,16.86,50.58,2.0000,50.58
Syrup Diet Coke,01/12/2021,Beverage 4316,gal,6.50,0.0,0.0,0,0,0.0,0,3.50,16.86,59.01,3.0000,59.01
Syrup Sprite,01/12/2021,Beverage 4316,gal,3.50,0.0,0.0,0,0,0.0,0,2.50,16.86,42.15,1.0000,42.15
Syrup Lemonade Light,01/12/2021,Beverage 4316,gal,1.00,2.5,0.0,0,0,2.5,0,3.00,18.81,56.43,0.5000,56.42580000000001
Syrup Mello Yellow,01/12/2021,Beverage 4316,gal,1.00,0.0,0.0,0,0,0.0,0,0.75,17.58,13.19,0.2500,13.185000000000002
Syrup Dr. Pepper,01/12/2021,Beverage 4316,gal,2.25,5.0,0.0,0,0,5.0,0,3.00,17.02,51.05,4.2500,51.0489
