week_ending_date,Shift - 1 Wed AM,Shift - 2 Wed PM,Shift - 3 Thu AM,Shift - 4 Thu PM,Shift - 5 Fri AM,Shift - 6 Fri PM,Shift - 7 Sat AM,Shift - 8 Sat PM,Shift - 9 Sun AM,Shift - 10 Sun PM,Shift - 11 Mon AM,Shift - 12 Mon PM,Shift - 13 Tue AM,Shift - 14 Tue PM,Royalty Sales
01/05/2021,1666.44,754.27,1619.19,405.94,959.52,469.12,1590.87,873.37,1014.66,738.41,1654.88,688.48,1743.17,620.51,14798.830000000002
01/12/2021,1263.17,570.13,1253.33,855.43,1640.92,678.11,1233.17,604.71,638.58,484.38,1624.22,687.67,2234.38,616.95,14385.149999999998
01/19/2021,1275.64,912.03,1860.03,832.14,1349.68,823.98,1427.11,812.79,920.58,885.63,1800.76,818.76,1437.71,839.85,15996.69
01/26/2021,1324.9,558.52,1527.31,709.53,1606.51,916.03,1467.74,728.85,1007.64,479.12,1514.1,530.35,1773.85,726.46,14870.91
02/02/2021,1442.26,714.75,1720.6,757.01,1805.97,565.74,1384.4,942.98,1312.96,783.42,1355.19,622.27,1576.87,758.93,15743.349999999999
02/09/2021,1779.52,919.4,1909.48,795.4,2196.06,1040.91,1963.37,928.92,1483.23,402.54,1466.26,694.22,1269.18,687.37,17535.859999999997
02/16/2021,1548.4,673.38,789.33,281.01,1218.56,908.59,1982.01,534.37,362.73,315.75,0.0,0.0,0.0,0.0,8614.130000000001
02/23/2021,0.0,0.0,474.24,471.03,1392.17,639.58,1862.4,823.32,1286.12,680.13,1908.5,798.55,1815.37,882.1,13033.51
03/02/2021,2116.37,1248.24,1880.03,864.55,1940.41,1039.61,1727.55,931.28,1753.81,732.69,1760.53,640.83,1569.32,541.32,18746.54
03/09/2021,2111.65,920.43,1822.52,791.02,1884.85,933.91,1609.6,767.22,1357.62,808.7,1878.01,693.91,2094.22,738.46,18412.12
03/16/2021,2160.96,909.84,1828.59,805.9,1933.96,966.88,1811.54,749.63,1230.83,1074.54,1783.24,741.48,2294.19,789.41,19080.989999999998
03/23/2021,1599.17,1349.09,2163.08,1137.9,2005.53,1132.97,2142.43,1119.21,1871.87,655.97,1376.16,822.31,2270.24,822.42,20468.35
03/30/2021,2069.18,965.16,2386.02,1205.3,2688.51,979.89,2087.46,679.78,1830.55,1088.81,2281.87,939.64,2168.78,1641.13,23012.079999999998
04/06/2021,1839.0,1046.23,1916.19,1263.63,2382.36,995.07,1318.8,515.1,0.0,0.0,1949.24,867.02,2599.87,1088.18,17780.69
04/13/2021,1697.46,1044.79,1770.26,1001.12,1980.32,739.38,2300.4,836.31,1357.1,1098.18,1819.23,1031.2,1779.27,1476.48,19931.5
04/20/2021,1705.35,938.69,1960.49,1028.19,1636.33,1195.35,1919.64,1235.88,1294.27,995.11,1695.27,1117.49,1907.15,1331.29,19960.500000000004
04/27/2021,1872.27,1118.71,1531.0,823.88,2328.97,890.63,2210.73,685.97,1894.1,672.84,1791.34,914.53,1590.35,1369.56,19694.879999999997
05/04/2021,2637.29,828.22,1872.78,1145.04,2141.61,796.93,1487.37,976.69,1864.98,865.58,1998.8,885.23,2407.59,1050.35,20958.46
05/11/2021,2154.54,1008.37,1967.23,939.39,1957.36,1059.27,1542.29,909.76,1183.48,1135.39,1594.52,804.64,1684.27,1177.58,19118.089999999997
05/18/2021,1894.14,1085.57,1556.19,1250.39,2173.37,993.97,1920.82,951.05,1129.54,926.35,1780.63,981.2,2294.45,768.17,19705.839999999997
05/25/2021,1754.2,1113.46,1928.63,849.47,2004.86,1136.43,2337.97,1027.1,1584.79,935.31,1701.12,772.96,2645.31,779.01,20570.62
06/01/2021,2053.13,911.87,2406.96,1506.54,2238.49,819.91,1755.3,560.14,1126.77,695.82,982.24,674.35,3585.49,845.76,20162.769999999997
06/08/2021,2504.27,1229.02,1760.94,1098.54,2169.27,836.63,1480.3,737.85,1719.99,840.41,1782.53,883.07,2212.96,791.44,20047.219999999998
06/15/2021,2078.19,1006.21,2459.72,1073.19,2361.88,1008.52,2023.3,850.04,2046.08,879.61,1717.49,1009.44,1560.58,1479.77,21554.02
06/22/2021,2130.74,914.6,2187.57,1065.83,2273.38,830.03,2203.38,802.12,1424.6,657.78,1949.01,854.49,1833.65,1373.14,20500.320000000003
06/29/2021,1768.6,1091.49,2672.3,1024.44,2157.1,1048.74,2028.69,1168.16,1478.31,712.72,2106.81,743.02,2735.74,944.28,21680.4
07/06/2021,1619.93,1268.65,1890.26,1333.44,1706.11,849.14,1613.17,1036.69,1492.0,409.36,1645.99,841.47,2446.99,727.57,18880.77
07/13/2021,1752.55,842.78,2104.88,1022.92,1767.72,900.05,1745.91,890.69,1701.85,808.92,2113.32,904.59,2104.68,1880.5,20541.36
07/20/2021,2189.21,868.83,2323.9,1086.21,1838.82,989.15,1922.04,933.11,1727.21,887.1,1919.35,997.49,2771.67,995.93,21450.020000000004
07/27/2021,2356.14,1033.3,2567.31,915.08,2017.97,988.59,1994.41,967.25,1756.34,1458.18,2043.91,1109.77,2111.19,1905.83,23225.269999999997
08/03/2021,2262.03,1144.69,2178.46,1290.46,1834.35,1114.8,2146.06,838.56,2018.34,971.0,2085.36,1036.58,2026.04,1587.13,22533.859999999997
08/10/2021,2201.11,1288.8,1752.64,1546.4,2050.98,1116.99,2857.39,815.8,1549.73,864.6,2405.07,1082.71,2915.75,886.37,23334.339999999997
08/31/2021,1445.13,1045.01,2346.14,1314.7,1746.91,791.6,1842.9,846.78,1724.02,793.71,1850.56,789.16,2610.43,851.01,19998.06
09/07/2021,2399.96,1386.36,2461.11,1448.37,2093.08,1028.09,1834.57,387.33,1665.14,964.8,2034.04,786.77,1765.66,1517.81,21773.09
09/14/2021,1699.8,998.44,1839.52,1187.69,1974.43,988.35,1657.87,941.7,1524.37,989.69,2147.3,886.55,2076.12,756.58,19668.410000000003
09/21/2021,1930.34,705.45,1767.49,1070.57,1953.1,885.49,2365.25,803.54,1704.15,835.35,1535.57,1140.49,1966.04,1444.88,20107.710000000003
09/28/2021,1848.76,1297.09,1528.15,968.12,2204.25,733.43,2792.15,825.77,1994.96,765.24,1695.13,657.45,1558.81,1397.49,20266.800000000003
10/05/2021,1462.4,918.7,1648.2,1003.63,1510.71,941.05,1704.85,822.47,1072.27,748.21,1979.84,894.25,1645.87,1311.69,17664.14
10/12/2021,1755.19,767.27,2312.61,933.55,2155.71,971.81,1848.92,769.89,1595.51,792.23,1636.76,836.05,1938.76,1425.84,19740.1
10/19/2021,1601.64,1322.18,1959.6,936.87,1986.68,814.55,1862.73,745.26,1395.83,317.73,1773.64,942.43,1485.61,1627.64,18772.39
10/26/2021,1369.89,2525.27,1852.13,1038.37,1877.53,967.36,2234.53,596.1,1606.36,750.99,1535.97,861.45,1647.32,1532.32,20395.59
11/02/2021,1795.18,763.02,1809.5,1046.12,1899.63,850.68,1927.95,436.91,1730.67,509.09,1942.24,756.73,1841.72,1435.36,18744.8
11/09/2021,1894.51,815.65,1508.05,1192.69,1802.63,1054.15,2097.59,379.0,1381.96,420.86,1646.49,711.9,1691.4,1460.62,18057.5
11/16/2021,1464.11,737.27,1963.94,915.27,1917.32,938.36,1805.83,459.31,1429.44,651.11,1895.15,996.15,1629.55,1621.63,18424.44
11/23/2021,1804.36,1010.11,2041.19,770.62,2377.94,1029.62,1578.19,374.93,1405.82,739.83,1752.52,764.11,1942.56,843.35,18435.15
11/30/2021,2090.85,175.85,0.0,0.0,2139.16,533.12,1230.14,170.97,1301.46,1097.7,1774.65,767.23,1753.47,1584.89,14619.489999999998
12/07/2021,1944.52,1097.98,1851.44,1182.91,1998.88,1300.41,1864.61,353.52,1475.08,690.71,1597.41,715.73,1376.95,1512.22,18962.370000000003
