week_ending_date,Bread 4311,Food 4312,Sides 4313,Paper 4314,Produce 4315,Beverage 4316,Catering 4320,Operating Supplies 5220,Sub Total COGS,Discounted Total COGS,Cash Over Under,Manager,InShop,Driver,Tax,DMR,Penalty Pay,Total,Vacation,Training Pay,Vacation Tax,Training Tax,Total Vacation/Training,Total Labor Cost,Manager Freebies,Employee Freebies,Promo,Waste,Total Freebies
01/05/2021,0.03437658111120904,0.1368513633054895,0.031985258739158674,0.012522250621019675,0.029997989234570796,0.015442567512428554,0.001314681525439773,0,0.262490692049316,0.262490692049316,2.29,2020.6084,1170.7858,1173.682,499.8012,388.01,0.0,5252.8874000000005,0.0,0.0,0.0,0.0,0.0,5252.8874000000005,44.44,62.49,411.79,0.0,518.72
01/12/2021,0.0344355175067409,0.13497461272907774,0.03791018277921267,0.012199466472419289,0.02706910337472187,0.01540382372311393,0.002254705570970462,0,0.2642474121562569,0.2642474121562569,331.99,2215.0115,980.0592,1196.3448,502.8171,450.08,0.0,5344.3126,0.0,0.0,0.0,0.0,0.0,5344.3126,150.86,122.94,658.72,3.0,935.52
01/19/2021,0.030754609001588915,0.13536309406066993,0.03448012739504026,0.011884958240323725,0.029219957773685978,0.011516660728530118,0.0010972854596264412,0,0.2543166926594654,0.2543166926594654,142.03,1845.3297,986.9525,1330.7623,476.6686,481.96,0.0,5121.6731,0.0,0.0,0.0,0.0,0.0,5121.6731,24.7,102.32,907.47,5.59,1040.08
01/26/2021,0.032116440562717834,0.1333571720725702,0.03614859920128447,0.012301184849944285,0.0305815027545379,0.01659729167895552,0.002172879582712951,0,0.26327507070272316,0.26327507070272316,184.65,2185.1093,893.5812,1274.8515,498.4806,466.88,0.0,5318.9026,0.0,0.0,0.0,0.0,0.0,5318.9026,37.05,133.2,386.11,0.0,556.36
02/02/2021,0.0323127605054093,0.11016164826782467,0.03596361989282063,0.012258952533291944,0.02128388465181258,0.015335466087152664,0.0010021962190106932,0,0.22831852815732245,0.22831852815732245,-45.83,2184.1372,1000.3338,1261.0668,509.0141,447.45,0.0,5402.0019,0.0,0.0,0.0,0.0,0.0,5402.0019,116.98,158.9,472.75,0.0,748.63
02/09/2021,0.030363692308704893,0.1413845855978745,0.036327195281746494,0.013417486782977557,0.020782764750438377,0.016213654216695,0.002046783240832003,0,0.26053616217926884,0.26053616217926884,358.13,2226.2377,871.1829,1460.9402,521.9323,495.07,0.0,5575.3631000000005,0.0,0.0,0.0,0.0,0.0,5575.3631000000005,93.65,214.86,380.91,6.89,696.3100000000001
02/16/2021,0.04178688992607522,0.175795502225529,0.04124057556633113,0.010937339141192411,0.02101516776897756,0.020808695351261553,0.003359802492419358,0,0.3149439724717862,0.3149439724717862,-98.56,1493.4649,412.4288,808.9005,310.8439,244.3,0.0,3269.9381000000003,0.0,0.0,0.0,0.0,0.0,3269.9381000000003,119.13,124.01,389.97,0.0,633.11
02/23/2021,0.03248326270524661,0.10125213260131995,0.038882137613955654,0.012560266904258658,0.01922897630674356,0.014956024161796588,0.0012386564946355917,0,0.22060145678795667,0.22060145678795667,224.32,1853.1567,761.0748,882.9263,400.4246,327.18,0.0,4224.7624,0.0,0.0,0.0,0.0,0.0,4224.7624,41.57,116.2,254.74,0.0,412.51
03/02/2021,0.02914956879588225,0.12732156082565596,0.035636125494911186,0.011678251177818889,0.013997601494882259,0.016334795987617015,0.0012159449975880643,0,0.23533384877435556,0.23533384877435556,-36.54,2534.2855,997.5066,1230.2297,545.2515,511.47,0.0,5818.743300000001,0.0,0.0,0.0,0.0,0.0,5818.743300000001,64.79,59.35,491.38,0.0,615.52
03/09/2021,0.02886536214649142,0.12669381090531937,0.03473021507817332,0.01737999608456507,0.01774615693812988,0.01654153589183403,0.0018862972273305683,0,0.24384337427184352,0.24384337427184352,-69.47,2564.2917,886.5423,1171.7409,529.2848,492.77,0.0,5644.629700000001,0.0,0.0,0.0,0.0,0.0,5644.629700000001,142.42,238.17,405.44,7.89,793.92
03/16/2021,0.02893359490522239,0.1245945416280115,0.03559873562333649,0.011863289526456301,0.021045303454450437,0.018711625094696586,0.002481075874753383,0,0.2432281661069272,0.2432281661069272,-5.86,2563.5978,928.8427,1179.8019,534.9718,497.3,0.0,5704.5142000000005,0.0,0.0,0.0,0.0,0.0,5704.5142000000005,63.4,90.8,494.06,18.03,666.29
03/23/2021,0.02967787808883699,0.12785681941161384,0.03373643664739554,0.01194408528655104,0.021448689469237416,0.01454477448997997,0.0015447080378587239,0,0.24075339143147342,0.24075339143147342,130.1,2755.6289,945.5596,1156.1637,556.1668,523.01,0.0,5936.529,0.0,0.0,0.0,0.0,0.0,5936.529,55.31,88.0,456.14,0.0,599.45
03/30/2021,0.02777685244042632,0.12159979173590905,0.03929686015765559,0.010594201378401618,0.019921757742188104,0.0185078998394631,0.0024148061277833315,0,0.2401121694218271,0.2401121694218271,-84.0,3004.9361,803.4797,1255.0073,579.7619,580.79,0.0,6223.974999999999,0.0,0.0,0.0,0.0,0.0,6223.974999999999,93.78,70.62,562.61,0.0,727.01
