week_ending_date,Invoice #,Invoice Date,Due Date,Vendor Name,Description,Bread 4311,Food 4312,Sides 4313,Paper 4314,Produce 4315,Beverage 4316,Catering 4320,Operating Supplies 5220,Office Supplies 5230,Smallwares-KEC 5220,Uniforms-KC 5221,Aprons-Floor Mats 5285,Trash Service 5286,Pest Control 5241,Fuel Surcharge,Misc Monthly Audit Item,Discounts,Delivery Charges,Tax,Invoice Totals
03/23/2021,469000334 (5856436),03/22/2021,0,Sysco Food Services,0,0.0,0.0,87.6,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,87.6
03/23/2021,396994052 (5856544),03/18/2021,0,Sysco Food Services,0,584.47,2443.99,614.22,221.34,0,234.5,0.0,76.42,0,0,0,0,0,0,0.0,0,0,0,6.3,4181.24
03/23/2021,Transfer IN - 595196,03/23/2021,03/23/2021,"3644 - Forest Drive, Dallas, TX",0,0.0,0.0,0.0,0.0,0,9.579,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,9.579
03/30/2021,496008669 (5866705),03/25/2021,0,Sysco Food Services,0,724.14,3020.94,838.84,219.6,0,424.29,65.69,242.49,0,0,0,0,0,0,0.0,0,0,0,20.01,5556.0
04/06/2021,496026695 (5876470),04/01/2021,0,Sysco Food Services,0,0.0,0.0,98.26,43.73,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,141.99
04/06/2021,496027561 (5877490),04/01/2021,0,Sysco Food Services,0,695.08,2926.72,992.42,257.87,0,476.74,38.6,202.81,0,0,0,0,0,0,0.0,0,0,0,21.17,5611.41
04/13/2021,496042630 (5887612),04/08/2021,0,Sysco Food Services,0,540.88,2593.73,595.41,129.28,0,226.0,37.46,202.64,0,0,0,0,0,0,1.5,0,0,0,16.04,4342.94
04/20/2021,496057144 (5906964),04/15/2021,0,Sysco Food Services,0,709.61,2628.1,730.18,212.55,0,248.99,37.46,121.5,0,0,0,0,0,0,1.5,0,0,0,10.03,4699.92
04/20/2021,Transfer IN - 603579,04/19/2021,04/19/2021,"3644 - Forest Drive, Dallas, TX",0,0.0,0.0,0.0,0.0,0,87.65,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,87.65
04/20/2021,Transfer OUT - 604000,04/19/2021,04/19/2021,"1367 - Preston Rd, Dallas, TX ",0,0.0,0.0,0.0,-5.43,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,-5.43
04/27/2021,496072051 (5909944),04/22/2021,0,Sysco Food Services,0,599.0,2516.86,731.64,311.47,0,511.94,29.29,76.42,0,0,0,0,0,0,1.5,0,0,0,6.33,4784.45
