week_ending_date,Manager Freebies,Employee Freebies,Promo,Waste,Total Freebies
01/05/2021,44.44,62.49,411.79,0.0,518.72
01/12/2021,150.86,122.94,658.72,3.0,935.52
01/19/2021,24.7,102.32,907.47,5.59,1040.08
01/26/2021,37.05,133.2,386.11,0.0,556.36
02/02/2021,116.98,158.9,472.75,0.0,748.63
02/09/2021,93.65,214.86,380.91,6.89,696.3100000000001
02/16/2021,119.13,124.01,389.97,0.0,633.11
02/23/2021,41.57,116.2,254.74,0.0,412.51
03/02/2021,64.79,59.35,491.38,0.0,615.52
03/09/2021,142.42,238.17,405.44,7.89,793.92
03/16/2021,63.4,90.8,494.06,18.03,666.29
03/23/2021,55.31,88.0,456.14,0.0,599.45
03/30/2021,93.78,70.62,562.61,0.0,727.01
04/06/2021,46.61,69.63,685.58,56.7,858.5200000000001
04/13/2021,25.01,60.94,469.69,0.0,555.64
04/20/2021,85.14,126.0,483.64,13.78,708.56
04/27/2021,72.95,81.94,427.08,0.0,581.97
05/04/2021,64.14,120.09,507.1,0.0,691.33
05/11/2021,43.24,89.02,651.46,25.91,809.63
05/18/2021,33.98,111.38,702.86,0.0,848.22
05/25/2021,20.32,71.67,700.73,0.0,792.72
06/01/2021,115.7,109.6,595.82,47.42,868.5400000000001
06/08/2021,115.15,118.13,664.42,0.0,897.6999999999999
06/15/2021,82.3,85.28,602.92,0.0,770.5
06/22/2021,27.91,37.83,466.44,6.89,539.0699999999999
06/29/2021,12.75,59.5,463.41,13.09,548.7500000000001
07/06/2021,23.24,52.9,343.78,0.0,419.91999999999996
07/13/2021,99.2,99.49,515.77,0.0,714.46
07/20/2021,30.72,70.6,362.15,12.58,476.04999999999995
07/27/2021,48.43,42.8,472.71,0.0,563.9399999999999
08/03/2021,11.16,27.4,679.56,27.8,745.9199999999998
08/10/2021,56.41,133.48,349.56,33.56,573.01
08/17/2021,54.0,53.54,367.68,15.77,490.99
08/24/2021,25.41,41.11,409.09,5.69,481.29999999999995
08/31/2021,77.13,67.24,248.97,39.45,432.79
09/07/2021,50.21,103.27,445.4,6.89,605.77
09/14/2021,66.73,62.74,347.73,0.0,477.20000000000005
09/21/2021,25.5,99.5,338.53,24.35,487.88
09/28/2021,42.28,97.91,554.52,0.0,694.71
10/05/2021,32.68,62.41,337.1,0.0,432.19000000000005
10/12/2021,11.66,27.78,470.05,11.13,520.62
10/19/2021,56.43,52.87,330.35,0.0,439.65000000000003
10/26/2021,75.43,31.71,324.4,0.0,431.53999999999996
11/02/2021,71.46,58.09,427.35,47.23,604.1300000000001
11/09/2021,93.3,72.37,332.18,0.0,497.85
11/16/2021,58.79,95.26,253.08,0.0,407.13
11/23/2021,70.36,89.81,450.08,5.69,615.94
11/30/2021,57.32,51.47,552.7,0.0,661.49
12/07/2021,81.9,30.31,543.08,6.38,661.6700000000001
12/14/2021,96.98,39.89,339.16,0.0,476.03000000000003
12/21/2021,29.6,24.83,517.93,6.89,579.2499999999999
12/28/2021,33.58,18.09,280.38,0.0,332.05
