week_ending_date,payment_type,prcnt_of_royalty_sales,fee_or_payment,amount
01/05/2021,Royalty,6,Payment,887.9298
01/05/2021,Advertising,1.5,Payment,221.98245
01/05/2021,Media,3,Payment,443.9649
01/12/2021,Royalty,6,Payment,863.109
01/12/2021,Advertising,1.5,Payment,215.77725
01/12/2021,Media,3,Payment,431.5545
01/19/2021,Royalty,6,Payment,959.8014
01/19/2021,Advertising,1.5,Payment,239.95035
01/19/2021,Media,3,Payment,479.9007
01/26/2021,Royalty,6,Payment,892.2546
01/26/2021,Advertising,1.5,Payment,223.06365
01/26/2021,Media,3,Payment,446.1273
02/02/2021,Royalty,6,Payment,944.601
02/02/2021,Advertising,1.5,Payment,236.15025
02/02/2021,Media,3,Payment,472.3005
02/09/2021,Royalty,6,Payment,1052.1516
02/09/2021,Advertising,1.5,Payment,263.0379
02/09/2021,Media,3,Payment,526.0758
02/16/2021,Royalty,6,Payment,516.8478
02/16/2021,Advertising,1.5,Payment,129.21195
02/16/2021,Media,3,Payment,258.4239
02/23/2021,Royalty,6,Payment,782.0106
02/23/2021,Advertising,1.5,Payment,195.50265
02/23/2021,Media,3,Payment,391.0053
03/02/2021,Royalty,6,Payment,1124.7924
03/02/2021,Advertising,1.5,Payment,281.1981
03/02/2021,Media,3,Payment,562.3962
03/09/2021,Royalty,6,Payment,1104.7272
03/09/2021,Advertising,1.5,Payment,276.1818
03/09/2021,Media,3,Payment,552.3636
03/16/2021,Royalty,6,Payment,1144.8594
03/16/2021,Advertising,1.5,Payment,286.21485
03/16/2021,Media,3,Payment,572.4297
03/23/2021,Royalty,6,Payment,1228.101
03/23/2021,Advertising,1.5,Payment,307.02525
03/23/2021,Media,3,Payment,614.0505
03/30/2021,Royalty,6,Payment,1380.7248
03/30/2021,Advertising,1.5,Payment,345.1812
03/30/2021,Media,3,Payment,690.3624
04/06/2021,Royalty,6,Payment,1066.8414
04/06/2021,Advertising,1.5,Payment,266.71035
04/06/2021,Media,3,Payment,533.4207
04/13/2021,Royalty,6,Payment,1195.89
04/13/2021,Advertising,1.5,Payment,298.9725
04/13/2021,Media,3,Payment,597.945
04/20/2021,Royalty,6,Payment,1197.63
04/20/2021,Advertising,1.5,Payment,299.4075
04/20/2021,Media,3,Payment,598.815
04/27/2021,Royalty,6,Payment,1181.6928
04/27/2021,Advertising,1.5,Payment,295.4232
04/27/2021,Media,3,Payment,590.8464
05/04/2021,Royalty,6,Payment,1257.5076
05/04/2021,Advertising,1.5,Payment,314.3769
05/04/2021,Media,3,Payment,628.7538
05/11/2021,Royalty,6,Payment,1147.0854
05/11/2021,Advertising,1.5,Payment,286.77135
05/11/2021,Media,3,Payment,573.5427
05/18/2021,Royalty,6,Payment,1182.3504
05/18/2021,Advertising,1.5,Payment,295.5876
05/18/2021,Media,3,Payment,591.1752
05/25/2021,Royalty,6,Payment,1234.2372
05/25/2021,Advertising,1.5,Payment,308.5593
05/25/2021,Media,3,Payment,617.1186
06/01/2021,Royalty,6,Payment,1209.7662
06/01/2021,Advertising,1.5,Payment,302.44155
