week_ending_date,Day,Date,No. Of Sales,(A) Total Dollar Sales,(B) Net Less Over rings,(C) Less Net Promo,(D) Net Less Employee Freebies,(E) Royalty Sales
01/04/2022,Wednesday,2021-12-29,180,2605.43,0,31.6,19.33,2554.5
01/04/2022,Thursday,2021-12-30,204,2790.81,0,38.04,12.64,2740.13
01/04/2022,Friday,2021-12-31,151,2327.44,0,97.32,22.92,2207.2
01/04/2022,Saturday,2022-01-01,85,1242.65,0,31.64,0.0,1211.01
01/04/2022,Sunday,2022-01-02,109,1659.57,0,10.23,19.18,1630.16
01/04/2022,Monday,2022-01-03,191,2754.65,0,106.4,10.66,2637.59
01/04/2022,Tuesday,2022-01-04,221,3389.47,0,76.56,34.07,3278.84
01/11/2022,Wednesday,2022-01-05,174,2311.74,0,59.1,41.15,2211.49
01/11/2022,Thursday,2022-01-06,167,2087.97,0,60.14,36.77,1991.06
01/11/2022,Friday,2022-01-07,185,2450.82,0,48.7,44.07,2358.05
01/11/2022,Saturday,2022-01-08,132,1902.97,0,59.19,10.66,1833.12
01/11/2022,Sunday,2022-01-09,140,2354.03,0,55.27,27.47,2271.29
01/11/2022,Monday,2022-01-10,180,2264.66,0,70.91,0.0,2193.75
01/11/2022,Tuesday,2022-01-11,194,3405.52,0,81.24,6.69,3317.59
01/18/2022,Wednesday,2022-01-12,171,2876.57,0,86.48,28.49,2761.6
01/18/2022,Thursday,2022-01-13,185,2488.73,0,48.78,36.61,2403.34
01/18/2022,Friday,2022-01-14,193,2859.83,0,75.05,79.01,2705.77
01/18/2022,Saturday,2022-01-15,93,1577.34,0,44.44,8.76,1524.14
01/18/2022,Sunday,2022-01-16,125,2023.1,0,43.83,0.0,1979.27
01/18/2022,Monday,2022-01-17,180,2392.14,0,81.15,0.0,2310.99
01/18/2022,Tuesday,2022-01-18,196,3179.61,0,79.46,18.33,3081.82
01/25/2022,Wednesday,2022-01-19,183,2433.88,0,86.02,15.51,2332.35
01/25/2022,Thursday,2022-01-20,170,2342.55,0,52.1,47.18,2243.27
01/25/2022,Friday,2022-01-21,175,2550.49,0,72.65,34.37,2443.47
01/25/2022,Saturday,2022-01-22,144,2073.11,0,54.96,21.23,1996.92
01/25/2022,Sunday,2022-01-23,159,2656.73,0,59.41,0.0,2597.32
01/25/2022,Monday,2022-01-24,168,2374.17,0,124.0,12.75,2237.42
01/25/2022,Tuesday,2022-01-25,177,2382.46,0,81.75,26.71,2274.0
02/01/2022,Wednesday,2022-01-26,198,2489.39,0,126.84,18.64,2343.91
02/01/2022,Thursday,2022-01-27,209,2829.97,0,91.07,47.77,2691.13
02/01/2022,Friday,2022-01-28,212,2939.99,0,67.51,22.31,2850.17
02/01/2022,Saturday,2022-01-29,155,2696.76,0,41.16,22.92,2632.68
02/01/2022,Sunday,2022-01-30,131,2368.66,0,58.37,17.77,2292.52
02/01/2022,Monday,2022-01-31,198,2925.98,0,126.28,0.0,2799.7
02/01/2022,Tuesday,2022-02-01,207,3319.74,0,88.32,30.64,3200.78
02/08/2022,Wednesday,2022-02-02,167,2237.95,0,105.48,33.6,2098.87
02/08/2022,Thursday,2022-02-03,0,0.0,0,0.0,0.0,0.0
02/08/2022,Friday,2022-02-04,0,0.0,0,0.0,0.0,0.0
02/08/2022,Saturday,2022-02-05,137,2223.13,0,55.92,11.58,2155.63
02/08/2022,Sunday,2022-02-06,140,2405.55,0,56.35,0.0,2349.2
02/08/2022,Monday,2022-02-07,205,3208.44,0,132.87,17.75,3057.82
02/08/2022,Tuesday,2022-02-08,221,3687.1,0,135.55,40.79,3510.76
02/15/2022,Wednesday,2022-02-09,203,2969.23,0,94.08,29.75,2845.4
02/15/2022,Thursday,2022-02-10,213,3163.64,0,94.01,40.31,3029.32
02/15/2022,Friday,2022-02-11,209,2921.55,0,93.82,51.14,2776.59
02/15/2022,Saturday,2022-02-12,139,2169.78,0,23.89,29.3,2116.59
02/15/2022,Sunday,2022-02-13,111,2289.62,0,31.35,0.0,2258.27
02/15/2022,Monday,2022-02-14,198,3167.76,0,73.61,0.0,3094.15
02/15/2022,Tuesday,2022-02-15,216,3684.97,0,43.88,17.61,3623.48
02/22/2022,Wednesday,2022-02-16,217,3392.36,0,70.67,45.13,3276.56
02/22/2022,Thursday,2022-02-17,194,2670.14,0,37.55,25.43,2607.16
02/22/2022,Friday,2022-02-18,240,3636.9,0,76.04,45.02,3515.84
02/22/2022,Saturday,2022-02-19,150,3403.43,0,113.9,56.34,3233.19
02/22/2022,Sunday,2022-02-20,167,3221.51,0,31.35,0.0,3190.16
02/22/2022,Monday,2022-02-21,196,2939.23,0,48.98,0.0,2890.25
02/22/2022,Tuesday,2022-02-22,190,2350.38,0,60.6,54.51,2235.27
03/01/2022,Wednesday,2022-02-23,78,1184.45,0,27.84,0.0,1156.61
03/01/2022,Thursday,2022-02-24,0,0.0,0,0.0,0.0,0.0
03/01/2022,Friday,2022-02-25,220,3041.16,0,71.08,0.0,2970.08
03/01/2022,Saturday,2022-02-26,146,2282.16,0,44.41,21.74,2216.01
03/01/2022,Sunday,2022-02-27,153,2969.04,0,310.95,0.0,2658.09
03/01/2022,Monday,2022-02-28,229,3049.69,0,63.35,0.0,2986.34
03/01/2022,Tuesday,2022-03-01,205,3567.37,0,70.26,0.0,3497.11
