week_ending_date,payment_type,prcnt_of_royalty_sales,fee_or_payment,amount
01/04/2022,Royalty,6,Payment,975.5658
01/04/2022,Advertising,1.5,Payment,243.89145
01/04/2022,Media,3,Payment,487.7829
01/11/2022,Royalty,6,Payment,970.581
01/11/2022,Advertising,1.5,Payment,242.64525
01/11/2022,Media,3,Payment,485.2905
01/18/2022,Royalty,6,Payment,1006.0158
01/18/2022,Advertising,1.5,Payment,251.50395
01/18/2022,Media,3,Payment,503.0079
01/25/2022,Royalty,6,Payment,967.485
01/25/2022,Advertising,1.5,Payment,241.87125
01/25/2022,Media,3,Payment,483.7425
02/01/2022,Royalty,6,Payment,1128.6534
02/01/2022,Advertising,1.5,Payment,282.16335
02/01/2022,Media,3,Payment,564.3267
02/08/2022,Royalty,6,Payment,790.3368
02/08/2022,Advertising,1.5,Payment,197.5842
02/08/2022,Media,3,Payment,395.1684
02/15/2022,Royalty,6,Payment,1184.628
02/15/2022,Advertising,1.5,Payment,296.157
02/15/2022,Media,3,Payment,592.314
02/22/2022,Royalty,6,Payment,1256.9058
02/22/2022,Advertising,1.5,Payment,314.22645
02/22/2022,Media,3,Payment,628.4529
03/01/2022,Royalty,6,Payment,929.0544
03/01/2022,Advertising,1.5,Payment,232.2636
03/01/2022,Media,3,Payment,464.5272
