item,week_ending,category,units_of_measure,beginning_units,unit_purchases_1,unit_purchases_2,unit_purchases_3,unit_purchases_4,total_purchased,on_hand_counts,ending_units,unit_cost,ending_value_usd,usage_units,Unnamed: 13
French Bread 32 ct,01/04/2022,Bread 4311,ea,666.00,1120.0,0,0,0,1120.0,0,787.00,0.45,357.38,999.0000,357.3767
Wheat,01/04/2022,Bread 4311,ea,27.00,32.0,0,0,0,32.0,0,28.00,1.46,41.00,31.0000,41.0032
"AIOLI, SIGNATURE - HORSERADISH",01/04/2022,Food 4312,gal,0.00,0.0,0,0,0,0.0,0,0.00,12.53,0.00,0.0000,0.0
Black Pepper,01/04/2022,Food 4312,1 Lb,0.00,0.0,0,0,0,0.0,0,0.00,14.65,0.00,0.0000,0.0
BLUE CHEESE CRUMBLES - 2LB,01/04/2022,Food 4312,lb,0.00,0.0,0,0,0,0.0,0,0.00,0.00,0.00,0.0000,0.0
BLUE CHEESE CRUMBLES - 5LB,01/04/2022,Food 4312,lb,0.00,0.0,0,0,0,0.0,0,0.00,3.10,0.00,0.0000,0.0
CHEESE PARM SHAVED S.AMER ,01/04/2022,Food 4312,lb,0.00,0.0,0,0,0,0.0,0,0.00,4.52,0.00,0.0000,0.0
CHEESE PROC PPR JACK SHRD FTR,01/04/2022,Food 4312,lb,0.00,0.0,0,0,0,0.0,0,0.00,0.00,0.00,0.0000,0.0
"CHEESE, AMERICAN ",01/04/2022,Food 4312,lb,0.00,0.0,0,0,0,0.0,0,0.00,33.79,0.00,0.0000,0.0
"CHEESE, CHEDDAR – FINELY SHREDDED ",01/04/2022,Food 4312,lb,0.00,0.0,0,0,0,0.0,0,0.00,2.14,0.00,0.0000,0.0
Chile & Lime Seasoning,01/04/2022,Food 4312,25 Oz,0.00,0.0,0,0,0,0.0,0,0.00,0.00,0.00,0.0000,0.0
CHIP WONTON STRIP WASABI RANCH,01/04/2022,Food 4312,lb,0,0.0,0,0,0,0.0,0,0,0,0,0,0.0
CHUNKY BLEU CHEESE DRESSING,01/04/2022,Food 4312,gal,0.00,0.0,0,0,0,0.0,0,0.00,15.73,0.00,0.0000,0.0
CRISPY CARROT NOODLES,01/04/2022,Food 4312,1 Lb,0.00,0.0,0,0,0,0.0,0,0.00,0.00,0.00,0.0000,0.0
CROUTON SEASONED CUBE ZTF ,01/04/2022,Food 4312,lb,0.00,0.0,0,0,0,0.0,0,0.00,1.82,0.00,0.0000,0.0
DIPN CHICKN SAUCE,01/04/2022,Food 4312,gal,0.00,0.0,0,0,0,0.0,0,0.00,0.00,0.00,0.0000,0.0
DRESSING CAESAR WITH EGG SYS IMP,01/04/2022,Food 4312,gal,0.00,0.0,0,0,0,0.0,0,0.00,15.45,0.00,0.0000,0.0
Equal Sugar Substitute,01/04/2022,Food 4312,Case 2000,0,0.0,0,0,0,0.0,0,0,0,0,0,0.0
FIRE-ROASTED PINEAPPLE CHUNKS,01/04/2022,Food 4312,lb,0,0.0,0,0,0,0.0,0,0.00,0.00,0.00,0,0.0
Hard Boiled Whole Eggs,01/04/2022,Food 4312,ea,0.00,0.0,0,0,0,0.0,0,0.00,0.00,0.00,0.0000,0.0
Ken's Creole Pepper Sauce,01/04/2022,Food 4312,gal,0.00,0.0,0,0,0,0.0,0,0.00,15.39,0.00,0.0000,0.0
Ken's Glaze Fig & Balsamic ,01/04/2022,Food 4312,gal,0.00,0.0,0,0,0,0.0,0,0.00,0.00,0.00,0.0000,0.0
Kickin Ranch Dressing Mix,01/04/2022,Food 4312,Container 3.2oz,18.00,0.0,0,0,0,0.0,0,16.00,1.43,22.81,2.0000,22.8096
MANGO HABANERO SAUCE,01/04/2022,Food 4312,gal,0,0.0,0,0,0,0.0,0,0.00,0.00,0.00,0,0.0
ONION RED PICKLED FRZN ,01/04/2022,Food 4312,lb,0,0.0,0,0,0,0.0,0,0,0,0,0,0.0
ONION RED PICKLED FRZN,01/04/2022,Food 4312,5 LB,0.00,0.0,0,0,0,0.0,0,0.00,10.80,0.00,0.0000,0.0
ONION STRINGS,01/04/2022,Food 4312,lb,0.00,0.0,0,0,0,0.0,0,0.00,18.65,0.00,0.0000,0.0
PANKO PARM CRISP BLEND,01/04/2022,Food 4312,lb,0.00,0.0,0,0,0,0.0,0,0.00,4.64,0.00,0.0000,0.0
Pepper Jalapeno Slices,01/04/2022,Food 4312,gal,0,0.0,0,0,0,0.0,0,0,0,0,0,0.0
PEPPER RED STRIP PINE GUAJILLO ,01/04/2022,Food 4312,1 Lb,0,0.0,0,0,0,0.0,0,0,0,0,0,0.0
PEPPERCORN RANCH,01/04/2022,Food 4312,gal,0.00,0.0,0,0,0,0.0,0,0.00,0.00,0.00,0.0000,0.0
PHILADELPHIA WHIPPED CREAM CHEESE,01/04/2022,Food 4312,lb,0,0.0,0,0,0,0.0,0,0.00,-2.00,0.00,0,0.0
Rotisserie Shredded Chicken,01/04/2022,Food 4312,lb,0.00,0.0,0,0,0,0.0,0,0.00,3.84,0.00,0.0000,0.0
SAUCE PESTO BASIL,01/04/2022,Food 4312,30 Oz,0,0.0,0,0,0,0.0,0,0,0,0,0,0.0
"SAUCE, DELUXE THOUSAND ISLAND",01/04/2022,Food 4312,gal,0.00,0.0,0,0,0,0.0,0,0.00,41.87,0.00,0.0000,0.0
"Seeds, Sesame Black",01/04/2022,Food 4312,1 Lb,0.00,0.0,0,0,0,0.0,0,0.00,50.65,0.00,0.0000,0.0
SPICE GARLIC SALT W/PARSLEY  ,01/04/2022,Food 4312,ea,0.00,0.0,0,0,0,0.0,0,0.00,8.35,0.00,0.0000,0.0
SWEET CHILI SAUCE,01/04/2022,Food 4312,gal,0,0.0,0,0,0,0.0,0,0,0,0,0,0.0
THAI SATAY SAUCE,01/04/2022,Food 4312,gal,0.00,0.0,0,0,0,0.0,0,0.00,0.00,0.00,0.0000,0.0
TOMATO RSTD RED WEDGES,01/04/2022,Food 4312,4 LB,0.00,0.0,0,0,0,0.0,0,0.00,21.00,0.00,0.0000,0.0
"TORTILLA, FLOUR 12”",01/04/2022,Food 4312,ea,0.00,0.0,0,0,0,0.0,0,0.00,0.15,0.00,0.0000,0.0
VEGETABLE CORN & BLK BEAN SW ,01/04/2022,Food 4312,2 LB,0.00,0.0,0,0,0,0.0,0,0.00,0.00,0.00,0.0000,0.0
WRAP TORTILLA CHSE JALAPNO 12,01/04/2022,Food 4312,ea,0.00,0.0,0,0,0,0.0,0,0.00,0.00,0.00,0.0000,0.0
"WRAP TORTILLA HERB GLC 12""",01/04/2022,Food 4312,ea,0.00,0.0,0,0,0,0.0,0,0.00,0.29,0.00,0.0000,0.0
YELLOW TRIANGLE TORTILLA CHIP,01/04/2022,Food 4312,2 LB,0.00,0.0,0,0,0,0.0,0,0.00,0.00,0.00,0.0000,0.0
Avo Fresco,01/04/2022,Food 4312,Case,0,0.0,0,0,0,0.0,0,0,0,0,0,0.0
Capicola,01/04/2022,Food 4312,lb,24.50,69.54,0,0,0,69.54,0,47.50,4.06,192.90,46.5400,192.8975
Salami,01/04/2022,Food 4312,lb,105.00,38.8,0,0,0,38.8,0,100.50,3.38,339.33,43.3000,339.3282
Ham,01/04/2022,Food 4312,lb,114.00,129.7,0,0,0,129.7,0,134.50,2.53,339.87,109.2000,339.8681
Turkey,01/04/2022,Food 4312,lb,125.50,198.1,0,0,0,198.1,0,181.00,3.56,645.08,142.6000,645.084
Beef,01/04/2022,Food 4312,lb,55.00,60.8,0,0,0,60.8,0,67.00,4.71,315.57,48.8000,315.57
BACON - SLI APPLWD SMKD CKD,01/04/2022,Food 4312,ea,785.00,1200.0,0,0,0,1200.0,0,909.00,0.27,247.61,"1,076.0000",247.61160000000004
Cheese,01/04/2022,Food 4312,lb,89.00,136.22,0,0,0,136.22,0,110.00,2.45,269.72,115.2200,269.72
Mayonnaise,01/04/2022,Food 4312,gal mayo,40.00,12.0,0,0,0,12.0,0,39.00,7.97,311.02,13.0000,311.0211
Oil,01/04/2022,Food 4312,gal oil,7.40,6.0,0,0,0,6.0,0,11.75,15.13,177.77,1.6500,177.7669
Vinegar,01/04/2022,Food 4312,gal vinegar,11.50,0.0,0,0,0,0.0,0,10.75,3.98,42.78,0.7500,42.7764
Avocado,01/04/2022,Food 4312,avo can,23.00,12.0,0,0,0,12.0,0,24.10,3.10,74.71,10.9000,74.71
Peppers Cherry,01/04/2022,Food 4312,Gal Peppers,18.30,8.0,0,0,0,8.0,0,19.50,7.06,137.72,6.8000,137.7168
Mustard Dijon,01/04/2022,Food 4312,jar dijon,10.10,0.0,0,0,0,0.0,0,9.40,5.32,50.00,0.7000,50.0014
MUSTARD WHL GRAIN ,01/04/2022,Food 4312,32 oz jar,10.90,0.0,0,0,0,0.0,0,10.00,5.88,58.80,0.9000,58.8
Soy Sauce,01/04/2022,Food 4312,gal soy,2.75,0.0,0,0,0,0.0,0,2.60,10.51,27.32,0.1500,27.3242
Tuna Chunk - pouch,01/04/2022,Food 4312,Pouch tuna (48oz),6.80,6.0,0,0,0,6.0,0,8.10,8.28,67.07,4.7000,67.068
Pan Spray,01/04/2022,Food 4312,ea,6.00,0.0,0,0,0,0.0,0,5.00,3.32,16.61,1.0000,16.614
Oregano,01/04/2022,Food 4312,cont oregano,0.75,0.0,0,0,0,0.0,0,0.50,23.58,11.79,0.2500,11.79
Basil,01/04/2022,Food 4312,cont basil,0.75,0.0,0,0,0,0.0,0,0.50,5.67,2.84,0.2500,2.835
Sugar,01/04/2022,Food 4312,lb,30.00,0.0,0,0,0,0.0,0,16.00,0.83,13.32,14.0000,13.3184
Mayo Packets,01/04/2022,Food 4312,Box 204,1.90,1.0,0,0,0,1.0,0,1.10,17.85,19.64,1.8000,19.6403
Mustard Packets,01/04/2022,Food 4312,Box 500,1.80,1.0,0,0,0,1.0,0,2.00,6.03,12.06,0.8000,12.06
Sweet n Low Packets,01/04/2022,Food 4312,Case  3000,0,0.0,0,0,0,0.0,0,0,0,0,0,0.0
PICKLE DILL WHOLE 52-68 REFR,01/04/2022,Sides 4313,ea,130.00,240.0,0,0,0,240.0,0,140.00,0.33,46.23,230.0000,46.228
Potato Chip BBQ,01/04/2022,Sides 4313,ea,355.00,288.0,0,0,0,288.0,0,272.00,0.38,104.61,371.0000,104.6112
Potato Chip Jalapeno,01/04/2022,Sides 4313,ea,276.00,144.0,0,0,0,144.0,0,167.00,0.38,64.23,253.0000,64.2282
Potato Chip Regular,01/04/2022,Sides 4313,ea,300.00,216.0,0,0,0,216.0,0,232.00,0.38,89.23,284.0000,89.2272
