week_ending_date,Bread 4311,Food 4312,Sides 4313,Paper 4314,Produce 4315,Beverage 4316,Catering 4320,Sub Total COGS,Discounted Total COGS,Cash Over Under,Manager,InShop,Driver,Tax,DMR,Total,Vacation,Training Pay,Vacation Tax,Training Tax,Total Vacation/Training,Total Labor Cost,Manager Freebies,Employee Freebies,Promo,Waste,Total Freebies,Penalty Pay,Operating Supplies 5220
01/06/2015,0.04052717648540326,0.15487987806731485,0.032889083811351735,0.012687669079555873,0.02814403515552063,0.017370839503063517,-7.816197767185476e-08,0.28649860394023235,0.28680256718673347,3.26,1500.5942,1186.662,1070.1948,430.2281,326.69,4514.3691,0.0,0.0,0.0,0.0,0.0,4514.3691,109.99,79.51,11.21,0.0,200.71,0.0,0
01/13/2015,0.04394520038366296,0.1435502955882407,0.03154669601274987,0.013199701676519609,0.034661313498590446,0.009146131094570017,0.0007472948479024366,0.27679663310223585,0.2771157444046111,3.27,1475.1327,1285.5588,1036.8972,434.8239,347.14,4579.552600000001,0.0,130.0,0.0,14.885,144.885,4724.437600000001,86.71,53.14,61.0,0.0,200.85,0.0,0
01/20/2015,0.0360446382369951,0.15031605941618723,0.0318548306090768,0.01407531275682586,0.038996271268986096,0.018354023985632965,0.0011408090585334665,0.29078194533223756,0.2910482832618026,-0.3,1472.7929,1201.7037,1110.825,433.4193,363.16,4581.900900000001,0.0,130.0,0.0,14.885,144.885,4726.785900000001,108.29,81.21,15.25,0.0,204.75,0.0,0
01/27/2015,0.03681255066567864,0.1328041391269173,0.035635880169556995,0.015015864884892554,0.03555775763031337,0.014643711487867597,0.0,0.2704699039652265,0.2707600141905344,5.3,1394.21,1257.5802,1103.1123,429.9363,332.53,4517.3688,260.0,130.0,29.77,14.885,434.655,4952.0238,103.44,79.61,47.45,14.25,244.75,0.0,0
02/03/2015,0.036044429130459125,0.1573314688468596,0.03178966258682123,0.013512596322383217,0.027423334360982342,0.013451560278711024,0.0002798148970208954,0.27983286642323746,0.2801088335500333,34.3,1470.0216,1130.3251,1244.4889,440.2337,328.0,4613.0693,0.0,130.0,0.0,14.885,144.885,4757.9543,115.28,120.21,28.98,5.75,270.22,0.0,0
02/10/2015,0.0364849273016253,0.14191010221002204,0.03273675811346267,0.013508219027825478,0.02663721356711328,0.016099630575686818,0.0010964367365344377,0.26847328753226996,0.27227291660244335,-0.49,1462.5,1189.23,1246.8918,446.3922,349.54,4694.554,0.0,130.0,0.0,14.885,144.885,4839.439,106.64,100.29,121.6,16.25,344.78,0.0,0
02/17/2015,0.03751532523828369,0.14301655133131877,0.03782361273953196,0.013793787055564386,0.02874632264555,0.013544425992432618,0.002278054968913085,0.2767180799715944,0.2768290386173072,2.71,1473.4834,1035.5262,1162.3985,420.3762,329.9,4421.684300000001,90.0,130.0,10.305,14.885,245.19,4666.8743,105.29,143.54,108.22,14.3,371.34999999999997,0.0,0
02/24/2015,0.035874362663948174,0.14065881489701132,0.03622361755777186,0.013456530335767651,0.021789051728156157,0.01600862612074163,0.0010288419466735236,0.26503984525007035,0.265152614825741,11.66,1472.7062,1084.2815,1203.8973,430.6213,379.94,4571.4463,0.0,130.0,0.0,14.885,144.885,4716.3313,112.48,117.87,63.85,11.5,305.70000000000005,0.0,0
03/03/2015,0.03859006609450528,0.14770893447272368,0.03455967310348229,0.014171406419552144,0.023164621251356415,0.015434808745190884,0.0007575666494031766,0.274387076736214,0.2745026804651279,2.57,1407.0304,977.6184,1192.9246,409.6322,371.18,4358.3856000000005,100.0,130.0,11.45,14.885,256.335,4614.720600000001,124.27,79.71,5.75,4.75,214.48,0.0,0
03/10/2015,0.03719596389581146,0.1439858347354172,0.038800388050449705,0.012435032384976395,0.026438174423458864,0.012022036964414479,0.001618940467305088,0.2724963709218331,0.27257543580563937,5.14,1465.8334,944.2953,1240.3499,417.9798,356.04,4424.4984,0.0,130.0,0.0,14.885,144.885,4569.383400000001,97.6,62.03,0.0,4.75,164.38,0.0,0
03/17/2015,0.03659923927945695,0.14405048251874555,0.031315081730589694,0.013612576656960154,0.02356262912701564,0.015839821914269185,0.0002818674614781389,0.2652616986885153,0.26533790791943457,5.68,1465.3992,891.3628,1239.7512,411.8008,385.51,4393.8240000000005,0.0,130.0,0.0,14.885,144.885,4538.709000000001,112.48,68.72,13.34,27.1,221.64,0.0,0
03/24/2015,0.03609545698804656,0.14093739975067102,0.035043104673496826,0.012740892792606208,0.030350190786739818,0.016345604866381605,0.001175737665863995,0.27268838752380603,0.27275606639568045,5.94,1503.9999,1055.0087,1181.6221,428.3022,363.51,4532.4429,0.0,130.0,0.0,14.885,144.885,4677.3279,115.38,72.58,15.25,10.4,213.60999999999999,0.0,0
03/31/2015,0.0347370466854754,0.1375689238864062,0.03481306889557033,0.014735264060215405,0.0305901004448197,0.014105115684013252,0.0016053151835910963,0.26815483484009145,0.26821918954261825,2.54,1474.946,1126.6813,1252.7262,441.3235,406.19,4701.867,0.0,130.0,0.0,14.885,144.885,4846.752,110.78,54.44,140.72,0.0,305.94,0.0,0
04/07/2015,0.03641416486253561,0.13751324843333018,0.03200116823016715,0.012893701818578443,0.027442551850977447,0.015173680951174724,0.001108849917585236,0.2625473660643487,0.26265500397901476,15.44,1342.3408,1108.6559,1132.8067,410.3455,350.54,4344.6889,130.0,130.0,14.885,14.885,289.77,4634.4589,95.0,68.58,2.7,10.5,176.77999999999997,0.0,0
04/14/2015,0.03623833313198644,0.13910615481917862,0.033319480667145164,0.010733241424398977,0.024460975419097638,0.013951044279734795,0.00046222613861667607,0.2582714558801585,0.25837805129371316,-1.78,1464.1667,1099.0351,1249.2496,436.5257,387.97,4636.9471,0.0,130.0,0.0,14.885,144.885,4781.8321000000005,122.97,70.47,21.64,0.0,215.07999999999998,0.0,0
