week_ending_date,Invoice #,Invoice Date,Due Date,Vendor Name,Description,Produce 4315,Discounts,Delivery Charges,Invoice Totals
01/06/2015,010215 (1673542),01/02/2015,0,Local SuperMarket,0,7.92,0,0,7.92
01/06/2015,010115 (1673549),01/01/2015,0,Local SuperMarket,0,8.16,0,0,8.16
01/06/2015,01452408 (1673560),01/03/2015,0,Hardie's,0,227.4,0,0,227.4
01/13/2015,01457044 (1683026),01/07/2015,0,Hardie's,0,202.8,0,0,202.8
01/13/2015,01462988 (1683035),01/12/2015,0,Hardie's,0,358.95,0,0,358.95
01/20/2015,011515 (1695120),01/15/2015,0,Local SuperMarket,0,3.84,0,0,3.84
01/20/2015,011515 (1695123),01/15/2015,0,Local SuperMarket,0,2.97,0,0,2.97
01/20/2015,01473108 (1695130),01/19/2015,0,Hardie's,0,211.85,0,0,211.85
01/20/2015,01471691 (1695163),01/19/2015,0,Hardie's,0,286.7,0,0,286.7
01/27/2015,01480865 (1705801),01/27/2015,0,Hardie's,0,296.55,0,0,296.55
01/27/2015,012515 (1705962),01/25/2015,0,Local SuperMarket,0,1.98,0,0,1.98
02/03/2015,012815 (1713575),01/28/2015,0,Local SuperMarket,0,3.84,0,0,3.84
02/03/2015,01492903 (1717701),02/02/2015,0,Hardie's,0,209.9,0,0,209.9
02/03/2015,01487947 (1717706),01/29/2015,0,Hardie's,0,199.15,0,0,199.15
02/03/2015,020315 (1719793),02/03/2015,0,Local SuperMarket,0,1.77,0,0,1.77
02/10/2015,020715 (1724718),02/07/2015,0,Local SuperMarket,0,11.88,0,0,11.88
02/10/2015,020415 (1728994),02/04/2015,0,Local SuperMarket,0,3.84,0,0,3.84
02/10/2015,01504693 (1729004),02/10/2015,0,Hardie's,0,148.9,0,0,148.9
02/10/2015,01501525 (1729015),02/07/2015,0,Hardie's,0,174.9,0,0,174.9
02/17/2015,021615 (1740491),02/16/2015,0,Local SuperMarket,0,5.9,0,0,5.9
02/17/2015,021315 (1740507),02/13/2015,0,Local SuperMarket,0,15.6,0,0,15.6
02/17/2015,01510293 (1740516),02/13/2015,0,Hardie's,0,219.7,0,0,219.7
02/17/2015,01514719 (1740523),02/17/2015,0,Hardie's,0,189.8,0,0,189.8
02/24/2015,021815 (1745597),02/18/2015,0,Local SuperMarket,0,3.84,0,0,3.84
02/24/2015,022315 (1751958),02/23/2015,0,Local SuperMarket,0,1.98,0,0,1.98
02/24/2015,01522729 (1751976),02/23/2015,0,Hardie's,0,205.45,0,0,205.45
03/03/2015,01529306 (1765750),02/27/2015,0,Hardie's,0,176.95,0,0,176.95
03/03/2015,022515 (1765752),02/25/2015,0,Local SuperMarket,0,3.84,0,0,3.84
03/03/2015,022715 (1765757),02/27/2015,0,Local SuperMarket,0,6.64,0,0,6.64
03/10/2015,030415 (1765807),03/04/2015,0,Local SuperMarket,0,3.84,0,0,3.84
03/10/2015,030715 (1770863),03/07/2015,0,Local SuperMarket,0,16.32,0,0,16.32
03/10/2015,01535858 (1770866),03/04/2015,0,Hardie's,0,196.05,0,0,196.05
03/10/2015,01541469 (1773738),03/09/2015,0,Hardie's,0,221.75,0,0,221.75
03/17/2015,031315 (1782701),03/13/2015,0,Local SuperMarket,0,14.32,0,0,14.32
03/17/2015,031215 (1782702),03/12/2015,0,Local SuperMarket,0,5.12,0,0,5.12
03/17/2015,01546929 (1782703),03/13/2015,0,Hardie's,0,205.85,0,0,205.85
03/24/2015,01553998 (1794407),03/18/2015,0,Hardie's,0,263.05,0,0,263.05
03/24/2015,032115 (1801034),03/21/2015,0,Local SuperMarket,0,3.84,0,0,3.84
03/24/2015,01560586 (1801121),03/23/2015,0,Hardie's,0,282.45,0,0,282.45
03/31/2015,032515 (1803853),03/25/2015,0,Local SuperMarket,0,3.84,0,0,3.84
03/31/2015,01566075 (1803856),03/26/2015,0,Hardie's,0,217.4,0,0,217.4
03/31/2015,01570395 (1813095),03/30/2015,0,Hardie's,0,225.41,0,0,225.41
03/31/2015,033015 (1813102),03/30/2015,0,Local SuperMarket,0,1.99,0,0,1.99
04/07/2015,04022015 (1822571),04/02/2015,0,Local SuperMarket,0,5.12,0,0,5.12
04/07/2015,04042015 (1822580),04/04/2015,0,Local SuperMarket,0,3.84,0,0,3.84
04/07/2015,01575293 (1822592),04/02/2015,0,Hardie's,0,134.59,0,0,134.59
04/07/2015,01579128 (1822600),04/04/2015,0,Hardie's,0,193.94,0,0,193.94
04/07/2015,01582052 (1822611),04/07/2015,0,Hardie's,0,161.52,0,0,161.52
04/14/2015,040915 (1827530),04/09/2015,0,Local SuperMarket,0,3.84,0,0,3.84
04/14/2015,01589090 (1832773),04/11/2015,0,Hardie's,0,137.43,0,0,137.43
04/14/2015,01592136 (1833990),04/14/2015,0,Hardie's,0,185.95,0,0,185.95
04/14/2015,01592571 (1833993),04/14/2015,0,Hardie's,0,22.2,0,0,22.2
04/14/2015,0141415 (1836845),04/14/2015,0,Local SuperMarket,0,8.07,0,0,8.07
04/21/2015,0158744 (1845656),04/18/2015,0,Hardie's,0,176.9,0,0,176.9
04/21/2015,01599428 (1845662),04/20/2015,0,Hardie's,0,10.05,0,0,10.05
04/21/2015,01601281 (1845672),04/21/2015,0,Hardie's,0,163.4,0,0,163.4
04/21/2015,011915 (1845685),04/19/2015,0,Local SuperMarket,0,2.97,0,0,2.97
04/28/2015,01611456 (1857711),04/28/2015,0,Hardie's,0,238.03,0,0,238.03
04/28/2015,01608038 (1857720),04/25/2015,0,Hardie's,0,209.91,0,0,209.91
04/28/2015,042215 (1858491),04/22/2015,0,Local SuperMarket,0,2.97,0,0,2.97
04/28/2015,042515 (1858498),04/25/2015,0,Local SuperMarket,0,2.97,0,0,2.97
05/05/2015,01620515 (1873432),05/04/2015,0,Hardie's,0,301.71,0,0,301.71
05/05/2015,01621218 (1873437),05/04/2015,0,Hardie's,0,10.05,0,0,10.05
05/05/2015,042915 (1873441),04/29/2015,0,Local SuperMarket,0,3.84,0,0,3.84
05/05/2015,050515 (1873502),05/05/2015,0,Local SuperMarket,0,2.98,0,0,2.98
05/12/2015,01629387 (1886641),05/09/2015,0,Hardie's,0,169.78,0,0,169.78
05/12/2015,01625762 (1886651),05/07/2015,0,Hardie's,0,207.81,0,0,207.81
05/12/2015,050615 (1886655),05/06/2015,0,Local SuperMarket,0,3.84,0,0,3.84
05/12/2015,051115 (1886662),05/11/2015,0,Local SuperMarket,0,2.97,0,0,2.97
05/19/2015,051915 (1898257),05/19/2015,0,Local SuperMarket,0,3.84,0,0,3.84
05/19/2015,051915 (1898264),05/18/2015,0,Local SuperMarket,0,4.47,0,0,4.47
05/19/2015,01640588 (1898269),05/18/2015,0,Hardie's,0,191.31,0,0,191.31
05/19/2015,01632729 (1898282),05/13/2015,0,Hardie's,0,192.81,0,0,192.81
05/19/2015,01639399 (1898292),05/16/2015,0,Hardie's,0,231.56,0,0,231.56
05/26/2015,01648537 (1905445),05/23/2015,0,Hardie's,0,197.39,0,0,197.39
05/26/2015,01645891 (1905447),05/21/2015,0,Hardie's,0,181.26,0,0,181.26
06/02/2015,052815 (1919721),05/28/2015,0,Local SuperMarket,0,3.84,0,0,3.84
06/02/2015,053115 (1919728),05/31/2015,0,Local SuperMarket,0,3.84,0,0,3.84
06/02/2015,01658469 (1919755),05/30/2015,0,Hardie's,0,187.26,0,0,187.26
06/02/2015,01653296 (1919760),05/27/2015,0,Hardie's,0,139.78,0,0,139.78
06/02/2015,01661747 (1919768),06/02/2015,0,Hardie's,0,148.24,0,0,148.24
06/09/2015,060615 (1932173),06/06/2015,0,Local SuperMarket,0,6.72,0,0,6.72
06/09/2015,060515 (1932180),06/05/2015,0,Local SuperMarket,0,3.84,0,0,3.84
06/09/2015,01669670 (1932201),06/08/2015,0,Hardie's,0,235.76,0,0,235.76
06/09/2015,01664926 (1932224),06/04/2015,0,Hardie's,0,191.13,0,0,191.13
06/16/2015,01674708 (1937787),06/11/2015,0,Hardie's,0,185.91,0,0,185.91
06/16/2015,01677988 (1939816),06/13/2015,0,Hardie's,0,184.49,0,0,184.49
06/16/2015,061115 (1945006),06/11/2015,0,Local SuperMarket,0,4.47,0,0,4.47
06/16/2015,061415 (1945011),06/14/2015,0,Local SuperMarket,0,5.81,0,0,5.81
06/16/2015,01679485 (1945020),06/15/2015,0,Hardie's,0,126.53,0,0,126.53
06/23/2015,01684338 (1951519),06/18/2015,0,Hardie's,0,169.11,0,0,169.11
06/23/2015,061715 (1951556),06/17/2015,0,Local SuperMarket,0,4.47,0,0,4.47
06/23/2015,01687980 (1952316),06/20/2015,0,Hardie's,0,183.83,0,0,183.83
06/23/2015,01690760 (1957483),06/23/2015,0,Hardie's,0,201.19,0,0,201.19
06/23/2015,062015 (1957558),06/20/2015,0,Local SuperMarket,0,4.47,0,0,4.47
06/30/2015,062415 (1969329),06/24/2015,0,Local SuperMarket,0,4.47,0,0,4.47
06/30/2015,01698174 (1969345),06/29/2015,0,Hardie's,0,170.64,0,0,170.64
06/30/2015,01693957 (1970648),06/25/2015,0,Hardie's,0,159.57,0,0,159.57
07/07/2015,01702091 (1977704),07/01/2015,0,Hardie's,0,182.1,0,0,182.1
07/07/2015,01704870 (1977706),07/03/2015,0,Hardie's,0,203.48,0,0,203.48
07/07/2015,070415 (1977707),07/04/2015,0,Local SuperMarket,0,4.47,0,0,4.47
07/07/2015,070115 (1977709),07/01/2015,0,Local SuperMarket,0,4.47,0,0,4.47
07/07/2015,070215 (1977714),07/02/2015,0,Local SuperMarket,0,2.68,0,0,2.68
07/07/2015,01709110 (1985168),07/07/2015,0,Hardie's,0,305.1,0,0,305.1
07/14/2015,01715638 (1990173),07/12/2015,0,Hardie's,0,171.06,0,0,171.06
07/14/2015,01718298 (1995276),07/14/2015,0,Hardie's,0,209.48,0,0,209.48
07/21/2015,01723140 (2000582),07/17/2015,0,Hardie's,0,245.95,0,0,245.95
07/21/2015,Transfer IN - 146451,07/21/2015,07/21/2015,"1393 - E Beltline Rd, Richardson, TX  ",0,58.1192,0,0,58.1192
07/28/2015,01729606 (2011519),07/22/2015,0,Hardie's,0,214.48,0,0,214.48
07/28/2015,01733491 (2013888),07/24/2015,0,Hardie's,0,187.41,0,0,187.41
07/28/2015,01737860 (2021643),07/28/2015,0,Hardie's,0,244.35,0,0,244.35
07/28/2015,072215 (2021716),07/22/2015,0,Local SuperMarket,0,2.97,0,0,2.97
07/28/2015,072815 (2021720),07/28/2015,0,Local SuperMarket,0,1.49,0,0,1.49
07/28/2015,072815 (2021726),07/28/2015,0,Local SuperMarket,0,2.97,0,0,2.97
08/04/2015,01743043 (2029345),08/03/2015,0,Hardie's,0,236.63,0,0,236.63
08/04/2015,01746278 (2029349),08/03/2015,0,Hardie's,0,136.52,0,0,136.52
08/11/2015,01751329 (2041169),08/06/2015,0,Hardie's,0,317.66,0,0,317.66
08/11/2015,081115 (2043522),08/11/2015,0,Local SuperMarket,0,4.47,0,0,4.47
08/11/2015,01758166 (2043636),08/11/2015,0,Hardie's,0,232.89,0,0,232.89
08/11/2015,080615 (2044269),08/06/2015,0,Local SuperMarket,0,4.47,0,0,4.47
