week_ending_date,Manager Freebies,Employee Freebies,Promo,Waste,Total Freebies
01/06/2015,109.99,79.51,11.21,0.0,200.71
01/13/2015,86.71,53.14,61.0,0.0,200.85
01/20/2015,108.29,81.21,15.25,0.0,204.75
01/27/2015,103.44,79.61,47.45,14.25,244.75
02/03/2015,115.28,120.21,28.98,5.75,270.22
02/10/2015,106.64,100.29,121.6,16.25,344.78
02/17/2015,105.29,143.54,108.22,14.3,371.34999999999997
02/24/2015,112.48,117.87,63.85,11.5,305.70000000000005
03/03/2015,124.27,79.71,5.75,4.75,214.48
03/10/2015,97.6,62.03,0.0,4.75,164.38
03/17/2015,112.48,68.72,13.34,27.1,221.64
03/24/2015,115.38,72.58,15.25,10.4,213.60999999999999
03/31/2015,110.78,54.44,140.72,0.0,305.94
04/07/2015,95.0,68.58,2.7,10.5,176.77999999999997
04/14/2015,122.97,70.47,21.64,0.0,215.07999999999998
04/21/2015,111.48,71.52,11.5,4.75,199.25
04/28/2015,114.68,70.12,6.34,0.0,191.14000000000001
05/05/2015,126.17,70.52,4.75,0.0,201.44
05/12/2015,83.51,52.14,418.0,0.0,553.65
05/19/2015,108.69,64.12,1404.12,0.0,1576.9299999999998
05/26/2015,89.88,54.22,0.0,39.8,183.89999999999998
06/02/2015,139.38,44.15,249.5,15.87,448.9
06/09/2015,103.77,27.21,12.26,15.97,159.20999999999998
06/16/2015,92.95,77.61,0.0,0.0,170.56
06/23/2015,129.56,74.11,158.28,9.98,371.93000000000006
06/30/2015,125.31,73.27,36.23,5.99,240.79999999999998
07/07/2015,137.63,74.86,144.72,0.0,357.21000000000004
07/14/2015,137.98,109.14,89.01,0.0,336.13
07/21/2015,83.33,79.16,239.1,10.98,412.57000000000005
07/28/2015,106.32,55.22,10.98,10.88,183.39999999999998
08/04/2015,150.55,52.64,144.9,0.0,348.09000000000003
08/11/2015,122.84,111.1,143.41,3.99,381.34000000000003
08/18/2015,144.78,85.73,23.45,17.97,271.92999999999995
08/25/2015,139.85,75.67,123.88,11.88,351.28
09/01/2015,128.36,70.6,228.66,0.0,427.62
09/08/2015,106.61,70.63,42.21,5.99,225.44000000000003
09/15/2015,113.06,73.05,298.45,12.83,497.39
09/22/2015,115.9,118.43,168.67,5.99,408.99
09/29/2015,87.43,89.81,402.23,9.98,589.45
10/06/2015,134.35,97.17,25.04,0.0,256.56
10/13/2015,118.5,169.71,29.14,0.0,317.35
10/20/2015,123.4,164.76,19.05,0.0,307.21
10/27/2015,126.94,134.36,66.9,0.0,328.20000000000005
11/03/2015,110.45,128.38,18.81,0.0,257.64
11/10/2015,126.89,140.05,332.23,5.99,605.1600000000001
11/17/2015,99.41,140.63,1440.58,0.0,1680.62
11/24/2015,116.16,127.39,1738.72,4.99,1987.26
12/01/2015,85.55,122.9,28.22,11.78,248.45
12/08/2015,137.25,145.68,30.95,0.0,313.88
12/15/2015,117.8,195.16,81.85,0.0,394.80999999999995
12/22/2015,109.71,118.31,187.98,18.72,434.72
12/29/2015,99.26,108.64,169.43,4.99,382.32000000000005
