week_ending_date,Shift - 1 Wed AM,Shift - 2 Wed PM,Shift - 3 Thu AM,Shift - 4 Thu PM,Shift - 5 Fri AM,Shift - 6 Fri PM,Shift - 7 Sat AM,Shift - 8 Sat PM,Shift - 9 Sun AM,Shift - 10 Sun PM,Shift - 11 Mon AM,Shift - 12 Mon PM,Shift - 13 Tue AM,Shift - 14 Tue PM,Royalty Sales
01/06/2015,1158.21,436.81,517.39,488.27,881.33,610.95,1344.05,860.28,864.36,539.45,938.88,738.76,1198.42,736.68,11313.84
01/13/2015,775.96,651.37,1080.71,586.37,998.93,516.83,1312.99,369.5,642.23,396.9,985.06,582.46,1151.22,716.58,10767.109999999997
01/20/2015,973.19,600.88,1181.67,647.25,1314.94,715.7,1334.17,785.13,1077.16,612.06,1372.61,560.59,1193.26,567.84,12936.45
01/27/2015,916.81,600.43,1192.11,673.17,1055.76,660.85,1422.26,738.64,928.79,611.34,867.46,681.81,946.99,523.21,11819.629999999997
02/03/2015,1010.69,656.99,927.47,931.08,1430.12,969.7,1406.19,750.51,784.32,577.07,759.56,676.2,918.56,613.99,12412.449999999999
02/10/2015,964.74,789.16,877.02,782.07,1772.66,887.33,1443.95,753.89,1162.18,671.82,1075.18,717.5,1220.57,485.88,13603.949999999999
02/17/2015,1684.58,781.05,1298.69,627.12,1091.57,1032.24,1543.95,484.07,856.64,573.54,835.99,631.09,786.71,919.96,13147.2
02/24/2015,1226.67,1012.44,899.78,747.62,1466.7,773.09,1815.94,556.32,1031.61,596.8,713.18,475.24,1151.06,529.31,12995.759999999998
03/03/2015,1059.49,634.97,964.04,778.04,991.05,481.72,937.12,596.1,1085.03,714.67,757.42,944.71,1308.69,1507.83,12760.880000000001
03/10/2015,1096.82,575.55,880.37,748.7,1540.87,780.72,1587.77,586.01,854.35,867.89,787.67,679.11,911.47,586.16,12483.46
03/17/2015,1311.48,470.67,1165.15,718.39,1274.61,708.16,1052.03,574.03,755.99,816.5,1365.32,859.28,1042.98,785.54,12900.129999999997
03/24/2015,1059.61,653.42,1159.28,630.55,1577.11,838.59,1082.61,628.1,1393.49,577.56,1378.72,886.74,1699.57,996.7,14562.05
03/31/2015,1273.61,959.17,1291.42,1131.82,1202.79,912.55,1712.59,572.75,1236.79,706.56,1336.85,722.17,1331.21,842.66,15232.939999999999
04/07/2015,1069.1,1084.5,1492.27,889.51,1606.54,903.07,1230.78,714.61,592.51,484.08,1073.13,600.1,1203.11,815.52,13758.830000000004
04/14/2015,1181.09,834.56,1142.51,945.45,1033.15,818.77,1646.06,712.6,1050.57,558.44,1378.89,635.38,1228.75,690.6,13856.82
04/21/2015,1211.55,930.39,1013.77,874.03,1387.82,644.23,1440.48,717.17,1079.5,715.71,1224.63,701.12,1127.34,666.77,13734.51
04/28/2015,1298.4,739.0,1235.63,722.98,1304.25,899.77,1796.11,687.77,1170.24,674.57,1113.02,766.64,1146.22,720.18,14274.779999999999
05/05/2015,1041.81,836.2,1322.94,808.03,1712.13,754.86,1925.16,499.54,1211.82,550.44,1377.17,771.15,1496.77,743.96,15051.98
05/12/2015,509.33,951.54,1405.92,766.42,1511.97,799.95,1553.71,860.06,470.18,508.21,982.8,780.71,1081.66,582.97,12765.429999999998
05/19/2015,982.83,672.9,1319.32,854.34,1759.79,806.4,1379.37,781.22,1196.6,758.2,1417.01,682.51,1558.92,830.26,14999.670000000002
05/26/2015,1244.23,684.82,1515.99,910.92,1752.4,723.02,1352.19,819.52,990.35,638.71,870.65,610.74,1414.4,872.04,14399.98
06/02/2015,1411.2,808.2,1377.43,1041.9,1243.22,980.05,1554.27,747.22,1520.42,678.22,1555.91,850.77,1444.07,647.09,15859.97
06/09/2015,1561.23,971.32,2672.76,1059.73,1719.53,876.96,1757.5,753.39,1532.97,718.29,1396.33,728.95,1314.34,788.42,17851.719999999998
06/16/2015,1655.04,779.36,1343.56,719.84,1454.76,1017.18,1327.2,643.0,964.92,584.63,1510.64,548.67,1363.89,700.98,14613.669999999998
06/23/2015,1485.5,717.1,1432.52,801.47,1431.92,825.51,1377.74,829.48,705.12,505.25,1180.56,761.14,1563.1,642.42,14258.83
06/30/2015,1439.14,920.97,1202.47,772.04,1596.42,763.41,1419.31,573.73,1445.95,634.12,1651.44,629.8,1545.12,608.69,15202.610000000002
07/07/2015,1459.53,794.59,1434.81,705.78,1644.66,787.12,756.86,751.14,1024.67,712.06,1548.31,755.27,1179.24,745.51,14299.55
07/14/2015,1294.0,707.35,1220.7,953.36,1316.19,892.24,1503.05,742.57,1164.87,712.38,1207.85,841.26,1305.77,610.78,14472.370000000003
07/21/2015,1231.21,783.44,1638.5,767.12,1332.17,698.21,1350.3,762.08,1235.12,570.2,1532.04,723.52,1393.77,684.89,14702.570000000003
07/28/2015,1381.84,781.2,1420.7,913.66,1346.62,634.69,1390.7,532.59,961.12,668.1,1447.59,532.85,1579.61,739.89,14331.16
08/04/2015,1269.65,911.94,1677.72,744.57,1802.14,1125.12,1437.72,695.68,1028.65,968.42,1523.51,629.21,1529.02,700.01,16043.360000000002
08/11/2015,1837.65,679.42,1567.25,934.92,2406.98,1294.26,1235.79,744.79,1091.98,637.17,1093.26,698.46,1336.56,803.73,16362.22
08/18/2015,1351.6,694.75,1554.06,914.64,1595.69,972.87,1498.73,447.37,1144.21,665.15,1143.3,522.53,1013.81,806.6,14325.310000000001
08/25/2015,1302.69,832.23,1276.91,819.59,1856.92,763.41,1375.29,703.48,986.13,845.46,920.84,724.24,1072.51,688.86,14168.560000000001
09/01/2015,1138.02,464.03,1190.78,749.5,1901.66,724.76,1707.84,615.31,887.96,848.77,1053.28,669.19,1109.48,892.4,13952.980000000001
09/08/2015,1163.87,732.3,1288.5,787.78,1642.65,596.28,1193.65,533.28,901.72,628.06,1025.8,389.45,1292.15,540.26,12715.75
09/15/2015,1014.85,812.11,1314.98,855.88,1971.75,853.61,1445.0,769.68,1162.07,764.59,1272.91,761.29,1220.95,984.1,15203.770000000002
09/22/2015,1290.48,729.3,1223.11,939.79,1263.8,841.29,1481.64,691.47,1121.95,562.26,1419.59,877.43,1082.58,795.93,14320.620000000003
09/29/2015,997.76,835.62,1339.58,856.73,1242.21,588.4,1290.05,721.91,1031.43,593.32,1093.43,622.21,1578.86,885.06,13676.569999999998
10/06/2015,1448.87,599.81,1529.4,906.98,1210.08,858.92,1191.37,876.88,855.32,767.43,1101.94,698.04,1099.84,693.86,13838.740000000002
10/13/2015,1235.55,762.41,1341.01,652.01,1563.14,758.04,1274.45,748.39,1272.49,757.74,1245.49,573.47,1371.27,803.13,14358.589999999998
10/20/2015,1418.93,852.12,1184.41,941.38,1391.99,729.97,1385.03,536.25,909.9,751.54,1211.38,700.01,1206.43,608.28,13827.620000000003
10/27/2015,1194.2,826.47,1195.16,855.33,1590.63,751.26,1434.42,709.1,1024.72,494.53,1035.91,751.92,1459.07,868.16,14190.88
11/03/2015,1128.26,637.86,1449.42,921.57,1276.4,817.37,1495.61,796.41,814.93,474.88,1006.85,584.72,1249.78,834.44,13488.5
11/10/2015,1222.07,972.26,1201.21,820.22,1258.73,782.03,1117.94,411.97,858.67,710.3,1211.94,794.45,1075.39,713.84,13151.019999999999
11/17/2015,1452.01,848.94,1378.04,841.44,1627.46,628.83,1207.87,606.21,1236.82,732.56,1214.12,549.07,1274.9,971.94,14570.21
11/24/2015,1092.78,857.68,1596.36,729.01,1441.11,861.92,1483.52,746.02,1002.64,667.47,1558.93,672.25,1373.59,731.48,14814.759999999998
