week_ending_date,Bread 4311,Food 4312,Sides 4313,Paper 4314,Produce 4315,Beverage 4316,Catering 4320,Sub Total COGS,Discounted Total COGS,Cash Over Under,Operating Supplies 5220
01/06/2015,0.04052717648540326,0.15487987806731485,0.032889083811351735,0.012687669079555873,0.02814403515552063,0.017370839503063517,-7.816197767185476e-08,0.28649860394023235,0.28680256718673347,3.26,0
01/13/2015,0.04394520038366296,0.1435502955882407,0.03154669601274987,0.013199701676519609,0.034661313498590446,0.009146131094570017,0.0007472948479024366,0.27679663310223585,0.2771157444046111,3.27,0
01/20/2015,0.0360446382369951,0.15031605941618723,0.0318548306090768,0.01407531275682586,0.038996271268986096,0.018354023985632965,0.0011408090585334665,0.29078194533223756,0.2910482832618026,-0.3,0
01/27/2015,0.03681255066567864,0.1328041391269173,0.035635880169556995,0.015015864884892554,0.03555775763031337,0.014643711487867597,0.0,0.2704699039652265,0.2707600141905344,5.3,0
02/03/2015,0.036044429130459125,0.1573314688468596,0.03178966258682123,0.013512596322383217,0.027423334360982342,0.013451560278711024,0.0002798148970208954,0.27983286642323746,0.2801088335500333,34.3,0
02/10/2015,0.0364849273016253,0.14191010221002204,0.03273675811346267,0.013508219027825478,0.02663721356711328,0.016099630575686818,0.0010964367365344377,0.26847328753226996,0.27227291660244335,-0.49,0
02/17/2015,0.03751532523828369,0.14301655133131877,0.03782361273953196,0.013793787055564386,0.02874632264555,0.013544425992432618,0.002278054968913085,0.2767180799715944,0.2768290386173072,2.71,0
02/24/2015,0.035874362663948174,0.14065881489701132,0.03622361755777186,0.013456530335767651,0.021789051728156157,0.01600862612074163,0.0010288419466735236,0.26503984525007035,0.265152614825741,11.66,0
03/03/2015,0.03859006609450528,0.14770893447272368,0.03455967310348229,0.014171406419552144,0.023164621251356415,0.015434808745190884,0.0007575666494031766,0.274387076736214,0.2745026804651279,2.57,0
03/10/2015,0.03719596389581146,0.1439858347354172,0.038800388050449705,0.012435032384976395,0.026438174423458864,0.012022036964414479,0.001618940467305088,0.2724963709218331,0.27257543580563937,5.14,0
03/17/2015,0.03659923927945695,0.14405048251874555,0.031315081730589694,0.013612576656960154,0.02356262912701564,0.015839821914269185,0.0002818674614781389,0.2652616986885153,0.26533790791943457,5.68,0
