week_ending_date,Day,Date,No. Of Sales,(A) Total Dollar Sales,(B) Net Less Over rings,(C) Less Net Promo,(D) Net Less Employee Freebies,(E) Royalty Sales
01/06/2015,Wednesday,2014-12-31,162,1623.49,0,0.0,28.47,1595.02
01/06/2015,Thursday,2015-01-01,116,1035.03,0,0.0,29.37,1005.66
01/06/2015,Friday,2015-01-02,175,1519.35,0,0.0,27.07,1492.28
01/06/2015,Saturday,2015-01-03,163,2232.5,0,0.0,28.17,2204.33
01/06/2015,Sunday,2015-01-04,138,1430.38,0,0.0,26.57,1403.81
01/06/2015,Monday,2015-01-05,208,1701.78,0,3.56,20.58,1677.64
01/06/2015,Tuesday,2015-01-06,209,1972.02,0,7.65,29.27,1935.1
01/13/2015,Wednesday,2015-01-07,158,1455.9,0,0.0,28.57,1427.33
01/13/2015,Thursday,2015-01-08,183,1667.08,0,0.0,0.0,1667.08
01/13/2015,Friday,2015-01-09,169,1534.34,0,0.0,18.58,1515.76
01/13/2015,Saturday,2015-01-10,149,1762.77,0,61.0,19.28,1682.49
01/13/2015,Sunday,2015-01-11,117,1064.6,0,0.0,25.47,1039.13
01/13/2015,Monday,2015-01-12,190,1596.79,0,0.0,29.27,1567.52
01/13/2015,Tuesday,2015-01-13,194,1886.48,0,0.0,18.68,1867.8
01/20/2015,Wednesday,2015-01-14,192,1584.76,0,0.0,10.69,1574.07
01/20/2015,Thursday,2015-01-15,191,1837.81,0,0.0,8.89,1828.92
01/20/2015,Friday,2015-01-16,224,2056.11,0,0.0,25.47,2030.64
01/20/2015,Saturday,2015-01-17,195,2167.05,0,0.0,47.75,2119.3
01/20/2015,Sunday,2015-01-18,168,1715.79,0,0.0,26.57,1689.22
01/20/2015,Monday,2015-01-19,209,1974.77,0,9.5,32.07,1933.2
01/20/2015,Tuesday,2015-01-20,188,1804.91,0,5.75,38.06,1761.1
01/27/2015,Wednesday,2015-01-21,182,1555.2,0,0.0,37.96,1517.24
01/27/2015,Thursday,2015-01-22,203,1892.85,0,0.0,27.57,1865.28
01/27/2015,Friday,2015-01-23,193,1737.74,0,4.75,16.38,1716.61
01/27/2015,Saturday,2015-01-24,183,2222.88,0,42.7,19.28,2160.9
01/27/2015,Sunday,2015-01-25,162,1557.91,0,0.0,17.78,1540.13
01/27/2015,Monday,2015-01-26,172,1601.68,0,0.0,52.41,1549.27
01/27/2015,Tuesday,2015-01-27,182,1496.12,0,0.0,25.92,1470.2
02/03/2015,Wednesday,2015-01-28,183,1695.25,0,0.0,27.57,1667.68
02/03/2015,Thursday,2015-01-29,211,1895.71,0,8.69,28.47,1858.55
02/03/2015,Friday,2015-01-30,254,2450.82,0,15.54,35.46,2399.82
02/03/2015,Saturday,2015-01-31,198,2198.51,0,0.0,41.81,2156.7
02/03/2015,Sunday,2015-02-01,134,1400.7,0,4.75,34.56,1361.39
02/03/2015,Monday,2015-02-02,177,1465.03,0,0.0,29.27,1435.76
02/03/2015,Tuesday,2015-02-03,177,1576.65,0,0.0,44.1,1532.55
02/10/2015,Wednesday,2015-02-04,194,1791.26,0,0.0,37.36,1753.9
02/10/2015,Thursday,2015-02-05,188,1726.46,0,30.4,36.97,1659.09
02/10/2015,Friday,2015-02-06,232,2782.41,0,91.2,31.22,2659.99
02/10/2015,Saturday,2015-02-07,213,2226.91,0,0.0,29.07,2197.84
02/10/2015,Sunday,2015-02-08,177,1859.67,0,0.0,25.67,1834.0
02/10/2015,Monday,2015-02-09,210,1827.0,0,0.0,34.32,1792.68
02/10/2015,Tuesday,2015-02-10,191,1735.02,0,0.0,28.57,1706.45
02/17/2015,Wednesday,2015-02-11,219,2500.89,0,7.69,27.57,2465.63
02/17/2015,Thursday,2015-02-12,209,2024.26,0,46.55,51.9,1925.81
02/17/2015,Friday,2015-02-13,225,2159.07,0,0.0,35.26,2123.81
02/17/2015,Saturday,2015-02-14,188,2093.18,0,28.5,36.66,2028.02
02/17/2015,Sunday,2015-02-15,147,1471.39,0,6.65,34.56,1430.18
02/17/2015,Monday,2015-02-16,166,1496.21,0,7.65,21.48,1467.08
02/17/2015,Tuesday,2015-02-17,180,1773.55,0,11.18,55.7,1706.67
02/24/2015,Wednesday,2015-02-18,239,2276.47,0,0.0,37.36,2239.11
02/24/2015,Thursday,2015-02-19,203,1697.16,0,0.0,49.76,1647.4
02/24/2015,Friday,2015-02-20,228,2275.25,0,0.0,35.46,2239.79
02/24/2015,Saturday,2015-02-21,205,2461.63,0,61.0,28.37,2372.26
02/24/2015,Sunday,2015-02-22,149,1645.19,0,0.0,16.78,1628.41
02/24/2015,Monday,2015-02-23,100,1216.59,0,0.0,28.17,1188.42
02/24/2015,Tuesday,2015-02-24,174,1729.17,0,2.85,45.95,1680.37
03/03/2015,Wednesday,2015-02-25,185,1723.03,0,0.0,28.57,1694.46
03/03/2015,Thursday,2015-02-26,197,1760.76,0,0.0,18.68,1742.08
03/03/2015,Friday,2015-02-27,144,1509.03,0,0.0,36.26,1472.77
03/03/2015,Saturday,2015-02-28,153,1558.55,0,0.0,25.33,1533.22
03/03/2015,Sunday,2015-03-01,165,1826.07,0,0.0,26.37,1799.7
03/03/2015,Monday,2015-03-02,198,1730.5,0,0.0,28.37,1702.13
03/03/2015,Tuesday,2015-03-03,265,2867.42,0,5.75,45.15,2816.52
03/10/2015,Wednesday,2015-03-04,185,1691.65,0,0.0,19.28,1672.37
03/10/2015,Thursday,2015-03-05,156,1671.18,0,0.0,42.11,1629.07
03/10/2015,Friday,2015-03-06,217,2349.06,0,0.0,27.47,2321.59
03/10/2015,Saturday,2015-03-07,184,2173.78,0,0.0,0.0,2173.78
03/10/2015,Sunday,2015-03-08,163,1740.32,0,0.0,18.08,1722.24
03/10/2015,Monday,2015-03-09,170,1496.05,0,0.0,29.27,1466.78
03/10/2015,Tuesday,2015-03-10,181,1525.8,0,0.0,28.17,1497.63
03/17/2015,Wednesday,2015-03-11,199,1819.51,0,0.0,37.36,1782.15
03/17/2015,Thursday,2015-03-12,211,1920.7,0,8.59,28.57,1883.54
03/17/2015,Friday,2015-03-13,207,2010.29,0,0.0,27.52,1982.77
03/17/2015,Saturday,2015-03-14,171,1654.13,0,0.0,28.07,1626.06
03/17/2015,Sunday,2015-03-15,164,1615.02,0,0.0,42.53,1572.49
03/17/2015,Monday,2015-03-16,241,2247.13,0,4.75,17.78,2224.6
03/17/2015,Tuesday,2015-03-17,211,1854.99,0,0.0,26.47,1828.52
03/24/2015,Wednesday,2015-03-18,205,1758.84,0,5.75,40.06,1713.03
03/24/2015,Thursday,2015-03-19,209,1832.84,0,0.0,43.01,1789.83
03/24/2015,Friday,2015-03-20,260,2452.02,0,0.0,36.32,2415.7
03/24/2015,Saturday,2015-03-21,177,1731.09,0,0.0,20.38,1710.71
03/24/2015,Sunday,2015-03-22,180,1987.63,0,0.0,16.58,1971.05
03/24/2015,Monday,2015-03-23,239,2287.99,0,0.0,22.53,2265.46
03/24/2015,Tuesday,2015-03-24,233,2725.25,0,9.5,19.48,2696.27
03/31/2015,Wednesday,2015-03-25,252,2270.14,0,0.0,37.36,2232.78
03/31/2015,Thursday,2015-03-26,217,2442.82,0,0.0,19.58,2423.24
03/31/2015,Friday,2015-03-27,226,2191.3,0,49.99,25.97,2115.34
03/31/2015,Saturday,2015-03-28,205,2294.03,0,0.0,8.69,2285.34
03/31/2015,Sunday,2015-03-29,195,1968.42,0,0.0,25.07,1943.35
03/31/2015,Monday,2015-03-30,225,2123.08,0,35.99,28.07,2059.02
03/31/2015,Tuesday,2015-03-31,213,2249.09,0,54.74,20.48,2173.87
04/07/2015,Wednesday,2015-04-01,216,2190.96,0,0.0,37.36,2153.6
04/07/2015,Thursday,2015-04-02,275,2417.8,0,2.7,33.32,2381.78
04/07/2015,Friday,2015-04-03,248,2550.82,0,0.0,41.21,2509.61
04/07/2015,Saturday,2015-04-04,181,1955.98,0,0.0,10.59,1945.39
04/07/2015,Sunday,2015-04-05,103,1091.03,0,0.0,14.44,1076.59
04/07/2015,Monday,2015-04-06,190,1682.12,0,0.0,8.89,1673.23
04/07/2015,Tuesday,2015-04-07,222,2046.9,0,0.0,28.27,2018.63
04/14/2015,Wednesday,2015-04-08,227,2053.91,0,0.0,38.26,2015.65
04/14/2015,Thursday,2015-04-09,230,2114.79,0,6.65,20.18,2087.96
04/14/2015,Friday,2015-04-10,224,1901.57,0,7.65,42.0,1851.92
04/14/2015,Saturday,2015-04-11,214,2369.35,0,0.0,10.69,2358.66
04/14/2015,Sunday,2015-04-12,155,1643.07,0,0.0,34.06,1609.01
04/14/2015,Monday,2015-04-13,208,2050.18,0,7.34,28.57,2014.27
04/14/2015,Tuesday,2015-04-14,222,1939.03,0,0.0,19.68,1919.35
04/21/2015,Wednesday,2015-04-15,235,2178.8,0,0.0,36.86,2141.94
04/21/2015,Thursday,2015-04-16,199,1907.28,0,0.0,19.48,1887.8
04/21/2015,Friday,2015-04-17,221,2066.91,0,0.0,34.86,2032.05
04/21/2015,Saturday,2015-04-18,224,2195.11,0,0.0,37.46,2157.65
04/21/2015,Sunday,2015-04-19,166,1802.9,0,0.0,7.69,1795.21
04/21/2015,Monday,2015-04-20,217,1958.57,0,0.0,32.82,1925.75
04/21/2015,Tuesday,2015-04-21,207,1824.19,0,11.5,18.58,1794.11
04/28/2015,Wednesday,2015-04-22,227,2066.67,0,0.0,29.27,2037.4
04/28/2015,Thursday,2015-04-23,213,1984.43,0,6.34,19.48,1958.61
04/28/2015,Friday,2015-04-24,230,2229.29,0,0.0,25.27,2204.02
04/28/2015,Saturday,2015-04-25,220,2510.45,0,0.0,26.57,2483.88
04/28/2015,Sunday,2015-04-26,188,1871.68,0,0.0,26.87,1844.81
04/28/2015,Monday,2015-04-27,197,1907.53,0,0.0,27.87,1879.66
04/28/2015,Tuesday,2015-04-28,217,1895.87,0,0.0,29.47,1866.4
05/05/2015,Wednesday,2015-04-29,205,1910.33,0,4.75,27.57,1878.01
05/05/2015,Thursday,2015-04-30,230,2148.75,0,0.0,17.78,2130.97
05/05/2015,Friday,2015-05-01,250,2503.45,0,0.0,36.46,2466.99
05/05/2015,Saturday,2015-05-02,200,2454.87,0,0.0,30.17,2424.7
05/05/2015,Sunday,2015-05-03,186,1790.13,0,0.0,27.87,1762.26
05/05/2015,Monday,2015-05-04,230,2176.69,0,0.0,28.37,2148.32
