week_ending_date,payment_type,prcnt_of_royalty_sales,fee_or_payment,amount
12/01/2015,Media,3,Payment,324.3549
12/08/2015,Royalty,6,Payment,979.7664
12/08/2015,Advertising,1.5,Payment,244.9416
12/08/2015,Media,3,Payment,489.8832
12/15/2015,Royalty,6,Payment,923.838
12/15/2015,Advertising,1.5,Payment,230.9595
12/15/2015,Media,3,Payment,461.919
12/22/2015,Royalty,6,Payment,1015.7292
12/22/2015,Advertising,1.5,Payment,253.9323
12/22/2015,Media,3,Payment,507.8646
12/29/2015,Royalty,6,Payment,666.6108
12/29/2015,Advertising,1.5,Payment,166.6527
12/29/2015,Media,3,Payment,333.3054
