week_ending_date,payment_type,prcnt_of_royalty_sales,fee_or_payment,amount
01/06/2015,Royalty,6,Payment,678.8304
01/06/2015,Advertising,1.5,Payment,169.7076
01/06/2015,Media,3,Payment,339.4152
01/13/2015,Royalty,6,Payment,646.0266
01/13/2015,Advertising,1.5,Payment,161.50665
01/13/2015,Media,3,Payment,323.0133
01/20/2015,Royalty,6,Payment,776.187
01/20/2015,Advertising,1.5,Payment,194.04675
01/20/2015,Media,3,Payment,388.0935
01/27/2015,Royalty,6,Payment,709.1778
01/27/2015,Advertising,1.5,Payment,177.29445
01/27/2015,Media,3,Payment,354.5889
02/03/2015,Royalty,6,Payment,744.747
02/03/2015,Advertising,1.5,Payment,186.18675
02/03/2015,Media,3,Payment,372.3735
02/10/2015,Royalty,6,Payment,816.237
02/10/2015,Advertising,1.5,Payment,204.05925
02/10/2015,Media,3,Payment,408.1185
02/17/2015,Royalty,6,Payment,788.832
02/17/2015,Advertising,1.5,Payment,197.208
02/17/2015,Media,3,Payment,394.416
02/24/2015,Royalty,6,Payment,779.7456
02/24/2015,Advertising,1.5,Payment,194.9364
02/24/2015,Media,3,Payment,389.8728
03/03/2015,Royalty,6,Payment,765.6528
03/03/2015,Advertising,1.5,Payment,191.4132
03/03/2015,Media,3,Payment,382.8264
03/10/2015,Royalty,6,Payment,749.0076
03/10/2015,Advertising,1.5,Payment,187.2519
03/10/2015,Media,3,Payment,374.5038
03/17/2015,Royalty,6,Payment,774.0078
03/17/2015,Advertising,1.5,Payment,193.50195
03/17/2015,Media,3,Payment,387.0039
03/24/2015,Royalty,6,Payment,873.723
03/24/2015,Advertising,1.5,Payment,218.43075
03/24/2015,Media,3,Payment,436.8615
03/31/2015,Royalty,6,Payment,913.9764
03/31/2015,Advertising,1.5,Payment,228.4941
03/31/2015,Media,3,Payment,456.9882
04/07/2015,Royalty,6,Payment,825.5298
04/07/2015,Advertising,1.5,Payment,206.38245
04/07/2015,Media,3,Payment,412.7649
04/14/2015,Royalty,6,Payment,831.4092
04/14/2015,Advertising,1.5,Payment,207.8523
04/14/2015,Media,3,Payment,415.7046
04/21/2015,Royalty,6,Payment,824.0706
04/21/2015,Advertising,1.5,Payment,206.01765
04/21/2015,Media,3,Payment,412.0353
04/28/2015,Royalty,6,Payment,856.4868
04/28/2015,Advertising,1.5,Payment,214.1217
04/28/2015,Media,3,Payment,428.2434
05/05/2015,Royalty,6,Payment,903.1188
05/05/2015,Advertising,1.5,Payment,225.7797
05/05/2015,Media,3,Payment,451.5594
05/12/2015,Royalty,6,Payment,765.9258
05/12/2015,Advertising,1.5,Payment,191.48145
05/12/2015,Media,3,Payment,382.9629
05/19/2015,Royalty,6,Payment,899.9802
05/19/2015,Advertising,1.5,Payment,224.99505
05/19/2015,Media,3,Payment,449.9901
05/26/2015,Royalty,6,Payment,863.9988
05/26/2015,Advertising,1.5,Payment,215.9997
05/26/2015,Media,3,Payment,431.9994
06/02/2015,Royalty,6,Payment,951.5982
06/02/2015,Advertising,1.5,Payment,237.89955
06/02/2015,Media,3,Payment,475.7991
06/09/2015,Royalty,6,Payment,1071.1032
06/09/2015,Advertising,1.5,Payment,267.7758
06/09/2015,Media,3,Payment,535.5516
06/16/2015,Royalty,6,Payment,876.8202
06/16/2015,Advertising,1.5,Payment,219.20505
06/16/2015,Media,3,Payment,438.4101
06/23/2015,Royalty,6,Payment,855.5298
06/23/2015,Advertising,1.5,Payment,213.88245
06/23/2015,Media,3,Payment,427.7649
06/30/2015,Royalty,6,Payment,912.1566
06/30/2015,Advertising,1.5,Payment,228.03915
06/30/2015,Media,3,Payment,456.0783
07/07/2015,Royalty,6,Payment,857.973
07/07/2015,Advertising,1.5,Payment,214.49325
07/07/2015,Media,3,Payment,428.9865
07/14/2015,Royalty,6,Payment,868.3422
07/14/2015,Advertising,1.5,Payment,217.08555
07/14/2015,Media,3,Payment,434.1711
07/21/2015,Royalty,6,Payment,882.1542
07/21/2015,Advertising,1.5,Payment,220.53855
07/21/2015,Media,3,Payment,441.0771
07/28/2015,Royalty,6,Payment,859.8696
07/28/2015,Advertising,1.5,Payment,214.9674
07/28/2015,Media,3,Payment,429.9348
08/04/2015,Royalty,6,Payment,962.6016
08/04/2015,Advertising,1.5,Payment,240.6504
08/04/2015,Media,3,Payment,481.3008
08/11/2015,Royalty,6,Payment,981.7332
08/11/2015,Advertising,1.5,Payment,245.4333
08/11/2015,Media,3,Payment,490.8666
08/18/2015,Royalty,6,Payment,859.5186
08/18/2015,Advertising,1.5,Payment,214.87965
08/18/2015,Media,3,Payment,429.7593
08/25/2015,Royalty,6,Payment,850.1136
08/25/2015,Advertising,1.5,Payment,212.5284
08/25/2015,Media,3,Payment,425.0568
09/01/2015,Royalty,6,Payment,837.1788
09/01/2015,Advertising,1.5,Payment,209.2947
09/01/2015,Media,3,Payment,418.5894
09/08/2015,Royalty,6,Payment,762.945
09/08/2015,Advertising,1.5,Payment,190.73625
09/08/2015,Media,3,Payment,381.4725
09/15/2015,Royalty,6,Payment,912.2262
09/15/2015,Advertising,1.5,Payment,228.05655
09/15/2015,Media,3,Payment,456.1131
09/22/2015,Royalty,6,Payment,859.2372
09/22/2015,Advertising,1.5,Payment,214.8093
09/22/2015,Media,3,Payment,429.6186
09/29/2015,Royalty,6,Payment,820.5942
09/29/2015,Advertising,1.5,Payment,205.14855
09/29/2015,Media,3,Payment,410.2971
10/06/2015,Royalty,6,Payment,830.3244
10/06/2015,Advertising,1.5,Payment,207.5811
10/06/2015,Media,3,Payment,415.1622
10/13/2015,Royalty,6,Payment,861.5154
10/13/2015,Advertising,1.5,Payment,215.37885
10/13/2015,Media,3,Payment,430.7577
10/20/2015,Royalty,6,Payment,829.6572
10/20/2015,Advertising,1.5,Payment,207.4143
10/20/2015,Media,3,Payment,414.8286
10/27/2015,Royalty,6,Payment,851.4528
10/27/2015,Advertising,1.5,Payment,212.8632
10/27/2015,Media,3,Payment,425.7264
11/03/2015,Royalty,6,Payment,809.31
11/03/2015,Advertising,1.5,Payment,202.3275
11/03/2015,Media,3,Payment,404.655
11/10/2015,Royalty,6,Payment,789.0612
11/10/2015,Advertising,1.5,Payment,197.2653
11/10/2015,Media,3,Payment,394.5306
11/17/2015,Royalty,6,Payment,874.2126
11/17/2015,Advertising,1.5,Payment,218.55315
11/17/2015,Media,3,Payment,437.1063
11/24/2015,Royalty,6,Payment,888.8856
11/24/2015,Advertising,1.5,Payment,222.2214
11/24/2015,Media,3,Payment,444.4428
12/01/2015,Royalty,6,Payment,648.7098
12/01/2015,Advertising,1.5,Payment,162.17745
