week_ending_date,Invoice #,Invoice Date,Due Date,Vendor Name,Description,Bread 4311,Food 4312,Sides 4313,Paper 4314,Produce 4315,Beverage 4316,Catering 4320,Operating Supplies 5220,Office Supplies 5230,Smallwares-KEC 5220,Uniforms-KC 5221,Aprons-Floor Mats 5285,Trash Service 5286,Pest Control 5241,Fuel Surcharge,Misc Monthly Audit Item,Discounts,Delivery Charges,Tax,Invoice Totals
01/07/2020,396159336 (5169943),01/02/2020,0,Sysco Food Services,0,452.49,1977.87,342.83,37.77,0,89.3,0.0,80.31,0,0,0,0,0,0,1.5,0,0,0,6.62,2988.69
01/07/2020,Transfer IN - 466244,01/07/2020,01/07/2020,"1393 - E Beltline Rd, Richardson, TX  ",0,0.0,0.0,0.0,5.49,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,5.49
01/14/2020,396175058 (5184173),01/09/2020,0,Sysco Food Services,0,480.63,2054.05,515.75,275.4,0,326.43,0.0,15.56,0,0,0,0,0,0,1.5,0,0,0,1.28,3670.6
01/21/2020,396191506 (5196476),01/16/2020,0,Sysco Food Services,0,415.29,1656.54,391.0,187.37,0,57.35,0.0,0.0,0,0,0,0,0,0,1.5,0,0,0,2.7176,2711.7676
01/28/2020,396207164 (5210165),01/23/2020,0,Sysco Food Services,0,434.33,1333.01,375.32,165.45,0,274.03,0.0,51.83,0,0,0,0,0,0,0.0,0,0,0,9.65,2643.62
02/04/2020,396224175 (5223036),01/30/2020,0,Sysco Food Services,0,410.28,1587.98,391.0,162.91,0,198.13,0.0,124.7,0,0,0,0,0,0,1.5,0,0,0,10.28,2886.78
02/11/2020,396244790 (5235782),02/06/2020,0,Sysco Food Services,0,452.49,1508.92,452.01,264.91,0,128.3,0.0,15.56,0,0,0,0,0,0,1.5,0,0,0,5.37,2829.06
02/18/2020,396261900 (5247977),02/13/2020,0,Sysco Food Services,0,368.99,1721.31,358.97,128.13,0,214.03,0.0,102.52,0,0,0,0,0,0,1.5,0,0,0,8.73,2904.18
02/25/2020,396278678 (5261285),02/20/2020,0,Sysco Food Services,0,382.14,1902.11,376.89,97.67,0,217.55,35.32,77.0,0,0,0,0,0,0,1.5,0,0,0,0.0,3090.18
03/03/2020,396295858 (5273043),02/27/2020,0,Sysco Food Services,0,476.54,1686.88,463.33,146.04,0,280.84,78.8,125.1,0,0,0,0,0,0,1.5,0,0,0,10.33,3269.36
03/10/2020,396315776 (5285427),03/05/2020,0,Sysco Food Services,0,494.7,1692.05,446.19,49.25,0,288.96,0.0,0.0,0,0,0,0,0,0,1.0,0,0,0,0.0,2972.15
03/17/2020,396331335 (5297513),03/12/2020,0,Sysco Food Services,0,454.08,1745.09,582.88,116.04,0,133.28,35.32,161.37,0,0,0,0,0,0,1.0,0,0,0,18.88,3247.94
03/24/2020,396344763 (5305264),03/19/2020,0,Sysco Food Services,0,210.87,716.1,197.55,126.57,0,328.24,0.0,70.33,0,0,0,0,0,0,1.0,0,0,0,5.81,1656.47
03/31/2020,396355685 (5313278),03/26/2020,0,Sysco Food Services,0,107.04,503.38,25.51,33.06,0,82.6,0.0,54.77,0,0,0,0,0,0,1.0,0,0,0,4.51,811.87
04/07/2020,396367881 (5321238),04/02/2020,0,Sysco Food Services,0,295.59,886.71,241.44,161.22,0,29.55,0.0,0.0,0,0,0,0,0,0,40.0,0,0,0,0.0,1654.51
04/14/2020,396376566 (5329179),04/09/2020,0,Sysco Food Services,0,285.57,937.33,241.44,98.87,0,50.59,0.0,0.0,0,0,0,0,0,0,40.0,0,0,0,4.19,1657.99
04/21/2020,396385583 (5338677),04/16/2020,0,Sysco Food Services,0,313.81,1140.32,377.27,177.2,0,22.91,0.0,118.48,0,0,0,0,0,0,10.0,0,0,0,13.84,2173.83
04/21/2020,Transfer IN - 496529,04/21/2020,04/21/2020,"3644 - Forest Drive, Dallas, TX",0,0.0,87.1603,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,87.1603
04/21/2020,Transfer IN - 497855,04/20/2020,04/20/2020,"1393 - E Beltline Rd, Richardson, TX  ",0,0.0,66.345,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,66.345
04/28/2020,396394681 (5348652),04/23/2020,0,Sysco Food Services,0,469.13,1545.25,471.94,125.54,0,179.99,0.0,15.62,0,0,0,0,0,0,0.0,0,0,0,1.29,2808.76
04/28/2020,Transfer IN - 500589,04/27/2020,04/27/2020,"3644 - Forest Drive, Dallas, TX",0,0.0,133.254,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,133.254
04/28/2020,Transfer IN - 500601,04/27/2020,04/27/2020,"1393 - E Beltline Rd, Richardson, TX  ",0,0.0,199.702,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,199.702
05/05/2020,rest depot (5356965),05/02/2020,0,Sysco Food Services,0,0.0,873.92,22.89,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,896.81
05/05/2020,"396415551,396415345 (5356995)",05/05/2020,0,Sysco Food Services,0,0.0,0.0,497.28,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,497.28
05/05/2020,396408788 (5359625),05/01/2020,0,Sysco Food Services,0,449.09,1539.04,204.98,138.04,0,303.54,0.0,80.86,0,0,0,0,0,0,0.0,0,0,0,14.28,2729.83
05/05/2020,Transfer OUT - 504184,05/02/2020,05/02/2020,"1367 - Preston Rd, Dallas, TX ",0,0.0,-144.0125,-22.8888,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,-166.9013
05/05/2020,Transfer OUT - 504185,05/02/2020,05/02/2020,"1393 - E Beltline Rd, Richardson, TX  ",0,0.0,-145.345,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,-145.345
05/05/2020,Transfer IN - 504194,05/02/2020,05/02/2020,"3644 - Forest Drive, Dallas, TX",0,0.0,0.0,94.6636,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,94.6636
05/05/2020,Transfer OUT - 504199,05/05/2020,05/05/2020,"1393 - E Beltline Rd, Richardson, TX  ",0,0.0,0.0,-157.512,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,-157.512
05/05/2020,Transfer OUT - 504201,05/05/2020,05/05/2020,"1367 - Preston Rd, Dallas, TX ",0,0.0,0.0,-132.792,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,-132.792
05/05/2020,Transfer OUT - 504203,05/05/2020,05/05/2020,"3644 - Forest Drive, Dallas, TX",0,0.0,0.0,-24.72,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,-24.72
05/12/2020,396415814 (5369271),05/07/2020,0,Sysco Food Services,0,0.0,0.0,403.14,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,403.14
05/12/2020,396424060 (5369307),05/12/2020,0,Sysco Food Services,0,0.0,0.0,239.22,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,239.22
05/12/2020,396416745 (5370592),05/07/2020,0,Sysco Food Services,0,398.53,1339.68,290.46,226.82,0,113.85,0.0,161.46,0,0,0,0,0,0,0.0,0,0,0,6.8212,2537.6212
05/12/2020,Transfer OUT - 507129,05/12/2020,05/12/2020,"1367 - Preston Rd, Dallas, TX ",0,0.0,-49.2,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,-49.2
05/12/2020,Transfer OUT - 508188,05/07/2020,05/07/2020,"1393 - E Beltline Rd, Richardson, TX  ",0,0.0,0.0,-134.3712,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,-134.3712
05/12/2020,Transfer OUT - 508192,05/07/2020,05/07/2020,"1367 - Preston Rd, Dallas, TX ",0,0.0,0.0,-108.8616,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,-108.8616
