week_ending_date,Manager Freebies,Employee Freebies,Promo,Waste,Total Freebies
01/07/2020,96.84,106.44,35.98,0.0,239.26
01/14/2020,61.47,64.68,39.34,0.0,165.49
01/21/2020,54.2,69.67,194.5,0.0,318.37
01/28/2020,62.67,71.58,43.46,0.0,177.71
02/04/2020,21.32,59.39,96.49,0.0,177.2
02/11/2020,79.53,110.94,139.16,0.0,329.63
02/18/2020,75.33,161.48,131.27,0.0,368.08000000000004
02/25/2020,76.7,174.42,271.28,12.47,534.87
03/03/2020,89.9,105.93,174.79,0.0,370.62
03/10/2020,107.93,202.74,92.25,0.0,402.92
03/17/2020,49.13,122.6,172.23,0.0,343.96
03/24/2020,78.83,132.49,49.07,0.0,260.39
03/31/2020,68.15,94.21,32.2,0.0,194.56
04/07/2020,68.77,98.89,34.05,0.0,201.70999999999998
04/14/2020,83.59,51.64,19.85,0.0,155.08
04/21/2020,64.34,65.9,222.93,0.0,353.17
04/28/2020,63.96,60.91,172.08,0.0,296.95000000000005
05/05/2020,55.3,52.84,669.39,11.18,788.7099999999999
05/12/2020,53.02,82.23,738.83,16.14,890.22
05/19/2020,38.96,66.48,506.15,0.0,611.5899999999999
05/26/2020,54.69,131.73,304.08,0.0,490.5
06/02/2020,56.29,34.09,285.25,5.59,381.21999999999997
06/09/2020,89.47,87.7,324.63,5.59,507.39
06/16/2020,110.38,104.34,504.65,20.87,740.24
06/23/2020,63.35,103.37,657.07,0.0,823.7900000000001
06/30/2020,69.06,69.84,783.7,0.0,922.6
07/07/2020,132.91,55.58,626.54,21.73,836.76
07/14/2020,95.76,106.45,397.37,0.0,599.58
07/21/2020,82.43,68.36,424.3,0.0,575.09
07/28/2020,96.07,18.94,402.33,12.79,530.1299999999999
08/04/2020,121.27,63.99,562.39,0.0,747.65
08/11/2020,83.01,97.96,579.93,12.28,773.18
08/18/2020,82.82,29.31,749.51,0.0,861.64
08/25/2020,105.5,44.06,729.96,28.66,908.18
09/01/2020,69.33,27.61,767.45,6.69,871.0800000000002
09/08/2020,43.83,65.39,601.39,22.87,733.48
09/15/2020,56.68,19.34,397.82,0.0,473.84
09/22/2020,80.69,59.64,591.06,0.0,731.3899999999999
09/29/2020,71.71,42.86,610.9,28.47,753.94
10/06/2020,51.79,109.7,536.67,33.04,731.1999999999999
10/13/2020,109.51,152.48,644.7,0.0,906.69
10/20/2020,76.29,139.31,873.16,0.0,1088.76
10/27/2020,68.15,111.68,679.49,0.0,859.32
11/03/2020,70.72,104.37,1000.67,0.0,1175.76
11/10/2020,50.82,89.33,807.27,0.0,947.42
11/17/2020,37.85,76.51,420.1,0.0,534.46
11/24/2020,22.42,117.82,486.92,0.0,627.1600000000001
12/01/2020,48.24,61.79,770.67,0.0,880.6999999999999
12/08/2020,79.29,50.34,790.64,0.0,920.27
12/15/2020,33.27,103.58,732.01,16.77,885.63
12/22/2020,78.6,34.19,915.56,0.0,1028.35
12/29/2020,0.0,39.46,450.76,0.0,490.21999999999997
