week_ending_date,Bread 4311,Food 4312,Sides 4313,Paper 4314,Produce 4315,Beverage 4316,Catering 4320,Operating Supplies 5220,Sub Total COGS,Discounted Total COGS,Cash Over Under,Manager,InShop,Driver,Tax,DMR,Penalty Pay,Total,Vacation,Training Pay,Vacation Tax,Training Tax,Total Vacation/Training,Total Labor Cost,Manager Freebies,Employee Freebies,Promo,Waste,Total Freebies
01/07/2020,0.03464081749817255,0.1192435171246708,0.03480211751119004,0.011238789106700004,0.05090792798325752,0.01162741115565243,0.0011774149941421311,0,0.26363799537378546,0.2637631635163236,6.48,1961.2196,953.5255,614.6747,404.1186,295.0,0.0,4228.5384,0.0,0.0,0.0,0.0,0.0,4228.5384,96.84,106.44,35.98,0.0,239.26
01/14/2020,0.03760615751863017,0.17086165475662185,0.041544250789327365,0.01241825764801694,0.006773729552722988,0.026499832528278908,0.0007135995538621357,0,0.29641748234746046,0.2965449988863556,-8.03,2145.8736,1117.0639,662.6772,449.4829,350.55,0.0,4725.6476,0.0,0.0,0.0,0.0,0.0,4725.6476,61.47,64.68,39.34,0.0,165.49
01/21/2020,0.03604264856164174,0.11230218900628497,0.027543690214602456,0.01301117967746039,0.025235001293842627,0.008931110555562869,0.0004872041157353189,0,0.22355302342513028,0.22368460064121956,-3.47,2003.8682,1058.7273,380.3117,394.2129,274.18,0.0,4111.3000999999995,0.0,0.0,0.0,0.0,0.0,4111.3000999999995,54.2,69.67,194.5,0.0,318.37
01/28/2020,0.03479545181032461,0.13876234531841994,0.03345946501497293,0.014350682149392072,0.018464467707378952,0.022961699316664714,0.0006004636384638979,0,0.26339457495561713,0.26339457495561713,-2.67,2296.5468,1207.0863,373.1059,443.8866,308.88,0.0,4629.5056,0.0,0.0,0.0,0.0,0.0,4629.5056,62.67,71.58,43.46,0.0,177.71
02/04/2020,0.03471518558238723,0.13561329709206998,0.035740465096211926,0.012449590436744203,0.02022348008579564,0.014881353007161958,0.0019502175708492038,0,0.2555735888712202,0.2556891541239846,6.43,1983.0066,1277.8738,440.2624,423.7809,309.77,0.0,4434.6937,0.0,0.0,0.0,0.0,0.0,4434.6937,21.32,59.39,96.49,0.0,177.2
02/11/2020,0.031980329735060334,0.1346545790285325,0.03487553858270842,0.014284305484774088,0.018494466910669728,-0.03774236221879528,-0.00021440721154800745,0,0.1963324503114017,0.19645654770965837,-15.1,1963.7612,1361.5303,395.7071,426.0543,287.55,0.0,4434.6029,0.0,0.0,0.0,0.0,0.0,4434.6029,79.53,110.94,139.16,0.0,329.63
02/18/2020,0.035173301688938535,0.1387261274884275,0.0335354140620956,0.022353157093086908,0.02005395285654454,0.013215406720930635,0.0003963680056972453,0,0.263453727915721,0.2635713747900004,10.89,1993.2255,1459.2913,598.3461,463.8238,331.88,0.0,4846.5667,0.0,0.0,0.0,0.0,0.0,4846.5667,75.33,161.48,131.27,0.0,368.08000000000004
02/25/2020,0.03964685487902627,0.13652078084930067,0.030332650428254625,0.003915413773368509,0.028772022557734638,0.024526341109201717,0.001378256774823047,0,0.2650923203717095,0.26520542573991646,8.17,2246.2676,1347.7959,569.1198,476.6845,301.49,0.0,4941.357800000001,0.0,0.0,0.0,0.0,0.0,4941.357800000001,76.7,174.42,271.28,12.47,534.87
03/03/2020,0.03427484255336373,0.14068628908533445,0.03479192758583381,0.013977501729947599,0.019652663885777532,0.012588437489540525,0.0016411968045980392,0,0.25761285913439574,0.2577296160022293,7.59,2098.825,1215.5415,575.3763,445.3756,294.05,0.0,4629.1684000000005,0.0,0.0,0.0,0.0,0.0,4629.1684000000005,89.9,105.93,174.79,0.0,370.62
03/10/2020,0.033765472679945494,0.12184796113709204,0.03585380550415664,0.014997947006094992,0.023505584219599505,0.024738507995249556,0.002125896137552878,0,0.2568351746796911,0.2569113525611385,-4.95,1747.2064,1207.2961,820.0833,432.1901,294.17,0.0,4500.9459,0.0,0.0,0.0,0.0,0.0,4500.9459,107.93,202.74,92.25,0.0,402.92
