week_ending_date,payment_type,prcnt_of_royalty_sales,fee_or_payment,amount
10/13/2020,Royalty,6,Payment,1023.123
10/13/2020,Advertising,1.5,Payment,255.78075
10/13/2020,Media,3,Payment,511.5615
10/20/2020,Royalty,6,Payment,1024.2
10/20/2020,Advertising,1.5,Payment,256.05
10/20/2020,Media,3,Payment,512.1
10/27/2020,Royalty,6,Payment,943.8282
10/27/2020,Advertising,1.5,Payment,235.95705
10/27/2020,Media,3,Payment,471.9141
11/03/2020,Royalty,6,Payment,937.5858
11/03/2020,Advertising,1.5,Payment,234.39645
11/03/2020,Media,3,Payment,468.7929
11/10/2020,Royalty,6,Payment,1016.4036
11/10/2020,Advertising,1.5,Payment,254.1009
11/10/2020,Media,3,Payment,508.2018
11/17/2020,Royalty,6,Payment,972.8046
11/17/2020,Advertising,1.5,Payment,243.20115
11/17/2020,Media,3,Payment,486.4023
11/24/2020,Royalty,6,Payment,1126.2468
11/24/2020,Advertising,1.5,Payment,281.5617
11/24/2020,Media,3,Payment,563.1234
12/01/2020,Royalty,6,Payment,792.8106
12/01/2020,Advertising,1.5,Payment,198.20265
12/01/2020,Media,3,Payment,396.4053
12/08/2020,Royalty,6,Payment,987.4308
12/08/2020,Advertising,1.5,Payment,246.8577
12/08/2020,Media,3,Payment,493.7154
12/15/2020,Royalty,6,Payment,992.3772
12/15/2020,Advertising,1.5,Payment,248.0943
12/15/2020,Media,3,Payment,496.1886
12/22/2020,Royalty,6,Payment,1152.4326
12/22/2020,Advertising,1.5,Payment,288.10815
12/22/2020,Media,3,Payment,576.2163
12/29/2020,Royalty,6,Payment,814.5114
12/29/2020,Advertising,1.5,Payment,203.62785
12/29/2020,Media,3,Payment,407.2557
